[00:00:00,000 -> 00:00:01,159] Hello大家好
[00:00:01,360 -> 00:00:04,559] 我们这个是友超深圳游的最后一期
[00:00:04,719 -> 00:00:06,440] 前面应该已经有五六期了
[00:00:06,440 -> 00:00:07,799] 我们讲了很多东西
[00:00:07,919 -> 00:00:10,679] 然后这些是我知道友超特别擅长
[00:00:10,679 -> 00:00:12,400] 然后我也很感兴趣的一个地方
[00:00:12,599 -> 00:00:14,560] 就是友超的管理能力
[00:00:14,919 -> 00:00:15,720] 大家也看到了吗
[00:00:15,720 -> 00:00:16,800] 就是友超很年轻
[00:00:16,800 -> 00:00:17,679] 92年是吧
[00:00:17,760 -> 00:00:21,120] 然后是一个年轻微的管理者
[00:00:21,120 -> 00:00:23,600] 但是这个时候也会带来很多管理上的挑战
[00:00:23,800 -> 00:00:25,800] 尤其你管理的這些團隊
[00:00:25,800 -> 00:00:27,879] 其實一方面很大
[00:00:27,879 -> 00:00:30,839] 另外一方面業務的挑戰又很複雜
[00:00:30,839 -> 00:00:33,240] 大家的工作輸出又需要很高
[00:00:33,240 -> 00:00:33,479] 是
[00:00:33,479 -> 00:00:34,719] 那在這種情況下
[00:00:34,719 -> 00:00:36,880] 你怎麼激勵團隊的
[00:00:36,880 -> 00:00:38,320] 應該是很有一套
[00:00:38,320 -> 00:00:40,840] 我們就來聽聽你的經驗吧
[00:00:40,840 -> 00:00:41,640] 好
[00:00:41,640 -> 00:00:43,880] 首先是這樣
[00:00:43,880 -> 00:00:44,640] 就是
[00:00:44,640 -> 00:00:45,079] Disclaimer對我覺得我做到了这个经验吧好首先是这样哈就是
[00:00:48,240 -> 00:00:50,479] 我对我觉得我做到了比如说按一个分数来评的话
[00:00:50,479 -> 00:00:51,799] 我可能做到了70分
[00:00:51,840 -> 00:00:53,560] 但是我不知道
[00:00:53,600 -> 00:00:56,000] 人能做到多少分
[00:00:56,000 -> 00:00:56,840] 对对
[00:00:56,840 -> 00:01:00,640] 那80分肯定有更加好的做法
[00:01:00,679 -> 00:01:03,479] 但是我只能说我分享一些自己的
[00:01:03,479 -> 00:01:04,480] learning
[00:01:04,480 -> 00:01:06,480] 对对对我犯过很多错误
[00:01:06,480 -> 00:01:09,560] 然后成长学习了很多
[00:01:09,560 -> 00:01:11,799] 所以只是简单跟大家分享一下
[00:01:11,799 -> 00:01:14,879] 我可能还是分子的那部分
[00:01:14,879 -> 00:01:16,560] 所以是有survival bias的
[00:01:16,560 -> 00:01:19,040] 我觉得广义上的管理
[00:01:19,040 -> 00:01:22,719] 我们可以去说很多方面
[00:01:22,719 -> 00:01:26,000] 然后团队的管理是广义管理的一部分但是确实提到团队的管理是广义管理的一部分
[00:01:26,000 -> 00:01:28,400] 但是呢确实提到团队的管理
[00:01:28,400 -> 00:01:30,200] 又不得不提那个广义上的管理
[00:01:30,200 -> 00:01:31,400] 因为这些是相关的
[00:01:31,400 -> 00:01:33,200] 那我觉得广义上的管理他可能有
[00:01:33,200 -> 00:01:35,000] 第一个是战略上的管理
[00:01:35,000 -> 00:01:38,599] 就我们作为整个部门来说
[00:01:38,599 -> 00:01:39,599] 整个大的团队来说
[00:01:39,599 -> 00:01:42,799] 我们哪些事情在什么时候是需要做的
[00:01:42,799 -> 00:01:45,079] 哪些事情在短期是不做的
[00:01:45,079 -> 00:01:47,560] 那要做的那些在什么时候要做到什么样的结果
[00:01:47,560 -> 00:01:48,920] 那这些战略上是要定的
[00:01:48,920 -> 00:01:54,680] 那更多的时候我们决定的是哪些事情我们明知道很重要
[00:01:54,680 -> 00:01:55,760] 但没有那么紧急
[00:01:55,760 -> 00:01:57,079] 所以我们先不做
[00:01:57,079 -> 00:02:02,040] 所以做好一个哪些事情不做的一个战略是很重要的
[00:02:02,040 -> 00:02:03,000] 我觉得这是第一点
[00:02:03,000 -> 00:02:04,200] 第二点是
[00:02:04,200 -> 00:02:06,000] 我听过一句话叫
[00:02:06,000 -> 00:02:06,640] prior
[00:02:06,640 -> 00:02:07,959] 就是
[00:02:09,039 -> 00:02:11,520] prioritization
[00:02:11,520 -> 00:02:13,719] is only real when it hurts
[00:02:13,719 -> 00:02:15,960] 是是是是
[00:02:16,120 -> 00:02:17,960] 然后第二个呢
[00:02:17,960 -> 00:02:18,759] 我是觉得
[00:02:18,759 -> 00:02:21,800] 嗯很多团队会去强调一些
[00:02:21,800 -> 00:02:23,719] 比如说使命愿景价值观啊
[00:02:23,719 -> 00:02:25,599] 还有一些文化啊等等然后并且把它生成了很多就是一些语句来描述这个团队会去强调一些比如说使命愿景价值观啊还有一些文化啊等等
[00:02:25,599 -> 00:02:29,919] 然后并且把它生成了很多就是一些语句来描述这个团队的文化
[00:02:29,919 -> 00:02:32,080] 我想说有这些是好的
[00:02:32,120 -> 00:02:37,159] 但是这些文化不去用血泪捍卫
[00:02:37,159 -> 00:02:40,199] 不去在各种各样的case下进行
[00:02:40,240 -> 00:02:42,919] 这个挑战和讨论的话
[00:02:42,919 -> 00:02:45,599] 那喊出这些口号本身是没有意义的
[00:02:45,599 -> 00:02:46,800] 空洞的口号
[00:02:46,800 -> 00:02:47,800] 对对对对
[00:02:47,800 -> 00:02:49,240] 然后第三呢我想说
[00:02:49,240 -> 00:02:50,000] 嗯
[00:02:50,599 -> 00:02:55,120] 就是整个团队的内部的管理
[00:02:55,120 -> 00:02:57,639] 很多时候是没有
[00:02:57,639 -> 00:03:01,919] 横向的团队的协同那么难做的
[00:03:01,919 -> 00:03:03,680] 甚至他没有说
[00:03:03,680 -> 00:03:06,439] 自上到下的
[00:03:06,439 -> 00:03:09,919] 比如说战略或者是OK的传递
[00:03:09,919 -> 00:03:12,039] 或者是上下的对齐那么复杂的
[00:03:12,039 -> 00:03:14,360] 所以很多时候管理者会觉得
