[00:00:00,000 -> 00:00:01,360] 直接给你补400万
[00:00:01,360 -> 00:00:02,399] 对就非常慷慨
[00:00:02,399 -> 00:00:03,480] 然后当时我都
[00:00:03,480 -> 00:00:04,879] 我其实都挺震惊的
[00:00:04,879 -> 00:00:06,599] 因为我们能大概说一下
[00:00:06,919 -> 00:00:11,240] 你疫情期间从美国政府拿到的补助是多少吗
[00:00:11,240 -> 00:00:15,519] 应该接近去年的一页额吧
[00:00:15,519 -> 00:00:18,719] 我们店被入市抢劫三次
[00:00:18,719 -> 00:00:21,000] 警察那边都没有什么那个作为他应该说
[00:00:21,000 -> 00:00:23,440] 这个中国社区他还想帮我们说
[00:00:23,440 -> 00:00:24,839] 帮我们约一个
[00:00:24,839 -> 00:00:26,600] 跟Seattle市场的一个可能一个
[00:00:26,600 -> 00:00:28,600] meeting然后跟他反映一下这个问题
[00:00:28,600 -> 00:00:29,899] 虽然这个东西其实说白了
[00:00:29,899 -> 00:00:31,899] 在疫情期间美国政府大撒币
[00:00:31,899 -> 00:00:33,100] 这个还是很有帮助的
[00:00:33,100 -> 00:00:36,000] 对于我们这个补贴还是力度非常大
[00:00:36,000 -> 00:00:38,200] 很多同学没有具体概念
[00:00:38,200 -> 00:00:40,200] 尤其是在国内的话题
[00:00:40,200 -> 00:00:41,799] 可不可以讲讲具体的
[00:00:41,799 -> 00:00:43,799] 说到什么样的政策
[00:00:43,799 -> 00:00:45,000] 最大的幾個就是說
[00:00:45,000 -> 00:00:48,000] 他美國政府給那個當時小
[00:00:48,000 -> 00:00:50,000] 就是中小企業主提供這個叫
[00:00:50,000 -> 00:00:52,000] Paycheck Protection Law PPP
[00:00:52,000 -> 00:00:54,000] 拿到這個錢之後
[00:00:54,000 -> 00:00:55,000] 你一定比例
[00:00:55,000 -> 00:00:58,000] 我記得當時是80%多以上
[00:00:58,000 -> 00:00:59,000] 75% 80%以上
[00:00:59,000 -> 00:01:00,000] 用來發工資的話
[00:01:00,000 -> 00:01:02,000] 就是retain你的員工
[00:01:02,000 -> 00:01:03,000] 用來把這個錢用來發工資
[00:01:03,000 -> 00:01:07,159] 那這個他這個給你這個貸款就可以全額免掉
[00:01:07,159 -> 00:01:09,359] 不僅沒有利息而且是全額免掉
[00:01:09,359 -> 00:01:10,319] 就送錢
[00:01:10,319 -> 00:01:11,159] 對送給你的錢
[00:01:11,159 -> 00:01:11,959] 用來發工資
[00:01:11,959 -> 00:01:12,879] 對用來發工資
[00:01:12,879 -> 00:01:13,120] 對
[00:01:13,120 -> 00:01:14,120] 那房租怎麼辦
[00:01:14,480 -> 00:01:16,920] 那他還有一部分你可以用來發房租
[00:01:16,920 -> 00:01:19,719] 而且你疫情期間你本身你的生意降下來
[00:01:19,719 -> 00:01:21,879] 你可能用人沒有那麼多嗎
[00:01:21,879 -> 00:01:23,719] 就是說你可能說
[00:01:24,120 -> 00:01:25,799] 你發完工資�后你还有一
[00:01:25,799 -> 00:01:28,760] 他还他因为他有一定比例可以让你去cover你的
