[00:00:00,000 -> 00:00:01,600] 从业咖啡有这么一个好事
[00:00:01,600 -> 00:00:03,200] 就是你很容易找到工作
[00:00:03,200 -> 00:00:04,440] 对咖啡是的
[00:00:04,440 -> 00:00:06,160] 只要你没有语言的问题的话
[00:00:06,160 -> 00:00:08,439] 我觉得走遍全球都不怕
[00:00:08,439 -> 00:00:09,640] 有道理
[00:00:09,640 -> 00:00:11,960] 2023年是首冲冠军
[00:00:11,960 -> 00:00:15,160] 然后我又是今年的美国的拉花冠军
[00:00:15,160 -> 00:00:17,399] 从你做的那些动作里边就能很
[00:00:17,399 -> 00:00:20,359] 很能感觉到 Pro 和业余爱好者的区别
[00:00:20,359 -> 00:00:22,839] 就是你的动作非常 straight to the point
[00:00:22,839 -> 00:00:25,199] 然后所有的动作就是还非常 efficient可能我做一个动作的时候你已经做完 10 个动作非常straight to the point然后所有的动作就是非常efficient
[00:00:25,199 -> 00:00:27,519] 可能我做一个动作的时候已经做完10个动作了
[00:00:27,519 -> 00:00:30,399] 对我每天自己给自己冲一杯咖啡的时候
[00:00:30,399 -> 00:00:33,320] 其实我都会去关注数据
[00:00:33,320 -> 00:00:36,520] 都会去关注喝到的感受感官
[00:00:36,520 -> 00:00:38,920] 然后我都会潜移默化的告诉自己
[00:00:38,920 -> 00:00:41,399] 下次再冲这杯咖啡的时候
[00:00:41,399 -> 00:00:43,320] 我会去做出什么样的改变
[00:00:43,320 -> 00:00:44,600] 我跟大家介绍一下
[00:00:44,600 -> 00:00:46,799] 你是世界冠军世界咖啡师我会去做出什么样的改变我跟大家介绍一下你是世界冠军
[00:00:46,799 -> 00:00:48,479] 世界咖啡师大赛
[00:00:48,479 -> 00:00:49,600] 北美冠军
[00:00:49,600 -> 00:00:51,560] 对北美有几个冠军
[00:00:51,560 -> 00:00:53,399] 不是他只是按美国冠军了
[00:00:53,399 -> 00:00:55,000] 因为每个国家会有分赛区
[00:00:55,000 -> 00:00:57,000] 对他这个世界咖啡大赛
[00:00:57,000 -> 00:00:58,079] 就是他的赛制
[00:00:58,280 -> 00:00:59,320] 就是说
[00:00:59,320 -> 00:01:02,960] 每年他会有一场世界级的比赛
[00:01:02,960 -> 00:01:04,400] 类似于像奥林匹克一样
[00:01:04,400 -> 00:01:04,959] 他才是每年
[00:01:04,959 -> 00:01:05,799] 但他每年一次然后这个世界赛�的比赛类似于像奥林匹克一样他还是每年一次
[00:01:05,799 -> 00:01:09,439] 然后这个世界赛的参赛的要求
[00:01:09,560 -> 00:01:12,400] 就是说是每个国家的冠军可以代表
[00:01:12,680 -> 00:01:15,560] 那个所在的国家去参加世界赛
[00:01:15,680 -> 00:01:15,879] 对
[00:01:15,879 -> 00:01:18,040] 所以说世界赛就是每个国家只有一名选手
[00:01:18,040 -> 00:01:18,719] 对
[00:01:18,719 -> 00:01:20,640] 所以说要拿到这个世界赛的门票
[00:01:20,959 -> 00:01:27,280] 前提就是说你得要先拿到你所在国家的冠军才有资格去参赛
[00:01:27,280 -> 00:01:28,000] 可爱
[00:01:28,000 -> 00:01:28,719] 对是这样
[00:01:28,719 -> 00:01:33,120] 所以说我拿目前来说是2023年是首冲冠军
[00:01:33,120 -> 00:01:37,840] 所以我已经代表美国在去年在那是世界赛在希腊
[00:01:37,840 -> 00:01:40,000] 对那是已经打过一场世界赛
[00:01:40,000 -> 00:01:43,040] 然后我又是今年的美国的拉花冠军
[00:01:43,040 -> 00:01:46,040] 又是另外一个类别的咖啡的
[00:01:46,040 -> 00:01:47,920] 因为它这个咖啡赛事有
[00:01:48,000 -> 00:01:49,920] 目前来说主要是有6个赛事
[00:01:49,920 -> 00:01:51,799] 就分别是咖啡师
[00:01:51,879 -> 00:01:53,439] 就是属于技能类的
