[00:00:00,000 -> 00:00:02,359] 先跟大家介绍一下向上社交
[00:00:02,359 -> 00:00:04,240] 唯一重要的一件事情
[00:00:04,240 -> 00:00:06,759] 这个秘诀就是你要有一件很具体的事
[00:00:06,759 -> 00:00:08,199] 最后再说一个小tip
[00:00:08,199 -> 00:00:10,679] 这个小tip就是warm introduction的作用
[00:00:10,679 -> 00:00:12,279] 你去cold reach out
[00:00:12,279 -> 00:00:14,199] 很多时候是没有什么成功率的
[00:00:14,199 -> 00:00:16,440] 这个时候你们需要一个mutual friend
[00:00:16,440 -> 00:00:18,600] 去帮你做一下introduction
[00:00:18,600 -> 00:00:20,879] 一定不要小瞧这次机会
[00:00:20,879 -> 00:00:23,760] 就是你要先跟你这个朋友充分沟通
[00:00:23,760 -> 00:00:25,000] 你要表达出足够的诚意
[00:00:25,000 -> 00:00:27,000] 你要解释你为什么要去认识这个大佬
[00:00:27,000 -> 00:00:29,000] 然后为什么通过这个人去认识这个大佬
[00:00:29,000 -> 00:00:31,000] 针对这个大佬的你的自我介绍
[00:00:31,000 -> 00:00:33,000] 要写清楚给你这个朋友
[00:00:33,000 -> 00:00:35,000] 把你的intention讲得非常清楚
[00:00:35,000 -> 00:00:38,000] 然后你这里边因为他去帮你做这个introduction
[00:00:38,000 -> 00:00:41,000] 是他的背书是他的endorsement
[00:00:41,000 -> 00:00:44,000] 所以说你写的这个你的自我介绍
[00:00:44,000 -> 00:00:45,840] 一定不要過分
[00:00:45,840 -> 00:00:47,039] 就是事實
[00:00:47,039 -> 00:00:48,280] 你是一個什麼樣的人
[00:00:48,280 -> 00:00:49,039] 你要做什麼事
[00:00:49,039 -> 00:00:49,840] 你為什麼要認識他
[00:00:49,840 -> 00:00:50,640] 你想幹嘛
[00:00:50,640 -> 00:00:53,320] 然後他去幫你把這個信息
[00:00:53,320 -> 00:00:54,640] 帶到給那個人
[00:00:54,640 -> 00:00:56,439] 我覺得能做到這一步的朋友
[00:00:56,439 -> 00:00:57,840] 那真的是已經是
[00:00:57,840 -> 00:00:59,119] 很不容易的了
[00:00:59,119 -> 00:01:00,240] 你要珍惜你這個朋友
[00:01:00,240 -> 00:01:02,399] 和appreciate這個朋友的行為
[00:01:02,399 -> 00:01:03,960] 然後放平自己的心態
[00:01:03,960 -> 00:01:05,319] 你是有需求的那个人
[00:01:05,319 -> 00:01:07,599] 然后人家当然没有理你的义务
[00:01:07,599 -> 00:01:09,079] 然后人家不理你也好
[00:01:09,079 -> 00:01:10,120] 人家拒绝也好
[00:01:10,120 -> 00:01:11,040] 都是应该的
[00:01:11,040 -> 00:01:14,000] 所以千万不要产生什么不好的情绪
[00:01:14,000 -> 00:01:15,719] 然后更不要去说什么
[00:01:15,719 -> 00:01:16,840] 就是你不理我
[00:01:16,840 -> 00:01:17,640] 你这个大牌
[00:01:17,640 -> 00:01:18,439] 你这个怎么样
[00:01:18,439 -> 00:01:19,480] 不愿意帮助年轻人
[00:01:19,480 -> 00:01:20,079] blah blah
[00:01:20,079 -> 00:01:20,760] 这样的话
[00:01:20,760 -> 00:01:22,680] 你肯定是没有贵人运的
[00:01:22,680 -> 00:01:23,959] 相声社交完了以后
[00:01:23,959 -> 00:01:25,000] 记得follow up
[00:01:25,000 -> 00:01:26,760] 这个我们在之前的节目里边
[00:01:26,760 -> 00:01:27,840] 有经常提到
