[00:00:00,000 -> 00:00:01,000] Hello大家好
[00:00:01,000 -> 00:00:02,520] 欢迎回到柯代表立正
[00:00:02,720 -> 00:00:04,599] 今天我们又请来了卢贝
[00:00:04,599 -> 00:00:06,519] 其实大家如果之前记得的话
[00:00:06,519 -> 00:00:07,480] 做了一期节目
[00:00:07,480 -> 00:00:09,800] 是人工智能在互联网大厂的应用
[00:00:09,880 -> 00:00:10,919] 那是很倒戏的节目
[00:00:10,960 -> 00:00:12,039] 但是内容很干
[00:00:12,279 -> 00:00:14,480] 我们还是请库珀同学
[00:00:14,519 -> 00:00:18,079] 介绍一下你的学校学历和工作吧
[00:00:18,600 -> 00:00:19,000] 好
[00:00:19,600 -> 00:00:21,399] 首先谢谢玉珍同学
[00:00:21,640 -> 00:00:24,320] 柯代表再次邀请我上他的节目
[00:00:24,320 -> 00:00:25,039] 非常荮幸
[00:00:25,480 -> 00:00:27,480] 我經常開玩笑說
[00:00:27,480 -> 00:00:30,440] 我是柯代表的節目上的第一個男人
[00:00:30,440 -> 00:00:32,000] 這個是一個事實
[00:00:32,000 -> 00:00:33,439] 大家不能否認
[00:00:33,439 -> 00:00:35,399] 簡單介紹一下自己
[00:00:35,399 -> 00:00:36,520] 就是我叫盧偉
[00:00:36,520 -> 00:00:38,280] 也可以叫我COOPER
[00:00:38,280 -> 00:00:40,880] 我是清華的本科
[00:00:40,880 -> 00:00:44,520] 然後09年這樣子來的美國
[00:00:44,960 -> 00:00:45,000] 在德州農工讀的智能交通系統的博士然後畢業以後的本科然后09年这样子来到美国
[00:00:47,439 -> 00:00:47,799] 在德州农工读的智能交通系统的博士
[00:00:51,640 -> 00:00:51,679] 然后毕业以后我去加入亚马逊
[00:00:53,039 -> 00:00:53,439] 做那个applied scientist
[00:00:54,200 -> 00:00:54,240] 做machinery
[00:00:56,479 -> 00:00:59,159] 然后做了4年半以后现在又到了meta facebook
[00:00:59,439 -> 00:01:00,880] 就是做machinery engineer
[00:01:01,159 -> 00:01:02,560] 所以我一直做的其实是
[00:01:02,560 -> 00:01:05,000] 广告相关的那個Machinery
[00:01:05,000 -> 00:01:08,000] 所以說其實我是一個典型的Web2的人
[00:01:08,000 -> 00:01:14,000] 然後呢現在作為一個野生Web3創業者
[00:01:14,000 -> 00:01:15,000] 就大概做了一年多
[00:01:15,000 -> 00:01:17,000] 有一些自己的一手的體會吧
[00:01:17,000 -> 00:01:19,000] 想跟大家就是分享一下
[00:01:19,000 -> 00:01:20,000] 對 魯威
[00:01:20,000 -> 00:01:22,000] 就是我聽說你做Web3創業的時候
[00:01:22,000 -> 00:01:27,219] 當時就說你看清華的校訓是为祖国健康工作50年是吧
[00:01:27,219 -> 00:01:29,379] 反正就是大家都要去做硬科技
[00:01:29,379 -> 00:01:31,340] 然后要做对社会有益的东西
