[00:00:00,000 -> 00:00:02,680] 我突然明白了孙总见我的真正意义
[00:00:02,680 -> 00:00:06,000] 主要是孙总可以把我的节目
[00:00:06,000 -> 00:00:07,040] 见我当成
[00:00:07,040 -> 00:00:07,559] 对对对
[00:00:07,559 -> 00:00:10,119] 没有我是今天出门的时候
[00:00:10,119 -> 00:00:12,720] 我出门的时候看了一下那个
[00:00:12,720 -> 00:00:14,439] 就正好我上期在那
[00:00:14,439 -> 00:00:15,800] 然后说要不要来录一下
[00:00:15,800 -> 00:00:16,320] 录一下
[00:00:16,320 -> 00:00:18,519] 哎 我俩这样刚加微信了吗
[00:00:18,519 -> 00:00:19,199] 扫了是吧
[00:00:20,039 -> 00:00:20,760] 扫到了吗
[00:00:20,760 -> 00:00:21,480] 呵呵
[00:00:21,480 -> 00:00:22,920] 确保确保确保
[00:00:22,920 -> 00:00:24,839] 就扫完就不讨论什么的
[00:00:24,839 -> 00:00:25,760] 呵呵呵就扫完就不讨论什么的
[00:00:27,199 -> 00:00:28,199] 我也扫一下
[00:00:28,199 -> 00:00:32,479] 我之前跟邓小阳就是IG发行那边的
[00:00:32,479 -> 00:00:33,280] 一个女生
[00:00:33,280 -> 00:00:35,960] 然后其实帕布基那边有一个Renman
[00:00:35,960 -> 00:00:36,840] 你听过吗
[00:00:36,840 -> 00:00:38,320] 是个Renman
[00:00:38,320 -> 00:00:39,280] Renman
[00:00:39,280 -> 00:00:41,439] 他就是在跟我们那边对接的一个
[00:00:41,439 -> 00:00:42,719] 他应该是商务那一派吧
[00:00:42,719 -> 00:00:44,960] 对但是那些跟我们没什么合作关系
[00:00:44,960 -> 00:00:46,719] 哦对他们跟你跟你没关系
[00:00:46,719 -> 00:00:49,640] 你是哪个发明过门的
[00:00:49,640 -> 00:00:52,240] 增长中台
[00:00:52,240 -> 00:00:53,079] 对 留下生态
[00:00:53,079 -> 00:00:53,759] 哦
[00:00:53,759 -> 00:00:58,200] 你们那边也有个中台
[00:00:58,200 -> 00:01:00,079] 自己也有个中台
[00:01:00,079 -> 00:01:01,960] 这个中台
[00:01:01,960 -> 00:01:04,159] 他没有一个专门的名字
[00:01:04,159 -> 00:01:06,120] 也是叫这种增長中台
[00:01:06,120 -> 00:01:07,799] 反正就是中台有商務能力
[00:01:07,799 -> 00:01:08,519] 數據分析
[00:01:08,519 -> 00:01:10,000] 它的服務與所有的一些
[00:01:10,000 -> 00:01:11,400] 不能聊業務
[00:01:11,400 -> 00:01:12,159] 哦 對
[00:01:12,159 -> 00:01:14,200] 不能聊業務
[00:01:14,200 -> 00:01:15,640] 要不能聊私人生活
[00:01:15,640 -> 00:01:19,319] 私人生活你想
[00:01:19,319 -> 00:01:20,159] 你願意聊就聊
[00:01:20,159 -> 00:01:20,640] 來來來
[00:01:20,640 -> 00:01:21,200] 聊不了
[00:01:21,200 -> 00:01:25,120] 那我們來聊一下王博士的感情经历感情经历
[00:01:25,120 -> 00:01:27,319] 那太私人了
[00:01:27,319 -> 00:01:29,400] 从来就没有分手的机会
[00:01:29,400 -> 00:01:30,560] 从来就没有在一起
[00:01:30,560 -> 00:01:32,480] 你不是之前有过女朋友吗
[00:01:32,480 -> 00:01:34,599] 那得多少年前的事情
[00:01:34,599 -> 00:01:36,799] 沧桑有多少个妹子吃过你做的饭
[00:01:36,799 -> 00:01:38,200] 那太多了
[00:01:38,200 -> 00:01:39,200] 后来就不做了
[00:01:39,200 -> 00:01:40,560] 后来去了
[00:01:40,560 -> 00:01:42,000] 说的每句话都不能放
[00:01:42,000 -> 00:01:43,200] 等一下
[00:01:43,200 -> 00:01:46,000] 这影响我接下来的很多事情
[00:01:46,000 -> 00:01:48,000] 我们今天就来聊一聊
[00:01:48,000 -> 00:01:50,000] 这么优秀的王博士
[00:01:50,000 -> 00:01:52,000] 为什么是单身版
[00:01:52,000 -> 00:01:53,000] 迟迟没有锁
[00:01:53,000 -> 00:01:55,000] 我觉得这是个非常有意思的社会话题
[00:01:55,000 -> 00:01:56,000] 可以可以
[00:01:57,000 -> 00:01:58,000] 这是个trap
[00:01:58,000 -> 00:02:00,000] 我们先把酒点一下吧
[00:02:00,000 -> 00:02:01,000] 好呀好呀
[00:02:01,000 -> 00:02:02,000] 我已经想好了
[00:02:02,000 -> 00:02:04,000] 灌醉了就可以说了是吗
[00:02:04,000 -> 00:02:05,799] 我今天晚上就翻了
[00:02:05,799 -> 00:02:06,599] 不能让它没电了
[00:02:06,599 -> 00:02:08,000] 等会儿再来一个奶茶
[00:02:08,000 -> 00:02:10,000] 能不能再来一个奶茶
[00:02:10,000 -> 00:02:10,800] 可以啊可以啊
[00:02:10,800 -> 00:02:12,000] 点奶茶你想喝吗
[00:02:13,400 -> 00:02:14,599] 想好了我要这个
[00:02:15,199 -> 00:02:16,199] 这个能开吗
[00:02:16,599 -> 00:02:17,800] 那个不是个灯吧
[00:02:17,800 -> 00:02:18,400] 这是个灯
[00:02:18,400 -> 00:02:19,400] 但是这个是个灯
[00:02:20,000 -> 00:02:22,800] 那就确实是不容易看得出来怎么开
[00:02:22,800 -> 00:02:23,800] 我觉得应该是
[00:02:23,800 -> 00:02:24,400] 哦对
[00:02:22,879 -> 00:02:23,719] 但就确实是不容易看得出来怎么开的我觉得应该是
[00:02:23,719 -> 00:02:24,479] 哦 对了
[00:02:28,000 -> 00:02:29,199] 之前我就那个
[00:02:29,199 -> 00:02:30,199] 多米尼香
[00:02:31,280 -> 00:02:33,560] 香肠是用吹一下就开了
[00:02:33,560 -> 00:02:35,560] 我折腾半天扭过来扭过去
[00:02:35,960 -> 00:02:36,280] 不知道是什么
[00:02:36,280 -> 00:02:37,680] 应该在国内生活少了
[00:02:37,680 -> 00:02:39,080] 国内这种灯到处都是
[00:02:39,080 -> 00:02:39,840] 拍一拍
[00:02:39,840 -> 00:02:42,199] 然后那个美国有一个
[00:02:42,199 -> 00:02:44,159] Netflix上面那个什么叫
