[00:00:00,000 -> 00:00:03,680] 独立董事来你也要给他一定的就是说报酬嘛
[00:00:03,680 -> 00:00:05,120] 那会给多少啊好奇一下
[00:00:05,120 -> 00:00:07,919] 这个取决于独立董事在什么阶段进步
[00:00:07,919 -> 00:00:10,240] 因为以前我还对商战报有幻想
[00:00:10,240 -> 00:00:13,279] 我说难道大家的这个初心不都是为了这公司好吗
[00:00:13,279 -> 00:00:14,720] 为了我们能够一起赚钱
[00:00:14,720 -> 00:00:19,039] 公司能够成长成一个超级大的独角兽或DECA COR
[00:00:19,039 -> 00:00:21,760] 然后做成一个伟大的公司
[00:00:21,760 -> 00:00:23,120] 可是人性不是这样的
[00:00:23,120 -> 00:00:25,800] 就是不论你的公司技术有多难
[00:00:25,800 -> 00:00:27,800] 你要花很多的时间去琢磨技术
[00:00:27,800 -> 00:00:29,000] 搭建技术团队
[00:00:29,000 -> 00:00:30,600] 把技术进行商业落地
[00:00:30,600 -> 00:00:32,000] 我知道很忙很忙
[00:00:32,000 -> 00:00:35,200] 但是你另外的三件事也一定要做
[00:00:35,200 -> 00:00:38,000] 这就是一个创始人的修炼
[00:00:38,000 -> 00:00:38,399] 对
[00:00:38,399 -> 00:00:39,200] 哈喽大家好
[00:00:39,200 -> 00:00:40,399] 欢迎回到开启白日证
[00:00:40,399 -> 00:00:42,000] 今天我们请来了周南
[00:00:42,000 -> 00:00:43,200] 大家好
[00:00:43,200 -> 00:00:45,000] 周南是高通创投
[00:00:45,000 -> 00:00:48,000] Qualcomm Ventures的合作伙伴
[00:00:48,000 -> 00:00:50,000] 然后是百度资本
[00:00:50,000 -> 00:00:52,000] 百度资本在美国的负责人
[00:00:52,000 -> 00:00:53,000] 对
[00:00:53,000 -> 00:00:56,000] 在资本圈做了多久了
[00:00:56,000 -> 00:00:58,000] 在VC圈做了7年了
[00:00:58,000 -> 00:01:03,000] 见过了很多创业和资本之间狗血故事的人
[00:01:03,000 -> 00:01:06,640] 很多的这种成长故事的人
[00:01:06,640 -> 00:01:07,680] 对成长故事
