[00:00:00,000 -> 00:00:02,040] 特斯拉就现在的硬件
[00:00:02,040 -> 00:00:03,960] 我觉得它是不可能达到IOS的
[00:00:04,339 -> 00:00:06,299] 你选择使用特斯拉的就是你的责任
[00:00:06,740 -> 00:00:09,339] 我觉得科技进步不是太快的而是太慢的
[00:00:09,560 -> 00:00:11,500] 忙吗?忙还是算忙吧
[00:00:11,599 -> 00:00:12,939] 正常的startup的忙
[00:00:13,000 -> 00:00:14,500] 介绍一下你的startup
[00:00:14,599 -> 00:00:16,699] 但本身是做无人卡车
[00:00:17,000 -> 00:00:19,199] 对我们路上有没有无人卡车的
[00:00:19,500 -> 00:00:20,539] 你说我们公司的
[00:00:21,039 -> 00:00:22,640] 就是in general
[00:00:22,800 -> 00:00:24,960] 美国高速公路上有没有无人卡车
[00:00:24,960 -> 00:00:25,000] 真正无人卡车
[00:00:25,000 -> 00:00:26,000] 真正无人的没有
[00:00:26,000 -> 00:00:28,000] 有几个公司在路侧
[00:00:28,000 -> 00:00:30,000] 但是应该都还是有安全员的
[00:00:30,000 -> 00:00:31,000] 没有完全无人
[00:00:31,000 -> 00:00:34,000] 你觉得还离这个真正无人差多远
[00:00:34,000 -> 00:00:37,000] 第一这是一个整个产业的问题
[00:00:37,000 -> 00:00:38,000] 比如说我们公司
[00:00:38,000 -> 00:00:40,000] 甚至大部分做无人卡车的公司
[00:00:40,000 -> 00:00:41,000] 我们是不生产这个卡车的
[00:00:41,000 -> 00:00:44,000] 卡车还是卡车OEM
[00:00:44,000 -> 00:00:46,159] 就是厂商去生产所以他们生产这个卡车的卡车还是卡特OEM就是厂商去生产的
[00:00:46,159 -> 00:00:47,600] 所以他们生产的卡车
[00:00:47,600 -> 00:00:51,719] 得达到能够无人的安全标准
[00:00:51,719 -> 00:00:52,679] 举个例子就是
[00:00:52,679 -> 00:00:54,320] 它必须要有一套
[00:00:54,320 -> 00:00:56,439] 冗余的控制系统
[00:00:56,439 -> 00:00:57,320] 当你的主要的
[00:00:57,320 -> 00:01:00,240] 有相当于是有电脑控制的
[00:01:00,240 -> 00:01:01,280] 这个系统失效了以后
[00:01:01,280 -> 00:01:03,920] 你还要能够来控制它
[00:01:03,920 -> 00:01:06,439] 这个是达到安全的一个必须的
[00:01:06,439 -> 00:01:08,480] 但是现在大部分就是没有哪一家
[00:01:08,480 -> 00:01:10,480] 因为这东西太新了
[00:01:10,480 -> 00:01:11,560] 这些厂商没有
[00:01:11,560 -> 00:01:13,599] 他没有需求来做这个事
[00:01:13,599 -> 00:01:15,439] 所以这个东西还能达不到
[00:01:15,439 -> 00:01:17,040] 所以只有当他们
[00:01:17,040 -> 00:01:18,439] 换句话说
[00:01:18,439 -> 00:01:19,359] 或者说简单一点说
[00:01:19,359 -> 00:01:20,959] 只有当硬件达到那个时候
[00:01:21,920 -> 00:01:24,319] 才有可能真正的有无人车
[00:01:24,319 -> 00:01:26,000] 所以特斯拉也不能满足这个标准
[00:01:26,000 -> 00:01:27,439] 因为它也没有龙玉的启动
[00:01:27,439 -> 00:01:30,760] 对 然后我之前信息里我就说
[00:01:30,760 -> 00:01:33,680] 特斯拉就现在的硬件
[00:01:33,680 -> 00:01:35,560] 我觉得它是不可能达到L4的
[00:01:35,560 -> 00:01:38,239] L4是在限定的某一个叫
[00:01:38,239 -> 00:01:40,159] Operational Design Domain ODD里面
[00:01:40,640 -> 00:01:42,560] 能够完全的无人驾驶
[00:01:43,400 -> 00:01:45,359] L3 L4 L5的区别是什么来着
[00:01:45,359 -> 00:01:47,280] L3和L4最大区别就是
[00:01:47,280 -> 00:01:48,640] L3还是人负责
[00:01:48,640 -> 00:01:50,400] L4以上就是车负责
[00:01:50,400 -> 00:01:52,799] 那你觉得特斯拉线能达到L3吗
[00:01:52,799 -> 00:01:58,239] L3是一个我其实对L3的完全定义
[00:01:58,239 -> 00:02:00,239] 我都不记得很清楚
[00:02:00,239 -> 00:02:01,840] 你可以说达到也可以说能达到
[00:02:01,840 -> 00:02:03,359] 但我不记得L3具体定义
[00:02:03,359 -> 00:02:05,439] 但是其实对我来说最大的区别就是说
[00:02:05,439 -> 00:02:08,639] 出了事或者是这个车到底是人在最后在负责
[00:02:08,639 -> 00:02:11,199] 还是有这个机器的这个情况
[00:02:11,199 -> 00:02:13,759] 为什么我说是个伦理或者法律问题呢
[00:02:13,759 -> 00:02:17,120] 就第一如果车来负责法律归谁
[00:02:17,120 -> 00:02:18,560] 对肯定是个法律问题
[00:02:18,560 -> 00:02:21,360] 所以这个产业很大一部分的
[00:02:21,360 -> 00:02:22,400] 也不是很大
[00:02:22,400 -> 00:02:23,680] 有一部分的effort也是说
[00:02:23,680 -> 00:02:25,599] 怎么样去跟policy maker
[00:02:25,599 -> 00:02:29,500] 跟各个地区的infrastructure去配合起来
[00:02:29,500 -> 00:02:32,300] 但是先抛开法律问题不太
[00:02:32,300 -> 00:02:33,400] 可能这有两个问题
[00:02:33,400 -> 00:02:35,900] 第一个就是谁会做出更好的决定
[00:02:35,900 -> 00:02:39,099] 还有可能L4它意味着
[00:02:39,099 -> 00:02:41,300] 条件的成熟的一个必要条件就是
[00:02:41,300 -> 00:02:45,120] 机器在大多数情况下能做出比人更好的决定
[00:02:46,960 -> 00:02:49,680] 但是我觉得这个时候现在就有了就是我其实我有的时候坐lift uber
[00:02:49,680 -> 00:02:51,840] 我觉得司机开的瞎开就是很可怕
[00:02:52,280 -> 00:02:52,639] 对吧
[00:02:52,879 -> 00:02:56,719] 我觉得一个vimo可能比司机开的好
[00:02:57,080 -> 00:02:59,879] 但是不意味着大家在观念上
[00:02:59,879 -> 00:03:01,560] 绝大多数人的观念上可以接受
[00:03:02,000 -> 00:03:04,919] 他更相信这个机器而不是相信uber司机
[00:03:05,000 -> 00:03:05,900] 对吧
[00:03:06,199 -> 00:03:09,500] 所以说第一条件什么时候可以成熟到
[00:03:09,500 -> 00:03:14,099] 大多数时候车比人的水平好
[00:03:14,099 -> 00:03:14,800] 我觉得这个
[00:03:16,000 -> 00:03:18,400] 起码从那个uber司机的角度来看的话
[00:03:18,400 -> 00:03:19,300] 已经比他好了
[00:03:19,500 -> 00:03:21,000] 自动驾驶最后是一个产品的话
[00:03:21,000 -> 00:03:22,000] 它不光是技术
[00:03:22,000 -> 00:03:24,900] 还有怎么样让产品赢得市场
[00:03:24,900 -> 00:03:25,000] 不光是这个产品本身对吧有很多术还有怎么样让产品赢得市场
[00:03:25,000 -> 00:03:26,199] 不光是产品本身
[00:03:26,199 -> 00:03:27,680] 有很多其他的因素
[00:03:27,680 -> 00:03:28,960] 这个产品怎么样去推广
[00:03:28,960 -> 00:03:31,680] 从自动驾驶本身这个产品来说
[00:03:31,680 -> 00:03:33,560] 它要很大一份是信任
