[00:00:00,000 -> 00:00:01,760] Hello 大家好 欢迎回到凯特贝尔正
[00:00:01,760 -> 00:00:05,559] 今天我们聊一下人设这个词的负面
[00:00:05,559 -> 00:00:07,799] 如果常看我频道的同学会知道
[00:00:07,799 -> 00:00:10,400] 我其实是一个很不爱强调自己人设的人
[00:00:10,400 -> 00:00:12,359] 甚至我去采访很多嘉宾
[00:00:12,359 -> 00:00:15,199] 我和嘉宾都刻意避免那些嘉宾的人设
[00:00:15,199 -> 00:00:19,199] 尤其是大家跟市面上其他的讲职业的比的话
[00:00:19,199 -> 00:00:22,000] 其实很多人会把这个东西放到很重要的位置上
[00:00:22,000 -> 00:00:26,000] 我其实反而会有的时候刻意避免的去说这些东西
[00:00:26,000 -> 00:00:28,480] 大家可能都知道人设那些好的地方
[00:00:28,480 -> 00:00:29,760] 就是很光鲜亮丽
[00:00:29,760 -> 00:00:32,920] 这个标签本身可以带来很多的认可
[00:00:32,920 -> 00:00:34,200] 吸引很多的观众
[00:00:34,200 -> 00:00:37,799] 让大家天然对你的话产生信任等等的好处
[00:00:38,079 -> 00:00:40,520] 可是我为什么还是没有这么做呢
[00:00:40,600 -> 00:00:45,159] 那就是我心中会觉得人设可能带来了一些副作用了
[00:00:45,159 -> 00:00:46,960] 而且这里还有一个点
[00:00:46,960 -> 00:00:50,840] 就是大家平时看到的关注到的那些人大多数是有人设的
[00:00:50,840 -> 00:00:53,840] 因为这些人比如说他们的全职up主的话
[00:00:53,840 -> 00:00:56,000] 或者说是各种全职的influencer
[00:00:56,000 -> 00:00:57,799] 他们就需要打造一个人设
[00:00:57,799 -> 00:00:59,880] 如果我去做一个全职influencer的话
[00:00:59,880 -> 00:01:02,200] 我也会去想方设法来打造我的人设
[00:01:02,200 -> 00:01:04,680] 去打造几个让大家容易记住我的标签的
[00:01:04,680 -> 00:01:05,040] 所以说那这些小部分方设法来打造我的人设去打造几个让大家容易记住我的标签的
[00:01:09,359 -> 00:01:09,400] 所以说这些小部分有人设的人
[00:01:12,040 -> 00:01:16,120] 占据了大家大部分的注意力的时候大家就会觉得多数人都应该有人设
