[00:00:00,000 -> 00:00:01,240] 大家好
[00:00:01,240 -> 00:00:03,839] 中國的製造業越來越發達
[00:00:03,839 -> 00:00:07,040] 然後中國製造的產品的質量也越來越高
[00:00:07,040 -> 00:00:09,800] 不過在這個很多發達國家裡邊
[00:00:09,800 -> 00:00:13,199] 消費者仍然對中國製造的產品有很多偏見
[00:00:13,199 -> 00:00:17,879] 在他們心中中國製造的產品是低質和低價的代名詞
[00:00:17,879 -> 00:00:19,239] 不過讓人欣喜的是
[00:00:19,239 -> 00:00:20,600] 我們看到一些創業者
[00:00:20,600 -> 00:00:22,079] 在通過自己的行動
[00:00:22,079 -> 00:00:23,559] 尤其是用好的產品
[00:00:23,559 -> 00:00:25,000] 在打破這樣的偏見
[00:00:25,000 -> 00:00:27,000] 這期視頻我們就有幸採訪到了
[00:00:27,000 -> 00:00:30,000] 這些創業者中的一位翹楚
[00:00:30,000 -> 00:00:31,000] 家科
[00:00:31,000 -> 00:00:33,000] 他是Alter的創始人
[00:00:33,000 -> 00:00:35,000] Alter是2018年成立的
[00:00:35,000 -> 00:00:37,000] 網站是livealter.com
[00:00:37,000 -> 00:00:39,000] 他們是一個DTC模式
[00:00:39,000 -> 00:00:41,000] 就是Direct to Customers
[00:00:41,000 -> 00:00:45,000] 所以說他們的產品完全是线上销售
[00:00:45,000 -> 00:00:46,000] 没有线下店
[00:00:46,000 -> 00:00:49,000] 那他们在2019年的时候发布了自己的第一款单品
[00:00:49,000 -> 00:00:51,000] 是一个户外沙发
[00:00:51,000 -> 00:00:53,000] 在发布了这个沙发以后呢
[00:00:53,000 -> 00:00:55,000] 他们的客单价都是5000美元以上
[00:00:55,000 -> 00:00:58,000] 也就是说大家下一单会在上面花5000多块钱
[00:00:58,000 -> 00:01:03,000] 这个客单价在DTC里边是除了Tesla以外的最贵单品了
[00:01:03,000 -> 00:01:05,000] 在2020年的時候
[00:01:05,000 -> 00:01:07,000] 實現了十幾倍的增長
[00:01:07,000 -> 00:01:09,000] 我在採訪中,家科也跟我說
[00:01:09,000 -> 00:01:12,000] 他們在2021年還要打算實現十幾倍的增長
[00:01:12,000 -> 00:01:14,000] 在2020年的時候
[00:01:14,000 -> 00:01:17,000] Alter也被紅杉中國和Shan領頭
[00:01:17,000 -> 00:01:20,000] 是1050萬美元的A論融資
[00:01:20,000 -> 00:01:22,000] Alter的目標是要打造一個全美第一
[00:01:22,000 -> 00:01:25,400] 甚至是全世界第一的戶外生活品牌
[00:01:25,400 -> 00:01:27,480] 這些成就聽上去很厲害
[00:01:27,480 -> 00:01:29,599] 但是我這期採訪並不是要採訪
[00:01:29,599 -> 00:01:31,480] 這個家科怎麼做到了商業成就
[00:01:31,480 -> 00:01:35,680] 我更感興趣的是家科和Alter的產品力本身
