[00:00:00,000 -> 00:00:12,000] 你从Facebook跳去了这家Star
[00:00:12,000 -> 00:00:17,399] 然后放弃了你很好的trajectory
[00:00:17,399 -> 00:00:20,079] 然后放弃了拿了这么多钱
[00:00:20,079 -> 00:00:22,879] 听起来是一个非常risky的decision
[00:00:22,879 -> 00:00:23,160] 对
[00:00:23,160 -> 00:00:25,239] 为什么你能去做这个决定
[00:00:25,239 -> 00:00:28,960] 我觉得就是在前面take on risk big bag
[00:00:28,960 -> 00:00:31,760] 然后知道failure的情况是怎么样
[00:00:31,760 -> 00:00:33,399] 成功的情况是怎么样以后
[00:00:33,399 -> 00:00:35,320] 我的心态其实是有转变的
[00:00:35,320 -> 00:00:36,960] 在过去4年
[00:00:36,960 -> 00:00:38,679] 过去前3年
[00:00:38,799 -> 00:00:42,000] 我应该是比较risk awaitance的人
[00:00:42,000 -> 00:00:44,359] 就尽量避免high risk的东西
[00:00:44,359 -> 00:00:46,960] 我不自觉的会
[00:00:46,960 -> 00:00:49,679] 就是我在不自觉的情况下会去take一些risk
[00:00:49,679 -> 00:00:50,840] 但是我没有意识到
[00:00:50,840 -> 00:00:53,000] 然后经历过那么几年默练以后
[00:00:53,000 -> 00:00:55,520] 我就知道如果你想要有大的成功
[00:00:55,520 -> 00:00:57,159] 你必须是要take risk的
[00:00:57,159 -> 00:00:59,240] 如果你就是安于一律的话
[00:00:59,240 -> 00:01:01,759] 你的成长其实可能会非常有限
[00:01:01,759 -> 00:01:04,200] 所以我做startup的选择
[00:01:04,200 -> 00:01:06,079] 有一点就是我考慮到
[00:01:06,079 -> 00:01:08,599] 我自己在facebook現在的level
[00:01:08,599 -> 00:01:12,799] 然後還有我在目前這個org往前晉升的空間
[00:01:12,799 -> 00:01:15,079] 其實我覺得我晉升空間不是特別大的
[00:01:15,079 -> 00:01:16,680] 還是很hungry
[00:01:16,680 -> 00:01:20,519] 對本質上回台我還是在想
[00:01:20,519 -> 00:01:23,159] 我留在這裡我付出的努力
[00:01:23,159 -> 00:01:24,280] 是不是配得上
[00:01:24,280 -> 00:01:26,480] 就這個比org是不是值得我付出那么多努力
[00:01:26,640 -> 00:01:28,760] 因为其实Facebook很intense了
[00:01:28,760 -> 00:01:33,840] 然后我自己也是对相对来说比较hungry的人
[00:01:33,840 -> 00:01:35,560] 我还是想表现好一些的
[00:01:35,799 -> 00:01:38,760] 但是你要在这么大的一个场子里出头
[00:01:38,959 -> 00:01:41,159] 对我不知道是不是一个合适的选择
[00:01:41,519 -> 00:01:43,719] 所以在这个阶段我就开始往外看了
[00:01:44,120 -> 00:01:47,799] 我就往外面看有没有更好的机会
[00:01:48,359 -> 00:01:52,560] 能让风险和回报比例上相对好一些的
[00:01:53,599 -> 00:01:56,799] 然后这就是为什么我选择去一个startup
[00:01:56,799 -> 00:02:00,079] 因为你在一个hyper growth stage的一个startup
[00:02:00,760 -> 00:02:02,560] 你个人的成长
[00:02:02,840 -> 00:02:05,719] 其实可能公司的成长带给你的回报
[00:02:05,719 -> 00:02:08,080] 会比你个人成长带给你的回报还要更大一些
[00:02:08,599 -> 00:02:12,240] 对因为我觉得你个人的快速成长期
[00:02:12,439 -> 00:02:15,039] 可能就已经要进入到一个瓶颈
[00:02:15,039 -> 00:02:17,120] 很多人可能到e6就是一个头了
[00:02:17,120 -> 00:02:20,199] 我自己不知道我现在的上线在哪里
[00:02:20,199 -> 00:02:21,840] 但是我自己想得很清楚
[00:02:21,840 -> 00:02:23,159] 我继续留Facebook的话
[00:02:23,599 -> 00:02:24,800] 可能接下来四五年
[00:02:24,800 -> 00:02:26,400] 我未必会再升一级
[00:02:26,400 -> 00:02:29,840] 按照现在就做这些事情留在同一个org或者怎么样
[00:02:29,840 -> 00:02:32,479] 所以我觉得可能要换环境
[00:02:32,479 -> 00:02:33,960] 是时候去take一些risk
[00:02:33,960 -> 00:02:36,120] 起码体验一下
[00:02:36,120 -> 00:02:36,560] 对
[00:02:36,560 -> 00:02:38,560] 而且我其实想想
[00:02:38,560 -> 00:02:41,400] 我已经在大厂证明过自己了
[00:02:41,400 -> 00:02:42,199] nothing to lose
[00:02:42,199 -> 00:02:42,560] 真的
[00:02:42,560 -> 00:02:43,120] 对
[00:02:43,120 -> 00:02:45,159] 这个又是一个看起来很risky
[00:02:45,159 -> 00:02:46,199] 其实不是很risky
[00:02:46,199 -> 00:02:47,439] 就是后路想好了
[00:02:47,439 -> 00:02:48,319] 已经后路是吧
[00:02:48,319 -> 00:02:49,159] 后路就回来
[00:02:49,159 -> 00:02:49,800] 对
[00:02:49,800 -> 00:02:53,000] 相信就是这Facebook首先肯定特别想要
[00:02:53,000 -> 00:02:57,759] 然后就算这也有很多其他大厂都可以去试一试
[00:02:57,759 -> 00:02:58,080] 对
[00:02:58,080 -> 00:03:02,759] 但是我觉得你在选startup的时候
