[00:00:00,000 -> 00:00:02,399] Hello 大家好 欢迎回到课袋了例正
[00:00:02,759 -> 00:00:07,040] 我们这期视频是在美丽的喀什的一个哲飞酒店
[00:00:07,080 -> 00:00:10,560] 这里是唯一一个可以俯瞰喀什古城的酒店
[00:00:10,640 -> 00:00:14,519] 是我身边这位95后美女木桐的产业
[00:00:14,599 -> 00:00:15,679] 能不能跟大家打个招呼吧
[00:00:15,679 -> 00:00:17,199] Hello 大家好
[00:00:17,480 -> 00:00:20,800] 因为木桐她之前是在美国读高中
[00:00:20,879 -> 00:00:22,559] 然后去读大学
[00:00:22,600 -> 00:00:25,000] 现在回来回到家乡建设家乡
[00:00:25,000 -> 00:00:29,000] 他的这段经历对我妹妹特别有启发
[00:00:29,000 -> 00:00:31,000] 因为我妹妹现在也去美国读高中
[00:00:31,000 -> 00:00:35,000] 我们发现就是两个人之间有很多的共鸣
[00:00:35,000 -> 00:00:38,000] 有很多当时同样遇到的困惑
[00:00:38,000 -> 00:00:41,000] 于是我就想跟木桐聊一下他的这些经历
[00:00:41,000 -> 00:00:47,479] 但是后来在聊天的過程中發現木桐在這個名線上
[00:00:47,479 -> 00:00:51,240] 就是一個生在了一個令大家羨慕的家庭
[00:00:51,240 -> 00:00:52,719] 然後去了美國
[00:00:52,719 -> 00:00:54,600] 從小到大的學習成績都非常好
[00:00:54,600 -> 00:00:56,280] 然後去了優秀的高中
[00:00:56,280 -> 00:00:57,960] 去了優秀的大學
[00:00:57,960 -> 00:01:01,679] 這個別人都看似羨慕的這個環境之下
[00:01:01,679 -> 00:01:02,960] 其實有一條暗線
[00:01:02,960 -> 00:01:06,000] 就是他在這中間间各种的struggle
[00:01:06,000 -> 00:01:08,000] 和当这两个事情交织在一起的时候
[00:01:08,000 -> 00:01:10,000] 陷入了两年的抑郁
[00:01:10,000 -> 00:01:12,000] 这两年真的是过得非常辛苦
[00:01:12,000 -> 00:01:14,000] 但是她最后
[00:01:14,000 -> 00:01:16,000] 找到了一些方法
[00:01:16,000 -> 00:01:18,000] 走了出来
[00:01:18,000 -> 00:01:20,000] 所以说这些故事吧
[00:01:20,000 -> 00:01:22,000] 我觉得不光对我的妹妹
[00:01:22,000 -> 00:01:24,000] 其实对很多人都很有借鉴意义
[00:01:24,000 -> 00:01:27,599] 因为我们这代人慢慢的去想要自己到底要干什么的时候
[00:01:27,599 -> 00:01:29,200] 反而很多时候找不到答案
[00:01:29,200 -> 00:01:31,000] 对,是这样子的
[00:01:31,000 -> 00:01:36,099] 所以其实我们都觉得木桐是一个开挂的人
[00:01:36,099 -> 00:01:39,500] 因为我们会看到外界的那些条件
[00:01:39,500 -> 00:01:41,299] 但是木桐会觉得
[00:01:41,299 -> 00:01:44,900] 我自以为那开挂状态其实可能会跟大家想的很不一样
[00:01:44,900 -> 00:01:45,000] 好的,那我们就来把这个东西给拉进去吧我自以为的开挂状态其实可能会跟大家想的很不一样
