[00:00:00,000 -> 00:00:01,800] Hello 大家好 欢迎回到KWL正
[00:00:01,800 -> 00:00:03,720] 今天跟大家好好聊一下
[00:00:03,720 -> 00:00:07,120] 怎么样子去正确理解Chai GPT的意义
[00:00:07,440 -> 00:00:09,880] 其实有两篇文章讲得已经非常清楚了
[00:00:09,880 -> 00:00:11,400] 就是比尔盖茨
[00:00:11,400 -> 00:00:13,199] The Age of AI Has Begun
[00:00:13,199 -> 00:00:15,080] 还有这个Sam Altman
[00:00:15,080 -> 00:00:17,120] 还有一个Moore's Law for Everything
[00:00:17,320 -> 00:00:19,519] 这两篇文章讲得很清楚
[00:00:19,679 -> 00:00:22,600] 但是可能大家也没有去看原文
[00:00:22,640 -> 00:00:25,079] 我正好在我那篇文章的第二问里边
[00:00:25,079 -> 00:00:27,679] 去讲了 Chachabitty 的意义
[00:00:27,679 -> 00:00:30,280] 而且是在没有看这两篇文章的情况下
[00:00:30,280 -> 00:00:31,800] 自己去推导出来的
[00:00:31,800 -> 00:00:33,920] 后来发现看了这两篇文章以后
[00:00:33,920 -> 00:00:37,000] 和我那个文章所讲的也是非常有共鸣
[00:00:37,000 -> 00:00:39,200] 所以就给大家提供一下我的角度
[00:00:39,200 -> 00:00:42,439] 来给大家讲一下 Chachabitty 的 implication 是什么
[00:00:42,439 -> 00:00:48,799] 我相信听完了我的这个解释以后大家也应该对那两篇文章有一个更好的共鸣吧
[00:00:48,799 -> 00:00:51,200] 好 那我们就直接先引用大佬的观点
[00:00:51,200 -> 00:00:55,200] 就是 Gates 他在他的文章开篇第一句话就说
[00:00:55,200 -> 00:00:58,000] 他这辈子就看过两个颠覆性的技术
[00:00:58,000 -> 00:01:00,399] 第一个是GUI Graphic User Interface
[00:01:00,399 -> 00:01:02,320] 就是图形交互界面
[00:01:02,320 -> 00:01:04,120] 第二个就是Chai GPT了
[00:01:04,120 -> 00:01:05,120] 那这个怎么理解就是很多人会把Chai GPT比方成iPhone比方成电脑 比方成互界面第二个就是Chai GPT了那这个怎么理解
[00:01:05,120 -> 00:01:07,680] 就是很多人会把Chai GPT比方成iPhone
[00:01:07,680 -> 00:01:08,560] 比方成电脑
[00:01:08,560 -> 00:01:09,640] 比方成互联网
[00:01:09,640 -> 00:01:12,439] 但是我之前也在各种比方中找
[00:01:12,439 -> 00:01:13,599] 总是觉得没有找到
[00:01:13,599 -> 00:01:15,640] 当Gates说它是GUI的时候
[00:01:15,640 -> 00:01:17,719] 我就觉得没错就是这个样子的
[00:01:17,719 -> 00:01:18,959] 那这背后的
[00:01:18,959 -> 00:01:20,480] 那背后怎么理解它呢
[00:01:20,480 -> 00:01:22,640] 其实如果大家看我们的计算机历史
[00:01:22,640 -> 00:01:25,159] 我们就在三个地方不断的进步
[00:01:25,159 -> 00:01:28,319] 第一个就是在算力存储硬件上的进步
[00:01:28,319 -> 00:01:31,840] 第二个是在数据的生产和使用上的进步
[00:01:31,840 -> 00:01:33,159] 第二点我稍微多说一下
[00:01:33,159 -> 00:01:35,319] 就比如说我们在抖音上传一个短视频
[00:01:35,319 -> 00:01:37,079] 这个短视频本身是数据
[00:01:37,079 -> 00:01:39,680] 我们用户在浏览不同的短视频的时候
[00:01:39,680 -> 00:01:42,359] 产生的浏览行为也是数据
[00:01:42,359 -> 00:01:44,799] 抖音就可以把这些数据结合起来
[00:01:44,799 -> 00:01:46,719] 一方面给我们推送想看的视频
[00:01:46,719 -> 00:01:49,120] 一方面给我们推送我们更容易点击的广告
[00:01:49,120 -> 00:01:50,920] 从而形成它的商业模式
[00:01:50,920 -> 00:01:54,120] 所以说这个数据的产生和使用
[00:01:54,120 -> 00:01:57,920] 是一个推进互联网往前发展的非常重要的推手
[00:01:57,920 -> 00:02:00,620] 第三个也是非常非常重要的推手
[00:02:00,620 -> 00:02:03,219] 就是我们对上述两者的使用
[00:02:03,219 -> 00:02:05,799] 对算力存储和数据的使用
[00:02:05,799 -> 00:02:09,099] 所以GUI在这方面就是一个特别特别大的进步
[00:02:09,099 -> 00:02:12,599] 在GUI之前我们想要使用算力存储和数据的话
[00:02:12,599 -> 00:02:13,900] 我们都需要写代码
[00:02:13,900 -> 00:02:16,199] GUI就可以通过图形的方式
[00:02:16,199 -> 00:02:17,800] 用我们人类特别直观
[00:02:17,800 -> 00:02:20,400] 特别容易理解的方式直接拖拖拽拽一点点
[00:02:20,400 -> 00:02:21,199] 就可以去做了
[00:02:21,199 -> 00:02:23,099] 所以说大家今天刷短视频
[00:02:23,099 -> 00:02:24,500] 不需要写代码去刷
[00:02:24,500 -> 00:02:27,240] 而是只要用手机去操作就可以了
[00:02:27,240 -> 00:02:29,039] 那这个抽象呢
[00:02:29,039 -> 00:02:30,360] 其实还有很多很多层
[00:02:30,520 -> 00:02:32,319] 比如说编程语言的不停的抽象
[00:02:32,759 -> 00:02:34,840] 比如说从虚拟机到云服务的
[00:02:34,840 -> 00:02:36,240] 不同的不同的抽象
[00:02:36,240 -> 00:02:37,840] 所以每一次这样的抽象
[00:02:37,840 -> 00:02:39,520] 都带来了万亿的市场
[00:02:39,520 -> 00:02:42,080] 但是直到拆CPT出现之前
[00:02:42,080 -> 00:02:44,400] GUI和编程还是我们使用
[00:02:44,400 -> 00:02:46,800] 算力存储和数据的主要方式
[00:02:46,879 -> 00:02:49,039] 其实最近微软的那篇文章就是说
[00:02:49,039 -> 00:02:50,280] GPTs are GPT
[00:02:50,280 -> 00:02:51,400] 就是GPT本来是
[00:02:51,400 -> 00:02:54,000] Generative Pre-Trend Transformers
[00:02:54,120 -> 00:02:55,360] 但是他在那里面说呢
[00:02:55,360 -> 00:02:58,240] 这个GPT呢是General Purpose Technology
[00:02:58,520 -> 00:03:00,479] GPT它的意义就在于
[00:03:00,479 -> 00:03:02,560] 我们可以第一次使用人类
[00:03:02,560 -> 00:03:04,280] 非常熟悉的自然语言
[00:03:04,560 -> 00:03:07,120] 去调用非常通用的科技
[00:03:07,120 -> 00:03:11,319] 大家想一想GUI它其实是每一个按钮
[00:03:11,319 -> 00:03:14,719] 或者说每一个这种图形实现了一种功能
[00:03:14,719 -> 00:03:18,240] 我们稍稍一点个性化的或者说稍稍一点通用性的功能
[00:03:18,240 -> 00:03:19,639] 它就没有办法满足了
[00:03:19,639 -> 00:03:22,080] GUI满足的是特定的功能
[00:03:22,080 -> 00:03:27,199] 现在JPT能让我们自然语言去满足那些通用的功能
[00:03:27,199 -> 00:03:28,599] 这就是它的意义了
[00:03:28,599 -> 00:03:30,800] 所以说往前延伸一步的话
[00:03:30,800 -> 00:03:33,199] 我们现在所有的生产力的工作
[00:03:33,199 -> 00:03:36,400] 如果说是需要调用存储和数据的
[00:03:36,400 -> 00:03:41,199] 那我们未来都是有可能通过XJPT的方式很简单的去实现
[00:03:41,199 -> 00:03:43,000] 今天实现这些的方式呢
[00:03:43,000 -> 00:03:45,360] 很多时候还是需要很多工程师程序员PM合到一起的去实现今天实现这些的方式很多时候还是需要很多工程师
[00:03:45,360 -> 00:03:48,120] 程序员 PM 合到一起才能实现
[00:03:48,120 -> 00:03:51,479] 未来 ChatsPT 就直接给我们一个这样的接口
[00:03:51,479 -> 00:03:55,159] 那它在中长期带来的变化和市场机会
[00:03:55,159 -> 00:03:58,479] 也的确是一个堪比 GUI 的市场机会
[00:03:58,479 -> 00:03:58,919] 好的
[00:03:58,919 -> 00:04:02,560] 这是如何理解盖茨大佬说的 GUI 的事情
[00:04:02,560 -> 00:04:06,699] 那如何理解像毛泽曼说的万物的摩尔定律呢
[00:04:06,699 -> 00:04:10,300] 其实这里边我们用一个简单的思想实验就可以理解了
[00:04:10,300 -> 00:04:13,099] 我们今天的ChaiJPT它是记不住你说的话的
[00:04:13,099 -> 00:04:16,300] 但是我们就想象一下ChaiJPT开放了一个
[00:04:16,300 -> 00:04:18,399] 它可以记住你1000句话的接口
[00:04:18,399 -> 00:04:21,800] 我在文章里边把这个叫做prompting of configuration
[00:04:21,800 -> 00:04:23,399] 它可以用vector的方式实现等等
[00:04:23,399 -> 00:04:24,699] 技术细节我就不说了
[00:04:24,699 -> 00:04:27,439] 但是总之你可以训练一个XGBT
[00:04:27,439 -> 00:04:29,000] 它可以记住你的1000句话
[00:04:29,000 -> 00:04:30,879] 你这1000句话里边可以教给它
[00:04:30,879 -> 00:04:31,959] 你想要做什么
[00:04:31,959 -> 00:04:32,920] 你要怎么做
[00:04:32,920 -> 00:04:34,560] 然后你觉得什么是好的
[00:04:34,560 -> 00:04:35,240] 什么是不好的
[00:04:35,240 -> 00:04:35,959] 给它一些例子
[00:04:35,959 -> 00:04:37,079] 也给它一些反馈
[00:04:37,079 -> 00:04:38,879] 在这种情况下
[00:04:38,879 -> 00:04:41,519] 你的XGBT有没有可能达到
[00:04:41,519 -> 00:04:43,800] 你完成一项任务的80%的水平呢
[00:04:43,800 -> 00:04:46,199] 比如说我是一个数据科学数据分析
[00:04:46,199 -> 00:04:48,639] 那我教一个我的Chai GPT
[00:04:48,639 -> 00:04:51,959] 1000句话怎么样子做数据科学和数据分析
[00:04:51,959 -> 00:04:54,720] 我的Chai GPT能不能做到我80%的效果呢
[00:04:54,720 -> 00:04:57,040] 甚至说因为他有这么强大的算力
[00:04:57,040 -> 00:04:58,000] 这么强大的知识
[00:04:58,000 -> 00:04:59,639] 他能不能做到我的120%呢
[00:04:59,639 -> 00:05:01,360] 我觉得在一两年之内
[00:05:01,360 -> 00:05:03,240] 这都是会大概率发生的事情
[00:05:03,240 -> 00:05:04,560] 那这会带来什么
[00:05:04,560 -> 00:05:07,160] 大家知道人力资本其实是一个非常贵
[00:05:07,160 -> 00:05:08,839] 才能训练出来的东西
[00:05:08,959 -> 00:05:10,759] 可是我们人力资本它的
[00:05:10,759 -> 00:05:12,560] martial cost of distribution
[00:05:12,560 -> 00:05:15,560] 就是人力资本它去分发的成本是非常高的
[00:05:15,560 -> 00:05:18,399] 我们每个人是被我们的时间给限制的
[00:05:18,600 -> 00:05:20,879] 但是有了这样的一个Chart GPT以后
[00:05:21,040 -> 00:05:22,600] 我的人力资本的分发
[00:05:22,600 -> 00:05:24,199] 我的intelligence的分发
[00:05:24,199 -> 00:05:25,199] 我智能的分发
