[00:00:00,000 -> 00:00:01,720] 哈喽,大家好
[00:00:01,720 -> 00:00:03,919] 今天我想跟大家聊一下
[00:00:03,919 -> 00:00:05,719] 亚马逊的经济学家是干什么的
[00:00:05,719 -> 00:00:09,000] 我是2017年博士毕业之后
[00:00:09,000 -> 00:00:12,199] 就来亚马逊加入了它的反假货部门
[00:00:12,199 -> 00:00:13,919] 做一名经济学家
[00:00:13,919 -> 00:00:14,839] 工作了两年
[00:00:14,839 -> 00:00:17,480] 然后后来跳去Facebook做数据科学家
[00:00:17,480 -> 00:00:20,800] 在亚马逊的经济学家团队
[00:00:20,800 -> 00:00:23,039] 其实是一个还挺新
[00:00:23,039 -> 00:00:27,300] 也比较特别的存在吧他大概是200个人左右吧
[00:00:27,300 -> 00:00:31,600] 就是但是跟这个比如说亚马逊的其他的Jaw family来说
[00:00:31,600 -> 00:00:33,100] 其实是很小的
[00:00:33,100 -> 00:00:35,299] 像亚马逊的程序员可能几万人
[00:00:35,299 -> 00:00:38,799] 然后像Apply Scientist或者说是Research Scientist这些
[00:00:38,799 -> 00:00:40,399] 加起来就几千人
[00:00:40,399 -> 00:00:42,600] 200人算是非常非常小的
[00:00:42,600 -> 00:00:46,000] 但是你跟其他的比如大学去比起来
[00:00:46,000 -> 00:00:52,200] 亚马逊在北美我们北美的经济学博士
[00:00:52,200 -> 00:00:53,560] 每年有一个招market
[00:00:53,560 -> 00:00:55,960] 他有一个American Economic Association
[00:00:55,960 -> 00:00:57,159] 大家都会去那招人
[00:00:57,159 -> 00:01:00,960] 亚马逊就是一下子包园了很多经济学家
[00:01:00,960 -> 00:01:03,719] 因为像其他的大学招经济学博士
[00:01:03,719 -> 00:01:05,000] 大概是两三个人这样招
[00:01:05,000 -> 00:01:06,000] 像美联储这种地方
[00:01:06,000 -> 00:01:09,000] 可能所有的美联储加起来十来个人吧
[00:01:09,000 -> 00:01:11,000] 像亚马逊这样几十个几十个人招的
[00:01:11,000 -> 00:01:13,000] 算是很少见了
[00:01:13,000 -> 00:01:16,000] 那他那个经济学家团队
[00:01:16,000 -> 00:01:17,000] 现在还算比较小
[00:01:17,000 -> 00:01:19,000] 但是也在不断的扩大中
[00:01:19,000 -> 00:01:23,000] 其实他就是这个整个亚马逊的
[00:01:23,000 -> 00:01:25,599] 不同的数据团队的其中一种
[00:01:25,599 -> 00:01:27,000] 我们有自己的任务
[00:01:27,000 -> 00:01:29,000] 一会儿跟大家讲一下我们是做什么的
[00:01:29,000 -> 00:01:31,799] 亚马逊的数据团队比如说有
[00:01:31,799 -> 00:01:33,000] Business Analyst
[00:01:33,000 -> 00:01:35,000] Business Intelligent Engineer
[00:01:35,000 -> 00:01:36,000] Data Scientist
[00:01:36,000 -> 00:01:37,000] Data Engineer
[00:01:37,000 -> 00:01:38,000] Research Scientist
[00:01:38,000 -> 00:01:39,000] Applied Scientist
[00:01:39,000 -> 00:01:40,000] 然后Economist
[00:01:40,000 -> 00:01:41,000] 是其中之一
[00:01:41,000 -> 00:01:46,200] 我们会分一个Central Team或者Embedded Team
[00:01:47,000 -> 00:01:49,400] Central Team就是我们有一个Central Econ
[00:01:49,400 -> 00:01:50,799] 现在叫Core AI
[00:01:51,299 -> 00:01:53,299] 然后还有一些比如说B-Step Econ
[00:01:53,299 -> 00:01:55,700] 就是有一些这个比较Central团队
[00:01:55,700 -> 00:01:57,099] 那他们负责研究的呢
[00:01:57,099 -> 00:01:59,500] 就是整个公司层面的这种问题
[00:02:00,000 -> 00:02:03,099] 那或者说建一个整个公司都可以应用的
[00:02:03,099 -> 00:02:05,000] 这种Infrastructure或者Framework
[00:02:05,519 -> 00:02:07,359] 或者这样的模型开发这样的模型
[00:02:07,680 -> 00:02:10,560] 那像我加入一个反假货组
[00:02:10,560 -> 00:02:13,840] 我加入的就是一个叫Embedded Team
[00:02:14,080 -> 00:02:15,960] 就是你去一个产品组
[00:02:15,960 -> 00:02:18,000] 然后你plugin到这个产品组
[00:02:18,000 -> 00:02:20,680] 你去解决这个产品组应对的具体问题
[00:02:21,159 -> 00:02:24,759] 那我当时解决的就是反假货方面的问题
[00:02:30,039 -> 00:02:33,240] 亚马逊这种Embedded Economics是占这个数量的绝大多数那我们去主要是做研究三类问题
[00:02:33,240 -> 00:02:34,439] 或者说我们有三个专长吧
[00:02:34,439 -> 00:02:36,520] 一个是定价
[00:02:36,520 -> 00:02:37,360] 一个是预测
