[00:00:00,000 -> 00:00:04,599] 因为如果大家的受众可能是在湾区或者在西雅图的话
[00:00:04,599 -> 00:00:07,839] 大家可能觉得房价好像还没跌太多
[00:00:07,839 -> 00:00:10,560] 但是你如果看一些新兴的市场的话
[00:00:10,560 -> 00:00:13,560] 如果你看佛罗里达或者像叫Austin
[00:00:13,560 -> 00:00:16,640] 他们其实应该已经有不小的跌幅了
[00:00:16,640 -> 00:00:19,199] 可能甚至有地方超过20%
[00:00:19,199 -> 00:00:21,000] 在这再帮大家问一个问题
[00:00:21,000 -> 00:00:24,719] 就是有这样20%的跌幅在你看来是抄底的时间
[00:00:24,719 -> 00:00:25,000] 还是其实后面下面帮大家问一个问题有这样20%的跌幅在你看来是朝底的时间
[00:00:25,000 -> 00:00:27,640] 还是其实后面下面还在上游
[00:00:27,640 -> 00:00:31,519] 如果在你的概率成真的发生了衰退的时候
[00:00:31,519 -> 00:00:33,840] 你觉得历史上的lesson
[00:00:33,840 -> 00:00:37,039] 或者说你在工作中可能也学到了这些东西
[00:00:37,039 -> 00:00:38,560] 你看到了很多人的default对吧
[00:00:38,560 -> 00:00:41,200] 他会发生什么对个人会发生什么
[00:00:41,200 -> 00:00:43,920] 我记得all in里边陈麦尔写是有观点
[00:00:43,920 -> 00:00:45,880] 就是说为什么美国其实无法支持
[00:00:45,880 -> 00:00:47,079] 第三次战争了
[00:00:47,079 -> 00:00:48,280] 哪怕是代理人战争
[00:00:48,280 -> 00:00:50,439] 就是因为你只能去看美国的国债
[00:00:50,439 -> 00:00:51,520] Hello大家好
[00:00:51,520 -> 00:00:53,200] 欢迎回到课代表立正
[00:00:53,200 -> 00:00:57,560] 我们今天有王亚雄同学来给我们讲一下
[00:00:57,560 -> 00:01:00,799] 宏观经济形势和未来金融危机的可能性
[00:01:00,799 -> 00:01:03,479] 亚雄同学是在credit card工作
[00:01:03,479 -> 00:01:05,640] 所以说非常适合来聊这个问题大家好我叫王亚雄同学是在credit carver工作所以说非常适合来聊这个问题
[00:01:06,319 -> 00:01:08,200] 大家好 我叫王亚雄
[00:01:08,200 -> 00:01:10,439] 我觉得可能说的有点大了
[00:01:10,439 -> 00:01:13,480] 我可能是对自己的自己对宏观的一些看法
[00:01:13,480 -> 00:01:16,760] 就是包括我自己会怎么去plan
[00:01:16,760 -> 00:01:18,799] 我自己的financial的decision
[00:01:18,799 -> 00:01:22,439] 当然disclaimer这个不是financial advice
[00:01:22,439 -> 00:01:24,680] 对 既不代表公司观点
[00:01:24,680 -> 00:01:26,500] 也不是投资的advice
[00:01:26,500 -> 00:01:29,200] 我们share的是个人的data point
[00:01:29,200 -> 00:01:32,599] 而不是一个试图从中总结什么规律
[00:01:32,599 -> 00:01:36,500] 对 然后现在大家基本上能感觉到
[00:01:36,500 -> 00:01:38,400] 整个消费和经济形势
[00:01:38,400 -> 00:01:42,500] 然后从我们从credit行业看的话
[00:01:42,500 -> 00:01:47,280] 现在的delinquency就是违约率都在上升
[00:01:47,280 -> 00:01:51,680] 我能问一下大概上升有多严重吗
[00:01:51,680 -> 00:01:55,319] 基本上是可以比19年要高
[00:01:55,319 -> 00:01:56,680] 货币政策在收紧
[00:01:56,680 -> 00:01:59,480] 有很多下降的影响
[00:01:59,480 -> 00:02:01,480] 我想大家应该也能感觉到
[00:02:01,480 -> 00:02:04,879] 比如说你现在在房地产市场
[00:02:04,879 -> 00:02:08,319] 你想要看房子现在你的affordability会很差
[00:02:08,319 -> 00:02:12,840] 就是比如说08年的金融危机是因为这个次贷
[00:02:12,840 -> 00:02:16,240] 后他们的asset比他们的liability要少
[00:02:16,240 -> 00:02:19,039] 然后他们underwater然后就default
[00:02:19,039 -> 00:02:21,000] 现在感觉房价还没有降
[00:02:21,000 -> 00:02:23,680] asset price没有下降还是在上升
[00:02:23,680 -> 00:02:27,280] 那他们的违约主要是来自于什么
[00:02:27,280 -> 00:02:31,039] 我觉得可能有区域性的bias
[00:02:31,039 -> 00:02:35,840] 因为如果大家的受众可能是在湾区或者在西雅图的话
[00:02:35,840 -> 00:02:38,960] 大家可能觉得房价好像还没跌太多
[00:02:38,960 -> 00:02:41,759] 但是你如果看一些新兴的市场的话
