[00:00:00,000 -> 00:00:02,000] 坐坐坐 你这边没事的
[00:00:02,000 -> 00:00:03,480] 他那个录不到
[00:00:03,480 -> 00:00:05,480] 不是能录到你但是不打数
[00:00:05,480 -> 00:00:06,280] 对对对
[00:00:06,280 -> 00:00:07,919] 刚好做个宣传宣传嘛
[00:00:07,919 -> 00:00:09,919] 老板要不要介绍一下自己的店
[00:00:09,919 -> 00:00:11,919] 对老板要不你介绍一下嘛
[00:00:15,919 -> 00:00:17,920] 第一次有人这么问我
[00:00:17,920 -> 00:00:20,920] 这个为什么开个店
[00:00:20,920 -> 00:00:22,920] 介绍一下自己的店
[00:00:22,920 -> 00:00:23,920] 叫你为什么开的店
[00:00:23,920 -> 00:00:26,000] 之前是健身房的
[00:00:26,000 -> 00:00:26,800] 对
[00:00:26,800 -> 00:00:30,399] 然后来深圳以后是做这个店的
[00:00:30,399 -> 00:00:32,799] 这个时候开一个居酒屋
[00:00:32,799 -> 00:00:34,399] 你是玩票的富二代吗
[00:00:34,399 -> 00:00:37,200] 因为听说很多玩票的富二代最近在开餐馆
[00:00:37,200 -> 00:00:38,200] 是吗
[00:00:38,200 -> 00:00:38,600] 嗯
[00:00:38,600 -> 00:00:39,799] 这事我也听说了
[00:00:39,799 -> 00:00:41,399] 现在好多那个
[00:00:41,399 -> 00:00:44,200] 像刚刚这个就开始我们租房来的时候
[00:00:44,200 -> 00:00:46,640] 那个那个谁那个物业
[00:00:46,799 -> 00:00:48,799] 物业人他们那个老板就说
[00:00:48,799 -> 00:00:50,240] 你看是不是12代
[00:00:50,640 -> 00:00:52,560] 那现在好多基本12代在开店
[00:00:52,960 -> 00:00:55,359] 因为现在就是我这个就是听那个高海
[00:00:55,759 -> 00:00:58,200] 麦克派那个高海还有其他的人说就是
[00:00:58,799 -> 00:01:00,039] 因为很多
[00:01:00,759 -> 00:01:01,200] 嗯
[00:01:01,259 -> 00:01:04,560] 富二代们在疫情的时候拿着钱没有做事情了
[00:01:04,959 -> 00:01:08,599] 然后疫情结束了以后他们就好机会开餐厅了
[00:01:08,599 -> 00:01:11,400] 我们当时很多机会
[00:01:11,400 -> 00:01:14,000] 当时在哈尔滨的时候开街上房 卡丁车
[00:01:14,000 -> 00:01:15,799] 都是开自己喜欢的
[00:01:15,799 -> 00:01:19,000] 那时候玩车特别喜欢玩
[00:01:19,000 -> 00:01:24,000] 然后开了三年四年吧
[00:01:24,000 -> 00:01:25,280] 卡丁车干了四年
[00:01:25,280 -> 00:01:26,799] 健身房干了四五年
[00:01:26,799 -> 00:01:31,840] 然后后来突然之间这个经济环境没那么好
[00:01:31,840 -> 00:01:35,680] 然后又赶上是当时那个当地什么
[00:01:35,680 -> 00:01:38,239] 着了一场火灾烧死了很多人
[00:01:38,239 -> 00:01:40,480] 烧死了很多人对
[00:01:40,480 -> 00:01:42,560] 然后当时就是对我们有啥影响
[00:01:42,560 -> 00:01:43,680] 因为我们在人访
[00:01:43,680 -> 00:01:45,400] 人访地下室
[00:01:45,400 -> 00:01:47,599] 其实是不允许做商业经营的
[00:01:48,500 -> 00:01:50,700] 当时我们在仁坊地下室做的是
[00:01:50,700 -> 00:01:52,239] 这种卡丁车俱乐部5000平
[00:01:52,239 -> 00:01:52,700] 很大
[00:01:53,400 -> 00:01:56,000] 当时是东三省第一家
[00:01:57,200 -> 00:02:00,700] 就是那种真正的有经济性质的卡丁车
[00:02:00,799 -> 00:02:03,299] 而不是那种经常撞得头破血流的那种
[00:02:03,700 -> 00:02:04,900] 经常头破血流的
[00:02:04,900 -> 00:02:05,599] 真的是就是我那出国的事故大概有十几起了对 经常撞得头破血流的那种经常头破血流的真的是
[00:02:05,599 -> 00:02:08,800] 就是我那出国的事故大概有十几起了
[00:02:08,800 -> 00:02:12,400] 我在夏小厨玩一个室外的就是那个游车
[00:02:12,400 -> 00:02:14,000] 对 那个好好玩
[00:02:14,000 -> 00:02:14,800] 要游车
[00:02:14,800 -> 00:02:15,599] 那个好
[00:02:15,599 -> 00:02:16,400] 一定要游车
[00:02:16,400 -> 00:02:18,000] 那个超好玩
[00:02:18,000 -> 00:02:18,800] 最爽
[00:02:18,800 -> 00:02:19,599] 对
[00:02:19,599 -> 00:02:20,800] 而且它分马力的
[00:02:20,800 -> 00:02:24,400] 其实现在那个F1像这种
[00:02:24,400 -> 00:02:28,960] F1 F0其实都是从卡丁车开始
[00:02:28,960 -> 00:02:32,539] 那所以就不能开了
[00:02:32,539 -> 00:02:34,860] 对 然后干了三四年
[00:02:34,860 -> 00:02:36,900] 然后就不干了
[00:02:36,900 -> 00:02:40,740] 当时因为那个消防原因后来就停了
[00:02:40,740 -> 00:02:43,539] 当时我就自己算
[00:02:43,539 -> 00:02:45,000] 自己有四个机会
[00:02:45,000 -> 00:02:46,280] 有四个店
[00:02:46,719 -> 00:02:48,599] 然后都是各种原因
[00:02:48,800 -> 00:02:50,439] 然后就不能搞
[00:02:50,439 -> 00:02:52,479] 那时候也是年轻不懂事
[00:02:52,479 -> 00:02:53,280] 不懂运作
[00:02:53,280 -> 00:02:53,560] 你知道吗
[00:02:53,560 -> 00:02:53,919] 嗯
[00:02:53,919 -> 00:02:54,759] 就很直的
[00:02:54,759 -> 00:02:56,280] 我只是喜欢做这个事情
[00:02:56,280 -> 00:02:57,120] 然后想开
[00:02:57,120 -> 00:02:57,479] 对
[00:02:57,479 -> 00:02:58,360] 然后但是
[00:02:58,360 -> 00:03:00,120] 这能开成很有商业天赋
[00:03:00,120 -> 00:03:03,039] 因为大多数人开自己爱好
[00:03:03,039 -> 00:03:04,039] 是赚不到钱
[00:03:04,039 -> 00:03:05,599] 或者是甚至是经不大去的
[00:03:05,599 -> 00:03:06,099] 是
[00:03:08,159 -> 00:03:09,439] 但也是没开多久
[00:03:11,879 -> 00:03:12,800] 因为其他都
[00:03:16,159 -> 00:03:17,719] 就是说开就开
[00:03:17,719 -> 00:03:18,219] 好钱
[00:03:18,520 -> 00:03:19,020] 对
[00:03:19,020 -> 00:03:20,120] 然后就来深圳
[00:03:20,120 -> 00:03:21,199] 然后就是学嘛
[00:03:21,199 -> 00:03:22,080] 然后后来
[00:03:22,800 -> 00:03:23,680] 后来不刚刚
[00:03:23,680 -> 00:03:26,240] 当时大姨在这
[00:03:26,240 -> 00:03:30,319] 然后她是在我一个月的时候来的深圳
[00:03:30,319 -> 00:03:31,360] 那是89年
[00:03:31,360 -> 00:03:33,280] 89年12月她来的深圳
[00:03:33,280 -> 00:03:34,879] 很早
[00:03:34,879 -> 00:03:38,080] 然后就说那就上深圳来发展
[00:03:38,080 -> 00:03:39,680] 然后我就跑几遍了
[00:03:39,680 -> 00:03:41,199] 当时也是有个机会
[00:03:41,199 -> 00:03:43,120] 最开始来的时候是更有意思
[00:03:43,120 -> 00:03:44,639] 是大姨她那个公司
[00:03:44,639 -> 00:03:46,719] 她想做一个连锁的健身房品牌
[00:03:46,719 -> 00:03:47,960] 然后没有人去做
[00:03:47,960 -> 00:03:49,280] 她是个资本公司
[00:03:49,280 -> 00:03:50,719] 拿了很多钱
[00:03:50,719 -> 00:03:52,719] 但是她觉得健身房来行快
[00:03:52,719 -> 00:03:54,319] 然后她想做模式
[00:03:54,319 -> 00:03:55,639] 然后就说你能不能过来
[00:03:55,639 -> 00:03:57,639] 哎 艾力
[00:03:57,639 -> 00:04:01,120] 她说你能不能过来帮我一起来搞
[00:04:01,120 -> 00:04:02,039] 可以嘛
[00:04:02,039 -> 00:04:02,680] 见了一次
[00:04:02,680 -> 00:04:04,439] 然后就过来了
[00:04:04,439 -> 00:04:06,080] 结果来了以后
[00:04:06,080 -> 00:04:08,439] 他这个出尔反尔了
[00:04:08,439 -> 00:04:09,680] 不搞了
[00:04:09,680 -> 00:04:11,479] 我说那不搞怎么办
[00:04:11,479 -> 00:04:13,879] 我就找个公司做
[00:04:13,879 -> 00:04:18,399] 后来就一直在做目前这个咨询行业
[00:04:18,399 -> 00:04:21,879] 其实更多做这种类似于民间智库
[00:04:21,879 -> 00:04:23,199] 做咨询
[00:04:23,199 -> 00:04:24,480] 一直在做咨询
[00:04:24,480 -> 00:04:28,000] 然后做咨询行业跨行又做了個啥呢
[00:04:28,000 -> 00:04:31,000] 當時接了一些國研智庫
[00:04:31,000 -> 00:04:34,000] 它有一些公眾號要寫文章
[00:04:34,000 -> 00:04:37,000] 當時就公司接了他們文章的業務
[00:04:37,000 -> 00:04:40,000] 叫數字經濟的一個應用
[00:04:40,000 -> 00:04:43,000] 當時大家就想怎麼寫
[00:04:43,000 -> 00:04:44,000] 然後當時就沿著
[00:04:44,000 -> 00:04:45,480] 因為剛好要疫情
