[00:00:00,000 -> 00:00:01,199] 推薦三款
[00:00:01,199 -> 00:00:03,399] 平時都能點得到
[00:00:03,399 -> 00:00:05,000] 且又能裝逼的
[00:00:05,000 -> 00:00:06,599] 我會選一個我喜歡的品牌
[00:00:06,599 -> 00:00:08,400] 我知道這個品牌有什麼故事可以講
[00:00:08,400 -> 00:00:10,199] 顯得我很有檔次
[00:00:10,199 -> 00:00:11,599] 顯得我很有文化
[00:00:11,599 -> 00:00:13,400] 再說都說不下去了
[00:00:13,400 -> 00:00:14,599] 因為都是巧說出來的
[00:00:14,599 -> 00:00:15,400] 我更喜歡
[00:00:18,199 -> 00:00:19,800] 為什麼大家會吹出你妹妹
[00:00:19,800 -> 00:00:21,399] 然後你個人會喜歡你妹妹
[00:00:21,399 -> 00:00:22,600] 還是你會說我
[00:00:22,600 -> 00:00:24,199] 再說都說不下去了
[00:00:24,199 -> 00:00:25,800] 因為都是巧说出来的
[00:00:25,800 -> 00:00:26,699] 说吧
[00:00:26,699 -> 00:00:27,399] 可以吗
[00:00:27,399 -> 00:00:29,000] 大家都喜欢听这些
[00:00:29,000 -> 00:00:29,600] 可以吗
[00:00:29,600 -> 00:00:31,500] 我说真话
[00:00:31,500 -> 00:00:33,899] 不是说真话是你判断可不可以
[00:00:33,899 -> 00:00:35,399] 在这我当然希望你说真话
[00:00:35,399 -> 00:00:37,500] 我刚才都是一直一直在说真话
[00:00:37,500 -> 00:00:38,299] 其实对啊
[00:00:38,299 -> 00:00:39,799] 就是我当然希望你说真话
[00:00:39,799 -> 00:00:40,600] 谢谢谢谢
[00:00:40,600 -> 00:00:42,600] 对不说不说真话就没意义了
[00:00:42,600 -> 00:00:44,299] 对那那好呀
[00:00:44,299 -> 00:00:45,240] 我们继续
[00:00:45,240 -> 00:00:47,280] 就是刚刚说到了
[00:00:47,280 -> 00:00:49,039] 同一个酒精的酒精度嘛
[00:00:49,039 -> 00:00:51,320] 但是我说的不是酒精度
[00:00:51,320 -> 00:00:52,719] 就比如说可能是不是
[00:00:52,719 -> 00:00:54,200] 它盛放的越久
[00:00:54,200 -> 00:00:55,719] 不一定
[00:00:55,719 -> 00:00:57,000] 还是和谐度
[00:00:57,000 -> 00:00:58,799] 我回应一下你的问题
[00:00:58,799 -> 00:01:02,280] 比如说盛年越久
[00:01:02,280 -> 00:01:03,920] 比如说一个25年的威士忌
[00:01:03,920 -> 00:01:05,200] 跟30年的威士忌
[00:01:05,200 -> 00:01:08,640] 会不会一定比15年的更好喝
[00:01:08,640 -> 00:01:10,120] 不一定 为什么呢
[00:01:10,120 -> 00:01:13,319] 有一些的人他本身追求的风味
[00:01:13,319 -> 00:01:19,079] 就喜欢比如说是果香味风格更加的圆润
[00:01:19,079 -> 00:01:21,359] 花香味更加的完整
[00:01:21,359 -> 00:01:26,500] 那相对如果是这种的审美的一个标准来说其实不一定更高年份的会更加的完整那相对如果是这种的神美的一个标准来说
[00:01:26,500 -> 00:01:29,500] 其实不一定更高年份的会更加适合他
[00:01:29,500 -> 00:01:31,000] 为什么因为年份更高
[00:01:31,000 -> 00:01:35,000] 其实他在这个威士忌在桶里面的一个飞泡率就更高
[00:01:35,000 -> 00:01:39,500] 他的酒精他的香味酒体更加的浓缩
[00:01:39,500 -> 00:01:42,500] 他吸收桶我们叫吃桶的
[00:01:42,500 -> 00:01:44,500] 叫影响就会更大
[00:01:44,500 -> 00:01:47,000] 所以吃桶影响更大会适合哪些人
[00:01:47,000 -> 00:01:49,000] 比如说我们平时有抽雪茄啊
[00:01:49,000 -> 00:01:50,000] 老男人那种
[00:01:50,000 -> 00:01:52,519] 或者是重口味一点的人就会喜欢
[00:01:52,519 -> 00:01:55,519] 但是也不是每一个人都会喜欢重口味
[00:01:55,519 -> 00:01:57,519] 所以我觉得威士忌很有趣的是
[00:01:57,519 -> 00:01:59,519] 它什么风格都有
[00:01:59,519 -> 00:02:01,519] 就好像我们的消费者也是
[00:02:01,519 -> 00:02:03,519] 我们有很多不同兴趣爱好,不同年龄段
[00:02:03,519 -> 00:02:05,799] 不同的风味的一个偏好
[00:02:05,799 -> 00:02:07,400] 所以我们就可以去选
[00:02:07,400 -> 00:02:08,699] 所以有时候我会觉得
[00:02:08,699 -> 00:02:11,199] 你要问我我最喜欢哪一些风格威士忌
[00:02:11,199 -> 00:02:12,099] 喜欢什么的威士忌
[00:02:12,099 -> 00:02:14,699] 我真的我每次都很真心的
[00:02:14,699 -> 00:02:16,699] 很抱歉的会告诉他们
[00:02:16,699 -> 00:02:18,300] 我还不知道还没找到
[00:02:18,300 -> 00:02:22,699] 第一个我还没有喝遍全球的威士忌
[00:02:22,699 -> 00:02:24,699] 然后第二个我也很期待
[00:02:24,699 -> 00:02:25,000] 最强项的你喝了百分之多少我看一眼的话第一遍全球的威士忌然后第二个我也很期待
[00:02:25,000 -> 00:02:27,000] 最常见的你喝了百分之多少
[00:02:27,000 -> 00:02:30,000] 我看一眼的话应该喝了百分之
[00:02:30,000 -> 00:02:33,000] 应该92-93是有的
[00:02:33,000 -> 00:02:35,000] 92-93这么精确吗
[00:02:35,000 -> 00:02:36,000] 对 92-93 没有没有
[00:02:36,000 -> 00:02:39,000] 因为这些都是数卡为主嘛
[00:02:39,000 -> 00:02:42,000] 对对对 还有我们全球还有很多不同的产区啊
[00:02:42,000 -> 00:02:43,000] 还有很多
[00:02:43,000 -> 00:02:45,719] 所以我觉得威士忌或者烈酒
[00:02:45,719 -> 00:02:48,400] 有很多的无限的可能性
[00:02:48,400 -> 00:02:51,199] 所以我很难说这个是最好的
[00:02:51,199 -> 00:02:51,599] 对
[00:02:51,599 -> 00:02:51,919] 对啊
[00:02:51,919 -> 00:02:52,560] 或者是
[00:02:52,560 -> 00:02:54,280] 可是我再说一下
[00:02:54,280 -> 00:02:56,879] 我问这个问题背后我担心的那件事情
[00:02:56,879 -> 00:02:57,919] 或者说我为什么
[00:02:57,919 -> 00:02:59,680] 就是很多人在会
[00:02:59,960 -> 00:03:03,199] 把价格跟自己的判断联系起来呢
[00:03:03,240 -> 00:03:06,319] 就比如说你刚刚说对男人的审美上
[00:03:06,319 -> 00:03:08,400] 它就有高级和不高级对吧
[00:03:08,400 -> 00:03:10,080] 我今天看到人民日报发一个小红书
[00:03:10,080 -> 00:03:11,280] 就是不要找妈宝男
[00:03:11,280 -> 00:03:12,960] 不要找那些给你提供情绪价值的
[00:03:12,960 -> 00:03:15,000] 你要找那些可以和你共同成长的
[00:03:15,000 -> 00:03:17,680] 就似乎这里边是有一个高级和不高级
[00:03:17,680 -> 00:03:19,919] 那喝咖啡啊喝茶也是
[00:03:19,919 -> 00:03:22,000] 你一开始可能喜欢喝小甜爽
[00:03:22,000 -> 00:03:25,159] 然后你后来喜欢越来越那个就是纯粹
[00:03:25,159 -> 00:03:25,759] 对吧
[00:03:25,759 -> 00:03:28,599] 似乎你的口味变得高级起来了
[00:03:28,599 -> 00:03:31,159] 那你喝了这么多以后
[00:03:31,159 -> 00:03:32,680] 你有没有过这样的一个变化呢
[00:03:32,680 -> 00:03:33,879] 有啊
[00:03:33,879 -> 00:03:36,719] 就是一开始我觉得泥煤好像很牛逼
[00:03:36,719 -> 00:03:38,120] 那我就喝泥煤啊
[00:03:38,120 -> 00:03:41,039] 喝到差不多觉得好像都差不多
[00:03:41,039 -> 00:03:41,840] 是吗
[00:03:41,840 -> 00:03:42,240] 对
[00:03:42,240 -> 00:03:48,199] 然后后来我就根据不同的风味的陈年橡木桶去分了
[00:03:48,199 -> 00:03:49,199] 我后来就找到
[00:03:49,199 -> 00:03:53,400] 原来我是比较喜欢陈年过在蓝木桶
[00:03:53,400 -> 00:03:54,319] 葡萄酒桶
[00:03:54,319 -> 00:03:56,120] 白蓝地桶的威士忌
[00:03:56,120 -> 00:03:58,000] 所以你甚至觉得你每一次
[00:03:58,000 -> 00:04:01,000] 显著的一个风味都不是一个特征了
[00:04:01,000 -> 00:04:02,719] 它是一个风味特征
[00:04:02,719 -> 00:04:04,719] 只是说这个风味特征
[00:04:04,719 -> 00:04:07,840] 很多人他会有个阶段性
[00:04:07,840 -> 00:04:09,039] 就是一开始从不接受
[00:04:09,039 -> 00:04:11,120] 然后到之后他会爱上
[00:04:11,120 -> 00:04:12,639] 那对我来说
[00:04:12,639 -> 00:04:14,159] 我会接受
[00:04:14,159 -> 00:04:15,599] 但是我不会爱上
[00:04:15,599 -> 00:04:17,279] 就是我觉得这个男生很好
[00:04:17,279 -> 00:04:18,319] 但是我不会跟他谈恋爱
[00:04:18,319 -> 00:04:20,800] 但是我偶尔会拿出来看一下
[00:04:20,800 -> 00:04:23,199] 后来我就发现
