[00:00:00,000 -> 00:00:01,879] Hello大家好 欢迎回到课代表理正
[00:00:01,879 -> 00:00:03,319] 我是你们的课代表
[00:00:03,319 -> 00:00:04,759] 我是一个经济学博士
[00:00:04,759 -> 00:00:06,400] 然后在我读博士的时候呢
[00:00:06,400 -> 00:00:09,560] 我觉得经济学是一个设计特别巧妙的系统
[00:00:09,560 -> 00:00:13,519] 但是这个系统在现在的世界有两个重大的bug
[00:00:13,519 -> 00:00:15,960] 导致我们社会产生了很多很多的问题
[00:00:15,960 -> 00:00:18,519] 然后我也没有在其他的文献上
[00:00:18,519 -> 00:00:20,960] 或者说其他人那儿听到这个
[00:00:20,960 -> 00:00:22,280] 对这两个bug的思考
[00:00:22,280 -> 00:00:24,640] 但是我觉得这两个bug是非常非常重要的
[00:00:24,640 -> 00:00:26,059] 所以说今天就跟大家聊一下我觉得这两个bug是非常非常重要的所以说今天就跟大家聊一下
[00:00:26,059 -> 00:00:27,399] 我觉得两个bug是什么
[00:00:27,399 -> 00:00:31,140] 他们背后的原理和它为什么导致了我们现在社会的这么多问题
[00:00:31,140 -> 00:00:36,039] 第一个bug就是财富的绝对值而不是比例
[00:00:36,039 -> 00:00:40,079] 第二个是能源的定价问题
[00:00:40,079 -> 00:00:43,640] 第一个问题就是绝对值而不是比例
[00:00:43,640 -> 00:00:47,380] 我觉得因为这个问题导致了我們現在很多
[00:00:47,380 -> 00:00:51,439] 稀有資源比如說醫療資源分配的不公平和不效率
[00:00:51,439 -> 00:00:53,280] 它的公平和效率是難以兼顧的
[00:00:53,280 -> 00:00:56,119] 但是如果說有我那個方法的話
[00:00:56,119 -> 00:00:57,920] 它的公平和效率是可以兼顧的
[00:00:57,920 -> 00:01:00,859] 那第二個能源的定價問題
[00:01:00,859 -> 00:01:03,200] 它讓我們的社會的發展變得畸形
[00:01:03,200 -> 00:01:05,599] 然後帶來了各種各样的环境问题
[00:01:05,599 -> 00:01:08,599] 也可能给未来人类带来了很多危机
[00:01:08,599 -> 00:01:11,000] 之所以这两个问题我觉得非常重要
[00:01:11,000 -> 00:01:12,500] 但是我又没有急着说
[00:01:12,500 -> 00:01:15,099] 是因为我知道他们非常非常难解决
[00:01:15,099 -> 00:01:18,099] 所以说我今天所做的直播是把问题指出来
[00:01:18,099 -> 00:01:21,500] 我不觉得它在我的有生之年是能被解决的
[00:01:21,500 -> 00:01:22,700] 可是谁知道呢
[00:01:22,700 -> 00:01:23,900] 说不定有人可以是吧
[00:01:23,900 -> 00:01:25,799] 那我就跟大家说一下吧
[00:01:25,799 -> 00:01:27,640] 第一个是这样子的
[00:01:27,640 -> 00:01:29,159] 就是市场分配
[00:01:29,159 -> 00:01:30,879] 如果大家学一下经济学的话
[00:01:30,879 -> 00:01:32,799] 会知道是非常有效率的
[00:01:32,799 -> 00:01:35,280] 它不光可以给每个人激励
[00:01:35,280 -> 00:01:37,799] 让这些人为了让自己爽
[00:01:37,799 -> 00:01:38,799] 就是self-interest
[00:01:38,799 -> 00:01:39,040] 对吧
[00:01:39,040 -> 00:01:40,439] 为了增加自己的utility
[00:01:40,439 -> 00:01:42,359] 就去为别人而打工
[00:01:42,359 -> 00:01:44,040] 而且它可以把资源
[00:01:44,040 -> 00:01:45,000] 比较合理的方式
[00:01:45,000 -> 00:01:46,920] 去有效率的分配给每一个人
[00:01:46,920 -> 00:01:49,480] 他既能收集到每个人想要什么的信息
[00:01:49,480 -> 00:01:51,799] 然后又能有一个合适的定价
[00:01:51,799 -> 00:01:55,120] 去把它分配给需要这些的人
[00:01:55,120 -> 00:01:56,319] 可是有一个问题啊
[00:01:56,319 -> 00:01:59,079] 就是每个人的财富积累是不一样的
[00:01:59,079 -> 00:02:00,920] 在我们高级微观经济学里边
[00:02:00,920 -> 00:02:03,799] 有一条证明市场是非常有效的
[00:02:03,799 -> 00:02:06,079] 这样一个均衡這樣一個均衡解
[00:02:06,079 -> 00:02:08,599] 這個均衡解裏邊也是說到了
[00:02:08,599 -> 00:02:11,199] 其實每一個人他是有不同的權重的
[00:02:11,199 -> 00:02:12,699] 這個人的不同的權重
[00:02:12,699 -> 00:02:16,080] 就是這個人的財富在社會財富中所佔的比例
[00:02:16,080 -> 00:02:18,800] 說有人話呢就是有錢人就可以得到更多
[00:02:18,800 -> 00:02:20,400] 對吧 有錢就可以為所欲為
[00:02:20,400 -> 00:02:26,400] 那這個時候當我們去爭取一起用市场的机制
[00:02:26,400 -> 00:02:29,199] 去获得一些稀缺资源 比如说医疗资源
[00:02:29,199 -> 00:02:31,400] 我应该救A的命还是B的命
[00:02:31,400 -> 00:02:33,400] 对于现在的这个市场来说
[00:02:33,400 -> 00:02:37,199] 他只能说谁给的钱高 就把这个资源给谁
[00:02:37,199 -> 00:02:38,199] 这样是合理的
[00:02:38,199 -> 00:02:43,400] 可是我们希望的市场是这个资源对谁更重要
[00:02:43,400 -> 00:02:45,000] 我们就把这个资源给谁
[00:02:45,000 -> 00:02:46,000] 这样才是最有效率的
[00:02:46,000 -> 00:02:49,000] 起码从一个更ethical的角度来说
[00:02:49,000 -> 00:02:50,000] 是这样子
[00:02:50,000 -> 00:02:51,000] 就是重复一遍啊
[00:02:51,000 -> 00:02:52,000] 我们理想中的市场
[00:02:52,000 -> 00:02:56,000] 是每个人都可以通过一个竞价机制
[00:02:56,000 -> 00:02:58,000] 来告诉这个资源分配者
[00:02:58,000 -> 00:03:02,000] 这个资源对我来说有多重要
[00:03:02,000 -> 00:03:03,000] 然后这个资源分配者
[00:03:03,000 -> 00:03:04,000] 也就是市场
[00:03:04,000 -> 00:03:09,400] 把这个资源分配给觉得这个资源对他来说有多重要然后这个资源分配者也就是市场把这个资源分配给觉得这个资源对他来说最重要的那个人
[00:03:09,400 -> 00:03:12,199] 这样这个资源就可以发挥它的最大价值
[00:03:12,199 -> 00:03:14,000] 比如说医疗对吧
[00:03:14,000 -> 00:03:16,500] 我觉得对我来说健康非常重要
[00:03:16,500 -> 00:03:18,300] 那我就愿意出更大的代价
[00:03:18,300 -> 00:03:25,319] 可是现在的这个市场你只能是根据价格来进行竞争
[00:03:25,319 -> 00:03:27,599] 所以说你能出100 我能出200
[00:03:27,599 -> 00:03:29,000] 那这个东西就会被我拿到
[00:03:29,000 -> 00:03:30,240] 那有一个人能出300
[00:03:30,240 -> 00:03:31,719] 那这个东西就会给那个人
[00:03:31,719 -> 00:03:35,560] 我觉得理想中的一个市场分配机制
[00:03:35,560 -> 00:03:37,240] 是按照比例来分配的
[00:03:37,240 -> 00:03:39,800] 就是我愿意出我的财富的1%
[00:03:39,800 -> 00:03:41,439] 你愿意出你的财富的2%
[00:03:41,439 -> 00:03:42,280] 那这个给你
[00:03:42,280 -> 00:03:43,800] 那好 那对于另外一个人来说
[00:03:43,800 -> 00:03:44,520] 他更重要
[00:03:44,520 -> 00:03:46,840] 他愿意出他的所有財富的10%
[00:03:46,840 -> 00:03:48,520] 那他就可以得到這個東西
[00:03:48,520 -> 00:03:50,639] 然後他的10%可能是1萬塊錢
[00:03:50,639 -> 00:03:52,960] 然後另外一個人的2%可能是2個億
[00:03:52,960 -> 00:03:53,800] 但是沒關係
[00:03:53,800 -> 00:03:56,159] 給那個願意出10%的人
[00:03:56,159 -> 00:03:57,800] 當然了大家也可以聽到了
[00:03:57,800 -> 00:03:59,240] 為什麼是一個純粹的理想
