[00:00:00,000 -> 00:00:03,520] 下一款酒叫做Château Pont-du-Canet
[00:00:03,520 -> 00:00:05,839] 是来自波尔多,也是波尔多的族人
[00:00:05,839 -> 00:00:07,839] 但是另外一个小区叫做Polyak
[00:00:07,839 -> 00:00:12,679] Polyak在我们刚才喝的Centralian的北部
[00:00:12,679 -> 00:00:15,000] Polyak也是个非常有名的产区
[00:00:15,000 -> 00:00:18,000] 就是因为我们大家最熟悉的拉菲亚
[00:00:18,000 -> 00:00:25,000] 波尔多五大�的四大种都是从嗯啊
[00:00:25,000 -> 00:00:26,000] Polyark
[00:00:26,000 -> 00:00:27,000] 三大种吧
[00:00:27,000 -> 00:00:28,000] 从Polyark来的
[00:00:28,000 -> 00:00:31,000] 然后这款酒最特别的点是在于
[00:00:31,000 -> 00:00:34,000] 他们做酒的一种工艺叫做生物动力法
[00:00:34,000 -> 00:00:36,000] 所谓生物动力法的意思就是说
[00:00:36,000 -> 00:00:39,000] 首先他得所有的葡萄
[00:00:39,000 -> 00:00:40,000] 包括
[00:00:41,000 -> 00:00:44,000] 采摘种植包括那个酿造过程必须是
[00:00:44,000 -> 00:00:45,600] 首先必须是有机
[00:00:45,600 -> 00:00:47,600] 然后在有机的过程中
[00:00:47,600 -> 00:00:53,399] 他要follow一个在19世纪一个奥地利
[00:00:53,399 -> 00:00:56,799] 一个生物博士叫做
[00:00:56,799 -> 00:00:59,799] 叫做什么鲁道夫什么什么
[00:00:59,799 -> 00:01:02,399] 他做了一个相当于一个浓郁的法则
[00:01:02,399 -> 00:01:10,599] 他觉得世界上的任何的植物包括他们其实都是有月球的这种引力
[00:01:11,000 -> 00:01:15,299] 会给他们带来不同的这种生物内的能量
[00:01:15,400 -> 00:01:18,500] 所以说他所有的种植施肥
[00:01:18,500 -> 00:01:21,599] 包括采摘必须要按照一个月星
[00:01:21,700 -> 00:01:22,900] 首先要摘月象
[00:01:23,700 -> 00:01:26,099] 来看今天什么时段能做什么事情
[00:01:26,299 -> 00:01:29,400] 其次他会把每一天都分成了不同的天
[00:01:29,400 -> 00:01:31,500] 他有一天比如花日
[00:01:32,099 -> 00:01:36,000] 果日啊还有那种草草日
[00:01:36,200 -> 00:01:37,099] 还有个什么日
[00:01:37,200 -> 00:01:40,200] 夜日对就是在每一个每一天
[00:01:40,200 -> 00:01:41,200] 你只能做同样事情
[00:01:41,200 -> 00:01:43,299] 比如说只有花日的时候或者果日的时候
[00:01:43,299 -> 00:01:44,400] 你才能去
[00:01:44,700 -> 00:01:45,439] 啊采葡萄
[00:01:45,439 -> 00:01:46,480] 或者你才能给它施肥
[00:01:46,480 -> 00:01:48,560] 所以它是一个它相当于一个
[00:01:48,560 -> 00:01:49,120] 吉日
[00:01:49,120 -> 00:01:50,959] 对它相当于一个
[00:01:51,799 -> 00:01:52,840] 就像中国的农历
[00:01:52,840 -> 00:01:53,280] 它有很多
[00:01:53,280 -> 00:01:54,120] 黄道吉日
[00:01:54,120 -> 00:01:54,760] 对它有一种吉日
[00:01:54,760 -> 00:01:56,599] 一驾驱一搬家
[00:01:56,599 -> 00:01:58,920] 没错就是你说不清楚
[00:01:58,920 -> 00:02:01,319] 它到底为什么这个东西works
[00:02:01,319 -> 00:02:02,359] 它当然就是一种
[00:02:02,359 -> 00:02:03,239] 首先是一种经验
[00:02:03,239 -> 00:02:04,319] 首先是一种迷信
[00:02:04,680 -> 00:02:06,599] 但是无论如何
[00:02:06,599 -> 00:02:08,699] 意味着你作为一个农民
[00:02:08,699 -> 00:02:10,840] 如果你要遵循生物动力法则的话
[00:02:10,840 -> 00:02:13,080] 你必须每天花大量的时间在你的
[00:02:13,500 -> 00:02:14,599] 葡萄田里面
[00:02:14,699 -> 00:02:16,800] 因为首先你已经是有机的
[00:02:16,800 -> 00:02:18,199] 然后其次你
[00:02:18,379 -> 00:02:21,180] 有机很多情况下你也还是可以使用少量的
[00:02:21,180 -> 00:02:21,699] 农药
[00:02:22,080 -> 00:02:23,439] 少量的那种化学物质
[00:02:23,479 -> 00:02:26,000] 但是生物动力法是一點農藥都不可以
[00:02:26,000 -> 00:02:28,000] 甚至有些生物動力法的人
[00:02:28,000 -> 00:02:30,000] 他們認為可能草都不應該拔
[00:02:30,000 -> 00:02:32,000] 或者枝都不應該修剪
[00:02:32,000 -> 00:02:34,000] 就應該讓它自然的風轉
[00:02:34,000 -> 00:02:36,000] 所以Nat是
[00:02:36,000 -> 00:02:38,000] 對,Nat是
[00:02:38,000 -> 00:02:40,000] 我們說到一個
[00:02:40,000 -> 00:02:42,000] 我剛剛有一個視覺大師叫Nat Reddy
[00:02:42,000 -> 00:02:44,000] 他做了一個酒莊叫做Haiyu
[00:02:44,000 -> 00:02:45,240] Haiyu就是一個生物动力法酒庄
[00:02:45,240 -> 00:02:47,939] 就是他不修剪自己的葡萄枝不拔草
[00:02:47,939 -> 00:02:50,240] 这是一种极端
[00:02:50,240 -> 00:02:55,039] 但是总的来说因为它有很多非常复杂的这种规矩
[00:02:55,039 -> 00:02:58,740] 使得你一个种植者每天花了大量时间在田地里面
[00:02:58,740 -> 00:03:03,439] 所以它会比一些用机械方法或用化学方法的种植者
[00:03:03,439 -> 00:03:05,120] 他会更加关心自己的泡田
[00:03:05,120 -> 00:03:06,719] 也就意味着他最后做出来更好
[00:03:06,719 -> 00:03:10,879] 我们最后喝出来是这个酒用生动力法组织确实好
[00:03:10,879 -> 00:03:14,319] 至于是生动力法在起作用
[00:03:14,319 -> 00:03:16,159] 还是说因为他足够care他的田
[00:03:16,159 -> 00:03:17,360] 这个我们很难讲
[00:03:17,360 -> 00:03:20,319] 但是目的达到他做的酒真的是非常好喝
[00:03:20,319 -> 00:03:24,560] 这瓶是让我真的相信生动力法不是一个邪教
[00:03:24,560 -> 00:03:26,800] 而真的是可行的一瓶酒当我喝过14年的这瓶P让我真的相信生活中的立法不是一个邪教而真的是可行的一瓶酒
[00:03:26,800 -> 00:03:28,319] 当我喝过14年的这瓶
[00:03:28,319 -> 00:03:30,080] Ponty看了之后我就震惊了
[00:03:30,080 -> 00:03:33,919] 他比剩下所有的14年的我喝过的酒都要表现得更加出色
[00:03:33,919 -> 00:03:35,599] 但是这个是一个100的酒
[00:03:35,599 -> 00:03:39,520] 100年是也是21世纪波尔多两个大年
[00:03:39,520 -> 00:03:40,719] 一个是09年跟10年
[00:03:40,719 -> 00:03:44,479] 都是认为是21世纪波尔多最伟大的两个年份
[00:03:44,479 -> 00:03:45,759] 他的纯年简�力可以相当高
[00:03:45,759 -> 00:03:47,680] 这瓶酒的话你放个什么三四十年
[00:03:47,680 -> 00:03:49,680] 再回回喝都是没问题的
[00:03:49,680 -> 00:03:52,479] 对就说完了
[00:03:52,479 -> 00:03:55,360] 另外一个它也是一个1855年的列级装
[00:03:55,360 -> 00:03:56,319] 它是5级装
[00:03:56,319 -> 00:03:57,919] 但是不要小瞧它是5级装
[00:03:57,919 -> 00:04:00,319] 它是一个所谓的超5级装
[00:04:00,319 -> 00:04:02,080] 也是它的水准其实可以达到
[00:04:02,080 -> 00:04:03,919] 达到二级装甚至一级装的水平
[00:04:03,919 -> 00:04:06,879] 所以它的性价比是非常高的
[00:04:06,879 -> 00:04:10,080] 所以大家看到Ponti Carnet千万不要错过
