[00:00:00,000 -> 00:00:01,919] 大家想互相說服
[00:00:01,919 -> 00:00:04,799] 你要想把你的這個可能幾百個小時
[00:00:04,799 -> 00:00:06,440] 積累下來的這個認知
[00:00:06,440 -> 00:00:08,960] 去跟別人在幾分鐘之內講清楚
[00:00:08,960 -> 00:00:10,400] 是很難很難的一件事情
[00:00:10,400 -> 00:00:11,000] 大家好
[00:00:11,000 -> 00:00:12,359] 歡迎回到看臺白立照
[00:00:12,400 -> 00:00:16,600] 我們這系列節目會採訪一些遊戲行業的應屆生
[00:00:16,640 -> 00:00:20,160] 然後聽聽他們在遊戲行業里打工的經歷
[00:00:20,199 -> 00:00:22,000] 我們今天請到了浩宇同學
[00:00:22,160 -> 00:00:23,760] 浩宇同學你來做個自我介紹
[00:00:23,760 -> 00:00:24,559] 大家好
[00:00:24,559 -> 00:00:25,000] 我是浩宇我加入浩宇同学你来做个自我介绍呗大家好我是浩宇
[00:00:25,000 -> 00:00:27,000] 我加入游戏行业已经一年半了
[00:00:27,000 -> 00:00:29,000] 是19年从大学毕业
[00:00:29,000 -> 00:00:32,000] 学的也是相关的游戏的专业
[00:00:32,000 -> 00:00:35,000] 很高兴可以跟大家一起分享游戏行业
[00:00:35,000 -> 00:00:38,000] 或者说游戏应届生应该去干嘛的一些知识
[00:00:38,000 -> 00:00:39,000] 这就很神奇了
[00:00:39,000 -> 00:00:41,000] 游戏相关的专业
[00:00:41,000 -> 00:00:43,000] 这到底是个什么专业
[00:00:43,000 -> 00:00:44,000] 先说一下那个学校呗
[00:00:44,000 -> 00:00:47,399] 我是罗切斯特理工大学的
[00:00:47,399 -> 00:00:51,600] 然后我们学的是游戏设计与游戏开发
[00:00:51,600 -> 00:00:56,079] 然后其实这是一个相对来说比较偏实际操作的一个专业
[00:00:56,079 -> 00:00:59,000] 它会有很多的游戏相关的理论知识
[00:00:59,000 -> 00:01:01,679] 但是它同时也会去做很多游戏实践
[00:01:01,679 -> 00:01:05,680] 比如说像隐形实现或者说渲染相关的这种层面的工作
[00:01:05,680 -> 00:01:09,239] 然后其实我现在我的同学们目前来说啊
[00:01:09,239 -> 00:01:12,280] 就大部分应该是比较偏向于去做啊
[00:01:12,280 -> 00:01:13,280] 隐形工程师啊
[00:01:13,280 -> 00:01:14,879] 或者说图形渲染啊
[00:01:14,879 -> 00:01:16,280] 我可能比较异类啊
[00:01:16,280 -> 00:01:18,480] 我做了我最后成了一个策划
[00:01:18,480 -> 00:01:19,519] 他们是游戏
[00:01:19,519 -> 00:01:20,579] 但都在游戏行业是吧
[00:01:20,579 -> 00:01:22,980] 对游戏行业的那个硬的东西
[00:01:22,980 -> 00:01:24,680] 你这个游戏策划相对
[00:01:24,680 -> 00:01:26,599] 对我相对来说比较偏设计一些
[00:01:26,599 -> 00:01:29,400] 然后他们做的工作会更偏硬件
[00:01:29,400 -> 00:01:31,599] 比如说怎么去处理图形的效果
[00:01:31,599 -> 00:01:34,200] 以及左摄器之类相关的东西
[00:01:34,200 -> 00:01:35,599] 这是你毕业的学位
[00:01:35,599 -> 00:01:37,400] 你刚进大学就是这个学位吗
[00:01:37,400 -> 00:01:39,799] 不是 其实我在本科的时候
[00:01:39,799 -> 00:01:42,599] 本科的时候我当时
[00:01:42,599 -> 00:01:44,200] 其实作为一个大学生来说
[00:01:44,200 -> 00:01:45,000] 我也是比较迷茫的
[00:01:45,000 -> 00:01:49,920] 就是我自己并不知道我应该去从事什么样的未来的一个工作
[00:01:49,920 -> 00:01:51,599] 罗切斯特理工这个是硕士
[00:01:51,599 -> 00:01:53,000] 对这个是硕士
[00:01:53,000 -> 00:01:56,280] 然后本科是纽约州立大学的
[00:01:56,280 -> 00:01:59,200] 其实相对来说都不是非常出名的学校
[00:01:59,200 -> 00:02:01,519] 但是我们当时去选专业的时候
