[00:00:00,000 -> 00:00:02,319] 所以说中心化是一个更有效率的选择
[00:00:02,319 -> 00:00:05,519] 而不是Web2这个技术本身天然的选择
[00:00:05,519 -> 00:00:07,480] 大家好 欢迎回到看点微信上
[00:00:07,480 -> 00:00:09,599] 今天我们聊的这期标题是
[00:00:09,599 -> 00:00:11,240] Web3其实是二次元
[00:00:11,560 -> 00:00:13,240] 我之前是不敢聊这些话题的
[00:00:13,240 -> 00:00:16,199] 因为担心Web3的大佬们觉得我是在诋毁他们
[00:00:16,440 -> 00:00:18,719] 但是其实我是非常喜欢二次元
[00:00:18,719 -> 00:00:21,879] 然后我觉得二次元是一个非常重要非常大的一个工业
[00:00:22,000 -> 00:00:25,800] 这其实就我们国产游戏的标杆原神的广告
[00:00:25,800 -> 00:00:27,839] 大家知道原神是一款非常成功
[00:00:27,839 -> 00:00:29,800] 不管是内容还是商业化
[00:00:29,800 -> 00:00:31,320] 都非常成功的一个游戏
[00:00:31,320 -> 00:00:34,520] 然后它就是二次元宅们做给二次元的一个游戏
[00:00:34,520 -> 00:00:37,679] 所以说二次元不是说这个东西不重要
[00:00:37,679 -> 00:00:39,240] 这个web3还是很重要
[00:00:39,240 -> 00:00:41,439] 可是为什么说web3是二次元呢
[00:00:41,439 -> 00:00:43,439] 想说的就是其实像二次元一样
[00:00:43,439 -> 00:00:46,640] 二次元不是三次元世界的一个替代品
[00:00:46,679 -> 00:00:48,039] 它不是一个平行概念
[00:00:48,079 -> 00:00:49,840] 二次元其实是我们所在的
[00:00:49,840 -> 00:00:52,240] 这个三次元世界里边的一个小子集
[00:00:52,479 -> 00:00:54,280] web3这个概念也是这个样子的
[00:00:54,399 -> 00:00:56,039] 它不是web2的下一代
[00:00:56,039 -> 00:00:57,640] 或者web2的平行概念
[00:00:57,799 -> 00:00:58,880] 其实在web3之前
[00:00:58,880 -> 00:01:00,280] 大家也没有听说过web2是吧
[00:01:00,280 -> 00:01:01,799] 世界上只有一个互联网
[00:01:01,939 -> 00:01:04,140] 然后web3只是这一个互联网的一个
[00:01:04,140 -> 00:01:05,439] 小子集而已
[00:01:05,439 -> 00:01:08,319] 这个小子集可以很重要 可以很有商业价值
[00:01:08,319 -> 00:01:10,400] 但是大家千万不要混淆了概念
[00:01:10,400 -> 00:01:14,519] 不要觉得web3天然而然的是web2的一个下一代的概念
[00:01:14,519 -> 00:01:17,120] 我这就简单介绍几个要点
[00:01:17,120 -> 00:01:18,719] 一个是web3的本质是什么
[00:01:18,719 -> 00:01:21,920] 一个是web3它所宣称的很多东西
[00:01:21,920 -> 00:01:25,159] 比如说去中心化不可篡改等等
[00:01:25,159 -> 00:01:27,439] 到底是不是web3独有的东西
[00:01:27,439 -> 00:01:28,760] 答案就是它并不是
[00:01:28,760 -> 00:01:32,159] 其实我们互联网上有很多很多各种各样的解决方法
[00:01:32,159 -> 00:01:35,000] web3只是其中一种解决方法而已
[00:01:35,000 -> 00:01:36,319] 然后最后呢
[00:01:36,319 -> 00:01:38,040] 我可能会引用一下我之前那期视频
[00:01:38,040 -> 00:01:40,799] 就是怎么样子去偷换很多概念
[00:01:40,799 -> 00:01:44,079] 其实我也希望我的这期视频有这样一个目标吧
[00:01:44,079 -> 00:01:47,200] 就是它可以作为大家鉴定webstreet
[00:01:47,200 -> 00:01:51,319] 真正的做价值的人和骗子的一个标杆
[00:01:51,319 -> 00:01:54,040] 我觉得比如说我之前采访了Richard
[00:01:54,040 -> 00:01:57,239] 他特别想在这个世界里面建造一些有用的东西
[00:01:57,239 -> 00:01:58,879] 我也特别喜欢他的理念
[00:01:58,879 -> 00:02:00,439] 我也特别认可他的理念
[00:02:00,439 -> 00:02:02,239] 我相信他看到我这期视频
[00:02:02,239 -> 00:02:04,480] 会觉得我这期视频说的是有道理的
[00:02:04,480 -> 00:02:07,000] 但是很多靠着炒作Web3这个概念
[00:02:07,000 -> 00:02:09,000] 去骗钱割韭菜的人
[00:02:09,000 -> 00:02:11,000] 看到这期视频就会被打到七寸
[00:02:11,000 -> 00:02:13,000] 他们就会特别反感这期视频
[00:02:13,000 -> 00:02:14,000] 好的 那话不多说
[00:02:14,000 -> 00:02:15,000] 我们就直接开始吧
