[00:00:00,000 -> 00:00:01,560] 其实我是一个观点没有那么强的人
[00:00:01,560 -> 00:00:03,279] 但是我对这个点的观点是特别强的
[00:00:03,279 -> 00:00:05,240] web3跟web2它的价值本质上是没有区别的
[00:00:05,240 -> 00:00:05,759] 是吗
[00:00:05,759 -> 00:00:06,280] 对
[00:00:06,280 -> 00:00:08,320] 在web3我听到的很多项目有两个pattern
[00:00:08,320 -> 00:00:09,400] 第一是XX to R
[00:00:09,400 -> 00:00:10,759] 就是干什么东西的to R B
[00:00:10,759 -> 00:00:12,640] 然后第二个是decentralize XX
[00:00:12,640 -> 00:00:14,279] 你对这两个模式有什么评价呢
[00:00:14,560 -> 00:00:15,480] 我觉得有一个点可以大家分享一下
[00:00:15,480 -> 00:00:18,039] 就是我之前接触区块链infrastructure投资的投资人
[00:00:18,039 -> 00:00:19,719] 当听到一个人给他讲XX to R的时候
[00:00:19,719 -> 00:00:20,640] 他第一个反应是说
[00:00:20,640 -> 00:00:21,719] 你这个庞氏是怎么设计的
[00:00:21,719 -> 00:00:22,480] 好
[00:00:22,480 -> 00:00:24,280] 那我可不可以请你从你的角度上
[00:00:24,280 -> 00:00:26,640] 去把web1 web2b3的區別跟大家說一下
[00:00:26,640 -> 00:00:27,679] 因為這個東西我覺得也是大家
[00:00:27,679 -> 00:00:29,000] 就是偷看概念很嚴重的一個地方
[00:00:29,000 -> 00:00:30,000] 對對對這個我可能是一個
[00:00:30,000 -> 00:00:31,640] 我每天都在思考時變的一個東西
[00:00:31,640 -> 00:00:34,039] 然後可能慢慢的它那個收斂到了這麼一個認識
[00:00:34,039 -> 00:00:35,479] 這個慢慢就是說這個Web3
[00:00:35,479 -> 00:00:36,960] 它其實是站在了Web2的肩膀之上
[00:00:36,960 -> 00:00:37,840] 而不是一個取代關係
[00:00:37,840 -> 00:00:39,119] 你如果否認這個可能是對
[00:00:39,119 -> 00:00:40,119] 我們計算機歷史的一個背叛
[00:00:40,119 -> 00:00:41,119] 這FreshMode最近跳出來說
[00:00:41,119 -> 00:00:43,439] 我公開的就是我支持美國政府對
[00:00:43,439 -> 00:00:44,960] TornadoCash的這個Sanction
[00:00:44,960 -> 00:00:45,340] 明白所以就是美國政府就呵ornado catch的這個suction明白
[00:00:45,340 -> 00:00:46,640] 所以就是美國政府就呵呵呵
[00:00:46,640 -> 00:00:47,740] until sun你die還是你die
[00:00:47,740 -> 00:00:48,700] 我覺得我們今天把這個技術
[00:00:48,700 -> 00:00:49,899] 聊得很清楚解答了很多困惑
[00:00:49,899 -> 00:00:50,640] 以後我再噴
[00:00:50,640 -> 00:00:52,240] 就是我覺得我能更有信心的去
[00:00:52,240 -> 00:00:52,939] 有地放噴
[00:00:52,939 -> 00:00:53,600] 有地放噴
[00:00:53,600 -> 00:00:54,140] 就是忍不住
[00:00:54,140 -> 00:00:56,140] 就是很多時候你明明覺得這裡邊是有問題的
[00:00:56,140 -> 00:00:57,299] 你直覺上告訴你可能會有問題
[00:00:57,299 -> 00:00:58,799] 但是你需要一些武器去
[00:00:58,799 -> 00:00:59,600] 對對對
[00:00:59,600 -> 00:01:00,700] 哈嘍大家好
[00:01:00,700 -> 00:01:03,700] 這個是我們跟COOPER同學聊VIP3的下期
[00:01:04,140 -> 00:01:05,959] 哈嘍科代表的觀眾大家好我是COOPER對COOPER同学聊Web3的下期Hello 课代表的观众大家好
[00:01:05,959 -> 00:01:06,840] 我是Cooper
[00:01:07,040 -> 00:01:09,879] 对 Cooper同学我们上一集讲了
[00:01:09,879 -> 00:01:14,879] 他在Web3作为一年野生开发者的各种体验
[00:01:14,920 -> 00:01:16,719] 然后前情提要就是
[00:01:16,760 -> 00:01:21,439] Cooper同学一开始是一个Web3的重度怀疑者
[00:01:21,480 -> 00:01:25,879] 然后他作为一个上手能力非常强的程序员
[00:01:25,879 -> 00:01:28,680] 就进来做了一年的web3创业
[00:01:29,040 -> 00:01:29,920] 结果在这里边
[00:01:30,959 -> 00:01:32,760] 又有了一些不一样的怀疑
[00:01:32,760 -> 00:01:34,640] 但是一直是在怀疑中前进
[00:01:34,920 -> 00:01:35,959] 有信任的部分
[00:01:35,959 -> 00:01:37,200] 有怀疑的部分
[00:01:37,200 -> 00:01:39,680] 库珀同学简单介绍一下背景的话
[00:01:40,519 -> 00:01:42,879] 库珀同学是清华大学的水利本科
[00:01:42,879 -> 00:01:45,799] 然后是德州能工的智能交通系统的博士
[00:01:45,799 -> 00:01:48,840] 后来在亚马逊和Meta做广告
[00:01:48,879 -> 00:01:54,159] 是一个典型的web2的机器学习科学家
[00:01:54,159 -> 00:01:54,640] 对吧
[00:01:54,680 -> 00:01:57,079] 但是在web3创业了一年
[00:01:57,120 -> 00:02:00,480] 现在有很多技术方面的一线积累
[00:02:00,519 -> 00:02:03,359] 我们今天就想请库珀同学帮我们从技术
[00:02:03,359 -> 00:02:04,000] 角度
[00:02:04,079 -> 00:02:06,200] 科普一下web3的各種各樣的知識
[00:02:06,200 -> 00:02:11,199] 對對對 我覺得我們更多的是探討這個技術的一些比較
[00:02:11,199 -> 00:02:16,199] 和它對這個商業模式或者說未來它的一個方向的implication
[00:02:16,199 -> 00:02:19,199] 然後知識性的東西我覺得大家是吧
[00:02:19,199 -> 00:02:21,199] 都有很多知乎啊 Wikipedia
[00:02:21,199 -> 00:02:24,199] 大家可以有興趣的朋友們自己去搜索
[00:02:24,199 -> 00:02:26,280] 我覺得都沒有問題對 但是就是知乎和Wikipedia啊大家可以有兴趣的朋友们自己去搜索我觉得对但是啊
[00:02:26,280 -> 00:02:28,520] 就是知乎和wikipedia我也看了很多
[00:02:28,520 -> 00:02:31,120] 但是很多时候我觉得这个理解是不到位的
[00:02:31,120 -> 00:02:33,520] 尤其自己没有上过手理解就不到位
[00:02:33,520 -> 00:02:36,560] 所以说我会带着我的这些问题来问问你这样的话
[00:02:36,560 -> 00:02:38,039] 我觉得就起码我知道了
[00:02:38,039 -> 00:02:39,319] ok一个啊
[00:02:39,319 -> 00:02:40,759] 自己动手做过的人
[00:02:40,759 -> 00:02:42,639] 他对这些事情的理解是什么样子的
[00:02:42,639 -> 00:02:43,240] 没有问题
[00:02:43,240 -> 00:02:45,199] 因为我觉得真的是你动不管你的carrie多大你动手做过了才有这些事情的理解是什么样子的没有问题因为我觉得真的是你动
[00:02:45,199 -> 00:02:46,599] 不管你的carry多大
[00:02:46,599 -> 00:02:48,840] 你动手做过了才有发言权
[00:02:48,840 -> 00:02:49,840] 对好
[00:02:49,840 -> 00:02:51,520] 那我就先问你一个问题吧
[00:02:51,520 -> 00:02:54,080] 就是对我来说可能是最大的一个问题啊
[00:02:54,080 -> 00:02:57,000] 就是web3的人一直会说啊
[00:02:57,000 -> 00:02:59,400] web3给我们带来了什么什么样的价值
[00:02:59,400 -> 00:03:01,560] 呃他有什么不一样的东西
[00:03:01,560 -> 00:03:04,400] 然后你如果去用web2的视角去看web3
[00:03:04,400 -> 00:03:07,039] 那说明你的这个想法是错误的
[00:03:07,039 -> 00:03:08,759] 这个东西这个角度你怎么看呢
[00:03:08,759 -> 00:03:11,280] 就是你怎么看待web3的价值呢
[00:03:11,280 -> 00:03:16,159] 对我觉得其实我是一个观点没有那么强的人
[00:03:16,159 -> 00:03:19,280] 但是我对这个点的观点是特别强的
[00:03:19,280 -> 00:03:21,479] 这我认为web3跟web2
[00:03:21,479 -> 00:03:23,479] 它的价值本质上是没有区别的
[00:03:26,580 -> 00:03:27,080] 就是说对太好了我们从一个古典的观点来看所以web3跟web2它的價值本質上是沒有區別的嗯嗯嗯好吃嗎對
[00:03:27,080 -> 00:03:27,580] 太好了
[00:03:27,580 -> 00:03:29,580] 我們從一個古典的觀點來看
[00:03:29,580 -> 00:03:31,580] 什麼叫value
[00:03:31,580 -> 00:03:33,580] 像玉徵也有經濟學的背景
[00:03:33,580 -> 00:03:35,580] 我們普遍的認為value就是一個willingness to pay
[00:03:35,580 -> 00:03:36,580] 嗯
[00:03:36,580 -> 00:03:38,580] 你willingness to 貢獻你的時間
[00:03:38,580 -> 00:03:40,580] willingness to玩這個遊戲
[00:03:40,580 -> 00:03:42,580] 或者willingness to do whatever
[00:03:42,580 -> 00:03:44,580] 如果你沒有這個willingness
[00:03:44,580 -> 00:03:46,000] 那就没有value
[00:03:46,000 -> 00:03:48,000] 像那个玉征说的一个点
[00:03:48,000 -> 00:03:50,000] 我觉得很同意的就是
[00:03:50,000 -> 00:03:52,000] 那个游戏不好玩
[00:03:52,000 -> 00:03:54,000] 那个练游web3的游戏不好玩
[00:03:54,000 -> 00:03:56,000] 他有什么value
[00:03:56,000 -> 00:03:58,000] 那我为什么要去花钱买你这个币
[00:03:58,000 -> 00:04:00,000] 去做一些事情
[00:04:00,000 -> 00:04:02,000] 所以说就是
[00:04:02,000 -> 00:04:04,000] 他的价值还是来自于
[00:04:04,000 -> 00:04:06,879] 我是真实的要有这个需求
[00:04:06,879 -> 00:04:07,560] 对对吧
[00:04:07,560 -> 00:04:07,840] 是的
[00:04:07,840 -> 00:04:12,800] 那我就是我觉得在web3我听到的很多项目有两个pattern
[00:04:12,800 -> 00:04:14,719] 就是当然有很多其他项目
[00:04:14,719 -> 00:04:17,199] 比如说research项目就不属于这两个pattern之中
[00:04:17,199 -> 00:04:19,120] 但是有两个很典型的pattern
[00:04:19,120 -> 00:04:21,480] 就是第一是XX to earn
[00:04:21,480 -> 00:04:24,000] 就是干什么东西to earn B
[00:04:24,000 -> 00:04:26,800] 然后第二个是decentralized XXX to earn就是干什么东西的to earn然后第二个是decentralized
[00:04:26,800 -> 00:04:31,300] 你对这两个模式有什么这个评价呢
[00:04:31,300 -> 00:04:35,000] 对我觉得我们可以先说XX to earn
[00:04:35,000 -> 00:04:37,399] 这个其实回到我们刚才的观点
[00:04:37,399 -> 00:04:38,300] 就是他一样的
[00:04:38,300 -> 00:04:40,300] 就是现在有什么play to earn
[00:04:40,300 -> 00:04:42,500] 然后有read to earn
[00:04:42,500 -> 00:04:43,600] 回到我们刚才的观点
[00:04:43,600 -> 00:04:45,000] 就是XX toURN這個東西
[00:04:45,000 -> 00:04:48,000] 我覺得有一個點可以大家分享一下
[00:04:48,000 -> 00:04:50,000] 就是我之前接觸做infrastructure
[00:04:50,000 -> 00:04:54,000] 區塊鏈infrastructure投資的那個投資人
[00:04:54,000 -> 00:04:56,000] 當聽到一個人給他講XXTURN的時候
[00:04:56,000 -> 00:04:58,000] 他第一個反應是說
[00:04:58,000 -> 00:05:00,000] 你這個龐氏是怎麼設計的
[00:05:00,000 -> 00:05:03,000] How did you design your Ponzi scheme
[00:05:03,000 -> 00:05:04,000] 然後他
[00:05:04,000 -> 00:05:06,160] 所以你就知道這個對他們來說
[00:05:06,160 -> 00:05:07,600] 第一個聽到這個的反應是什麼
[00:05:07,959 -> 00:05:09,079] 這是真實發生的事情
[00:05:09,079 -> 00:05:12,160] 然後還有一個就是像現在很多的那個
[00:05:12,160 -> 00:05:15,399] 我覺得那個XXTune可能帶火的是那個Stepin這個應用
[00:05:15,680 -> 00:05:17,439] 我們現在不發表對他的任何評價
[00:05:17,720 -> 00:05:19,439] 我們只說他後來演示
[00:05:19,759 -> 00:05:23,519] 就試圖模仿這個模式的那些很多別的應用
[00:05:23,920 -> 00:05:25,800] 比如說PlayTuner啊什麼
[00:05:25,800 -> 00:05:27,800] 那個readtuner啊
[00:05:27,800 -> 00:05:31,199] 跳繩tuner啊健身tuner啊各種各樣的東西
[00:05:31,199 -> 00:05:36,199] 然後就他們的本質是他們有一個東西叫做token經濟學
[00:05:36,199 -> 00:05:38,199] 他一定是有人會去
[00:05:38,199 -> 00:05:42,399] 因為他如果給你發幣沒有人consume去消耗這個幣的話
[00:05:42,399 -> 00:05:44,000] 那這個肯定就沒有意義嘛
[00:05:44,000 -> 00:05:44,699] 對
[00:05:44,699 -> 00:05:45,920] 然後他但是我認為就是你去消耗这个币的话那这个肯定就没有意义对然后他
[00:05:45,920 -> 00:05:48,839] 但是我认为就是你去消耗这个币的前提
[00:05:48,839 -> 00:05:51,120] 是你有这个willingness去参与这个活动
[00:05:51,120 -> 00:05:54,000] 然后你有这个willingness去参与这个活动的是
[00:05:54,000 -> 00:05:55,480] 它足够的吸引你
[00:05:55,680 -> 00:05:56,959] 它足够好玩
