[00:00:00,000 -> 00:00:01,280] 我是在为资本家打工
[00:00:01,280 -> 00:00:03,319] 所以说我就要去抵抗这件事情
[00:00:03,319 -> 00:00:04,799] 但是在工作之外
[00:00:04,799 -> 00:00:06,759] 难道做副业是我人生的意义吗
[00:00:06,759 -> 00:00:08,519] 大家发现其实也未必
[00:00:08,519 -> 00:00:10,640] 对然后就不知道意义是什么呢
[00:00:10,640 -> 00:00:12,679] 我不觉得这是一个很理想的状态
[00:00:12,679 -> 00:00:15,359] 你就假装我是一个对自己工作不满意的人
[00:00:15,359 -> 00:00:16,640] 然后你来讲一讲
[00:00:16,640 -> 00:00:18,679] 你是怎么样子找到你工作的意义呗
[00:00:18,679 -> 00:00:20,600] 你又不是这里的资本家
[00:00:20,600 -> 00:00:21,800] 那你为什么要给大家POA
[00:00:21,800 -> 00:00:23,199] 你为什么要跟大家说
[00:00:23,199 -> 00:00:24,920] 你们是一帮很幸运的人
[00:00:24,920 -> 00:00:26,280] 这句话的意义何在呢对我并給大家POA你要為什麼跟大家說你們是一幫很幸運的人這句話的意義何在呢
[00:00:26,280 -> 00:00:28,719] 對我並不是想POA大家
[00:00:28,719 -> 00:00:30,399] 就POA這個詞其實
[00:00:30,640 -> 00:00:32,200] 我對他有不同的看法
[00:00:32,200 -> 00:00:33,960] 當然就是說你現在做了管理層
[00:00:33,960 -> 00:00:35,600] 你可能會有
[00:00:35,640 -> 00:00:37,759] 不同的一些體會
[00:00:37,759 -> 00:00:39,960] 但是說真的並不是POA大家
[00:00:39,960 -> 00:00:42,079] 只是這是我真實一個體驗吧
[00:00:42,079 -> 00:00:43,320] 對就是
[00:00:44,000 -> 00:00:45,240] 大家都是很幸運的
[00:00:45,240 -> 00:00:45,740] 但是
[00:00:46,539 -> 00:00:47,640] 某種程度上來講
[00:00:47,640 -> 00:00:49,100] 每個人都有自己的挑戰
[00:00:49,100 -> 00:00:50,299] 每個人都有自己的
[00:00:50,740 -> 00:00:51,840] challenge和struggle
[00:00:51,840 -> 00:00:54,039] 這句話其實說的很有意思啊
[00:00:54,039 -> 00:00:55,799] 就是容我稍稍展開一下
[00:00:55,799 -> 00:00:56,840] 我跟你聊的時候
[00:00:56,840 -> 00:00:58,700] 我可能感受到了一個什麼點
[00:00:59,240 -> 00:01:02,039] 就是每個人的這個幸運和不幸
[00:01:02,039 -> 00:01:02,840] 其實是
[00:01:03,740 -> 00:01:04,739] 不同的
[00:01:04,799 -> 00:01:06,560] 但是你不會說你有很多錢
[00:01:06,560 -> 00:01:09,439] 你就比別人平均過得更開心一點
[00:01:09,439 -> 00:01:12,359] 其實鏡頭前的大家也會看到
[00:01:12,359 -> 00:01:15,200] 你可能最開心的那個時候是你剛剛畢業
[00:01:15,200 -> 00:01:16,480] 剛剛拿到你第一筆工資
[00:01:16,480 -> 00:01:19,680] 那個時候你突然實現了過去不能實現很多東西
[00:01:19,680 -> 00:01:21,799] 但是一年過後你可能就覺得無所謂了
[00:01:21,799 -> 00:01:23,840] 你開豪車你住豪宅
[00:01:23,840 -> 00:01:25,840] 就是他無法給你帶來
[00:01:25,840 -> 00:01:27,540] 就是他的快樂一定是在遞減的
[00:01:27,540 -> 00:01:29,200] 這個時候你又會有新的煩惱
[00:01:29,500 -> 00:01:31,379] 所以說你的這個快樂值
[00:01:31,379 -> 00:01:33,280] 我覺得每個人都會有在不同階段
[00:01:33,280 -> 00:01:34,180] 會有不同的煩惱
[00:01:34,180 -> 00:01:37,239] 那你剛剛可能的意思就是說
[00:01:37,239 -> 00:01:40,939] 大家不是說到了科技行業
[00:01:41,140 -> 00:01:44,140] 然後就賺的錢還可以
[00:01:44,140 -> 00:01:47,000] 然後又可以去選擇的時候就沒有煩惱了
[00:01:47,000 -> 00:01:48,799] 而是這時候會給我們帶來一些新的煩惱
[00:01:49,299 -> 00:01:51,500] 那反正我們是這個行業裡的人
[00:01:51,500 -> 00:01:53,700] 其實我們也要告訴其他的行業的人
[00:01:53,700 -> 00:01:55,200] 我們並沒有在無病呻吟
