[00:00:00,000 -> 00:00:01,679] 說句敏感的話題
[00:00:01,679 -> 00:00:03,680] 就是未來如果會不會爆發戰爭
[00:00:03,680 -> 00:00:05,200] 是由這些人決定的嗎
[00:00:05,200 -> 00:00:06,719] 當有這種衝突的時候
[00:00:06,719 -> 00:00:08,039] 要不要進行干預
[00:00:08,039 -> 00:00:09,320] 這些人的話語權大嗎
[00:00:09,320 -> 00:00:11,439] 但是你對美國這個政治的核心邏輯理解
[00:00:11,439 -> 00:00:12,439] 就有問題
[00:00:12,439 -> 00:00:13,800] 就是因為它其實外交政策
[00:00:13,800 -> 00:00:15,480] 在美國選舉政治中
[00:00:15,480 -> 00:00:17,359] 是最微最後一環
[00:00:17,359 -> 00:00:18,800] 最後一環都有幾環
[00:00:18,800 -> 00:00:19,760] 內政是第一環
[00:00:19,760 -> 00:00:21,600] 沒有多少人是因為外交政策去投票的
[00:00:21,600 -> 00:00:23,399] 政策都未必是一個重要的一環
[00:00:23,399 -> 00:00:25,239] 黨派屬性才是最重要的一行
[00:00:25,239 -> 00:00:27,719] 我们一般是用中国的方式去理解美国
[00:00:27,719 -> 00:00:28,239] 对吧
[00:00:28,239 -> 00:00:30,559] 然后可能中国它就是外交很重要
[00:00:30,559 -> 00:00:32,679] 或者说民族大旗这件事情很重要
[00:00:32,679 -> 00:00:34,560] 我们的领土完整什么东西的
[00:00:34,560 -> 00:00:35,920] 每个人都息息相关
[00:00:35,920 -> 00:00:38,320] 外交要是在中国政治里面非常重要的话
[00:00:38,320 -> 00:00:40,439] 那外交部也就不能只是个国务院部门
[00:00:42,600 -> 00:00:43,679] 我觉得
[00:00:43,679 -> 00:00:44,119] 不要怕被骂
[00:00:44,119 -> 00:00:45,240] 我觉得你肯定会被骂的
[00:00:45,240 -> 00:00:47,079] 所以说我也会被骂的
[00:00:47,079 -> 00:00:48,039] 所以说无所谓
[00:00:48,039 -> 00:00:51,479] 就因为现在美国本身它有所谓的
[00:00:51,479 -> 00:00:53,439] 当然这个东西有很多人不承认
[00:00:53,439 -> 00:00:55,079] 就是所谓的原罪问题
[00:00:55,079 -> 00:00:58,320] 从建国之始的奴隶制开始
[00:00:58,320 -> 00:01:01,000] 就美国一直存在一个暗线种族问题
[00:01:01,000 -> 00:01:04,959] 现在在所谓的后现代主义思想大发光彩的年代
[00:01:04,959 -> 00:01:05,480] 就是对于这种所谓历史的批判对于过去历史种族问题现在在所谓的后现代主义思想大发光彩的年代
[00:01:07,200 -> 00:01:09,120] 对于这种所谓的历史的批判对于过去历史种族问题
[00:01:09,400 -> 00:01:11,239] 还有性别问题等的这些总结
[00:01:11,239 -> 00:01:12,400] 就现在当然了
[00:01:12,400 -> 00:01:15,799] 很多时候比如说你称呼什么人什么称呼
[00:01:15,799 -> 00:01:17,519] 这可能是一个比较礼貌的一个东西
[00:01:17,519 -> 00:01:19,760] 当然有的时候过于强调这些问题
[00:01:19,760 -> 00:01:20,840] 可能会比较过火
[00:01:21,120 -> 00:01:22,799] 引起别人的反感是很正常的
[00:01:23,079 -> 00:01:25,799] 但是一条就是所谓的文化战争斗争
[00:01:25,799 -> 00:01:29,200] 反映了整个美国社会现在一个私立的现状
[00:01:29,200 -> 00:01:30,599] 就是从文化议题上入手
[00:01:30,599 -> 00:01:34,500] 就是这个代表美国这个传所谓的传统价值的保守派
[00:01:34,500 -> 00:01:39,200] 所谓的传统价值和这个代表这个多元主义的自由派的这么一个碰撞
[00:01:39,200 -> 00:01:42,599] 现在这个社会的一个主要的这么一个矛盾点
[00:01:42,599 -> 00:01:45,000] 所以你没有说就是这个东西是把它
[00:01:45,000 -> 00:01:47,400] 就是两边都可以拿它用来做武器和
[00:01:47,400 -> 00:01:49,599] 对就是一个团结这个两党选民
[00:01:49,599 -> 00:01:52,599] 或者说OK这个历史形态两端的一个重要工具
[00:01:52,599 -> 00:01:54,599] 所以就是当然了
[00:01:54,599 -> 00:01:57,200] 有些比如说这个什么拥抱多元化
[00:01:57,200 -> 00:01:59,000] 是吧拥抱性别平等这种东西是应该是
[00:01:59,000 -> 00:02:01,200] 大家都都比较应该追求的一个目的
[00:02:01,200 -> 00:02:03,799] 即使是一个保守派也还不会说公开就说
[00:02:03,799 -> 00:02:04,799] 这个东西是错误的
[00:02:04,799 -> 00:02:07,879] 所以你是一个被两边的支持者罵的人
[00:02:07,879 -> 00:02:08,919] 差不多吧
[00:02:08,919 -> 00:02:10,759] 我就是屬於站在中間的人
[00:02:10,759 -> 00:02:12,800] 活該被兩邊罵
[00:02:12,800 -> 00:02:15,120] 一般有人稱之我為保守派民主黨
[00:02:15,120 -> 00:02:17,159] 保守派民主黨
[00:02:17,159 -> 00:02:19,159] 可是Elon Musk好像就說自己是
[00:02:19,159 -> 00:02:20,199] 有兩個感覺
[00:02:20,199 -> 00:02:21,199] 他就說他自己偏左
[00:02:21,199 -> 00:02:22,719] 然後因為左邊剛開始
[00:02:22,719 -> 00:02:24,639] 他是因為他那種
[00:02:24,639 -> 00:02:27,360] 他是因為拜登政府不太待人了
[00:02:27,360 -> 00:02:28,479] 所以他現在現在
[00:02:28,479 -> 00:02:30,719] 現在俯瞰橫跳到右翼去了
[00:02:30,719 -> 00:02:36,159] 但是他好像一直心裏面覺得自己是一個保守派的民主黨
[00:02:36,159 -> 00:02:37,680] 或者保守派的左派
[00:02:37,680 -> 00:02:39,039] 他不能叫保守派的左派
[00:02:39,039 -> 00:02:39,919] 他只是因為
[00:02:39,919 -> 00:02:42,639] 他有些特別扭曲的關於什麼意識形態和這個
[00:02:42,639 -> 00:02:44,159] 言論自由的這麼一個觀念
[00:02:44,159 -> 00:02:44,800] 好吧好吧
[00:02:44,800 -> 00:02:45,560] 他不是真正的保守
[00:02:45,560 -> 00:02:47,639] 我说这个保守派民主党其实指的是南方民主党
[00:02:47,639 -> 00:02:49,639] 肯定不是南方民主党
[00:02:49,639 -> 00:02:50,840] 好吧好吧好吧
