[00:00:00,000 -> 00:00:03,799] 致富這個東西永遠不是靠積累的
[00:00:03,799 -> 00:00:05,040] 積累只能小康
[00:00:05,040 -> 00:00:08,759] 一定是你找到了某一個指數性增長的
[00:00:08,759 -> 00:00:09,800] 爆發的行業的
[00:00:10,599 -> 00:00:13,359] 找到了某一個指數性增長的
[00:00:13,359 -> 00:00:14,720] 爆發的行業的時候
[00:00:14,720 -> 00:00:17,519] 那這個東西很難你是去一下就撞上
[00:00:17,519 -> 00:00:19,239] 而是一點一點試出來碰碰
[00:00:19,239 -> 00:00:20,280] 抓住趨勢了
[00:00:20,280 -> 00:00:21,480] 選擇大於努力
[00:00:21,480 -> 00:00:22,679] 這話我太同意了
[00:00:22,679 -> 00:00:24,519] 了解了一個中國的哲學體系
[00:00:24,519 -> 00:00:25,559] 它講自我
[00:00:25,559 -> 00:00:27,280] 当然其实你刚说的move on
[00:00:27,280 -> 00:00:29,839] 是它里边蛮高级的一个能力
[00:00:29,839 -> 00:00:32,119] 就是你产生情但不产生虚
[00:00:32,119 -> 00:00:32,960] 压在心里
[00:00:34,039 -> 00:00:34,960] 对什么事情
[00:00:34,960 -> 00:00:35,799] 这个
[00:00:36,240 -> 00:00:37,280] 专注但不留恋
[00:00:37,280 -> 00:00:38,159] 我觉得就是
[00:00:38,159 -> 00:00:40,880] 很多人会觉得这种安全感
[00:00:41,119 -> 00:00:41,960] 是
[00:00:41,960 -> 00:00:43,600] 就是这些所有的根基是安全感
[00:00:43,600 -> 00:00:44,799] 是你的家境带来的
[00:00:46,039 -> 00:00:47,240] 然后大家觉得自己做不到是因为自己没有这个安全感你有没有没有安全感是就是這些所有的根基是安全感是你的家境帶來的然後大家覺得自己做不到是因為自己沒有這個安全感
[00:00:47,240 -> 00:00:49,640] 你有沒有沒有安全感的時候
[00:00:49,640 -> 00:00:51,799] 一畢業的時候非常沒有安全感
[00:00:51,799 -> 00:00:54,079] 這個問題跟周圍很多朋友們討論過
[00:00:54,079 -> 00:00:55,520] 那個時候真的就是覺得
[00:00:55,520 -> 00:00:56,799] 我畢業了
[00:00:56,799 -> 00:00:58,159] 再靠父母
[00:00:58,600 -> 00:01:00,960] 那就把以前自己裝的畢業
[00:01:00,960 -> 00:01:02,759] 吹的牛逼都給
[00:01:02,759 -> 00:01:04,000] 戳破了
[00:01:04,000 -> 00:01:05,400] 如果要張嘴跟他们要钱
[00:01:05,400 -> 00:01:07,680] 是非常伤自尊的一件事情
[00:01:07,680 -> 00:01:09,280] 尤其是我在创业
[00:01:09,280 -> 00:01:11,359] 很难给自己开个很高的工资
[00:01:11,359 -> 00:01:12,159] 啥都很光鲜
[00:01:12,159 -> 00:01:13,079] 就是不挣钱
[00:01:13,079 -> 00:01:13,680] 这样的日子
[00:01:13,680 -> 00:01:17,280] 我从18年过到21年年底
[00:01:17,280 -> 00:01:18,079] 没有安全感的时候
[00:01:18,079 -> 00:01:19,200] 你还做了那些事
[00:01:19,200 -> 00:01:20,680] 那会真是一个是年纪小
[00:01:20,680 -> 00:01:21,280] 能吃苦
[00:01:21,280 -> 00:01:22,319] 相信梦想
[00:01:22,319 -> 00:01:25,319] 我是觉得现在很难再有那样的时候了不要说的好像什么20年以前了我那时候年纪小能吃苦相信梦想就是我是觉得现在很难再有那样的时候了
[00:01:25,319 -> 00:01:27,400] 不要说的好像什么20年以前了
[00:01:27,400 -> 00:01:28,879] 我那时候年纪小
[00:01:29,359 -> 00:01:30,519] 确实在奋斗
[00:01:30,519 -> 00:01:32,760] 但是在比较艰难的维持体面
[00:01:33,120 -> 00:01:35,439] 至少比如说社交生活娱乐
[00:01:35,879 -> 00:01:38,640] 跟上学的时候是很不一样的
[00:01:38,640 -> 00:01:39,879] 就是听到这可能会觉得
[00:01:39,879 -> 00:01:41,280] 这是一个富二代的无病呻吟
[00:01:41,280 -> 00:01:42,560] 就是你不就是少蹦了一次滴
[00:01:42,760 -> 00:01:44,959] 你这是在说什么不安全感
[00:01:45,000 -> 00:01:46,560] 它的不确定性
[00:01:46,560 -> 00:01:47,200] 对吧
[00:01:47,200 -> 00:01:49,480] 和你的落差是真实的
[00:01:49,480 -> 00:01:50,840] 我们想追寻的是
[00:01:50,840 -> 00:01:52,920] 你如何在这种情况下
[00:01:52,920 -> 00:01:56,359] 能去保持那种开放的失措的心态
[00:01:56,359 -> 00:01:57,959] 我这块的心态就跟刚才一样
[00:01:57,959 -> 00:01:59,200] 我这块心态特别好
[00:01:59,200 -> 00:02:00,239] 你学不会花钱
[00:02:00,239 -> 00:02:01,480] 你永远学不会挣大钱
[00:02:01,480 -> 00:02:02,599] 你的所有的收入
[00:02:02,599 -> 00:02:04,879] 都跟你欲望的大小成正比
[00:02:04,879 -> 00:02:06,040] 我们周围其实有很多人
[00:02:06,359 -> 00:02:08,000] 我觉得是性格使然的
[00:02:08,000 -> 00:02:09,719] 或者是成长环境使然
[00:02:09,719 -> 00:02:12,120] 他就没有什么消费的欲望
[00:02:12,560 -> 00:02:14,800] 所以咱们周围应该有很多这种人
[00:02:14,800 -> 00:02:16,960] 他的无论是背景学历
[00:02:17,599 -> 00:02:18,919] 还是他的能力
[00:02:18,919 -> 00:02:21,759] 其实他可以完全换一个方式
[00:02:21,759 -> 00:02:23,280] 更野的挣了很多钱
[00:02:23,280 -> 00:02:24,240] 但他没有这样做
[00:02:24,240 -> 00:02:25,759] 咱们周围应该有很多这样的人
[00:02:25,759 -> 00:02:26,919] 我还有很多朋友
[00:02:26,919 -> 00:02:28,599] 可能选择当公务员这条路
[00:02:28,599 -> 00:02:30,759] 非常严实满足的一条路
[00:02:30,759 -> 00:02:31,520] 以他的能力
[00:02:31,520 -> 00:02:32,439] 他现在去个私企
[00:02:32,439 -> 00:02:33,680] 他能挣很多的钱
[00:02:33,680 -> 00:02:36,879] 我觉得跟每个人花钱的欲望不同有关
[00:02:36,879 -> 00:02:38,680] 我们是说一个真实的富二代
[00:02:38,680 -> 00:02:39,919] 在面临这些时候
[00:02:39,919 -> 00:02:41,240] 他的想法是什么样子的
[00:02:41,240 -> 00:02:42,719] 然后他的选择是什么样子
[00:02:42,719 -> 00:02:43,919] 以及成就了
[00:02:43,919 -> 00:02:46,159] 我觉得还是很有意义的一些事情
[00:02:46,159 -> 00:02:47,360] 如果你不是这么想的话
[00:02:47,360 -> 00:02:48,400] 你去苦海打工
[00:02:48,400 -> 00:02:50,319] 那当然世界上可能多了一个
[00:02:51,280 -> 00:02:52,520] 纠结的打工人
[00:02:52,520 -> 00:02:55,960] 要跟得上自己的野心和欲望吧
[00:02:55,960 -> 00:02:56,560] 我觉得
[00:02:56,560 -> 00:02:57,800] 我最后这个问题呢
[00:02:57,800 -> 00:02:59,479] 是给留到了这儿还没有走的
[00:02:59,479 -> 00:03:00,840] 那些观众的一个bonus
[00:03:00,840 -> 00:03:02,280] 因为其实你前面聊到了一个
[00:03:02,280 -> 00:03:03,439] 很重要的方法论
[00:03:03,439 -> 00:03:05,599] 就是你怎么在玩中降维打击这些工作的
[00:03:05,599 -> 00:03:09,120] 用你自己最擅长的方式解决一个问题
[00:03:09,120 -> 00:03:12,919] 我最擅长的方式其实就是娱乐化一点的
[00:03:12,919 -> 00:03:16,280] 把气氛搞得更轻松一点的来完成一个事情
