[00:00:00,000 -> 00:00:02,040] Hello大家好 欢迎回到课代表力正
[00:00:02,040 -> 00:00:03,560] 我是你们的课代表
[00:00:03,560 -> 00:00:08,199] 今天这期视频我跟大家讲一个职业生涯中经常犯的误区
[00:00:08,199 -> 00:00:11,679] 我之前有一期视频去讲了Jr和Xenia的区别
[00:00:11,679 -> 00:00:13,599] 但是我漏掉了这个区别
[00:00:13,599 -> 00:00:16,800] 或者说我在讲那期视频的时候没有意识到这个区别
[00:00:16,800 -> 00:00:21,960] 我是在跟做GrowthMessage那期学长非常敬佩的一个人
[00:00:21,960 -> 00:00:25,359] 聊天的时候他说的一句话告诉了我
[00:00:25,359 -> 00:00:27,199] 一会也会跟大家讲这句话是什么
[00:00:27,199 -> 00:00:29,399] 我在职业生涯中确实会发现
[00:00:29,399 -> 00:00:31,640] 越是资深的人越懂这个道理
[00:00:31,679 -> 00:00:33,679] 然后你如果不懂这个道理的话
[00:00:33,679 -> 00:00:34,799] 可能你做了很久
[00:00:34,799 -> 00:00:36,880] 也会发现你在职业生涯中
[00:00:36,880 -> 00:00:38,560] 很难再往前走一步
[00:00:38,560 -> 00:00:40,240] 所以说我就把这个道理
[00:00:40,240 -> 00:00:40,960] 来跟大家讲一讲
[00:00:41,159 -> 00:00:42,200] 这是一个道理
[00:00:42,200 -> 00:00:43,159] 也是一个误区
[00:00:43,159 -> 00:00:44,039] 它是误区
[00:00:44,039 -> 00:00:45,359] 所以它就很隐蔽我就想用一个例子帮大家理也是一个误区它是误区所以它就很隐蔽
[00:00:45,560 -> 00:00:46,960] 我就想用一个例子
[00:00:46,960 -> 00:00:49,679] 帮大家去发现误区的存在
[00:00:49,679 -> 00:00:51,560] 好的例子是这样子的
[00:00:51,560 -> 00:00:55,679] 假设你是一位已经比较有经验的同事
[00:00:56,119 -> 00:00:58,079] 你负责了一个项目
[00:00:58,079 -> 00:01:00,280] 你知道这个项目的方方面面
[00:01:00,880 -> 00:01:03,200] 这个时候可能你们要做一些新的东西
[00:01:03,200 -> 00:01:04,680] 然后人手不足
[00:01:04,680 -> 00:01:06,719] 领导就给你派来了一个新同学
[00:01:06,719 -> 00:01:07,760] 我们就叫他小张吧
[00:01:07,760 -> 00:01:09,159] 他的名字叫张三
[00:01:09,159 -> 00:01:10,799] 我们称呼他小张就好了
[00:01:10,799 -> 00:01:12,159] 小张很有想法
[00:01:12,159 -> 00:01:13,159] 做事很有效率
[00:01:13,159 -> 00:01:14,239] 很有干劲
[00:01:14,239 -> 00:01:14,879] 很有冲劲
[00:01:14,879 -> 00:01:16,640] 然后你们就进到会议室
[00:01:16,640 -> 00:01:19,000] 去跟小张讲一讲我们的方案
[00:01:19,000 -> 00:01:20,519] 那简单讲完这个方案以后
[00:01:20,640 -> 00:01:21,760] 小张就说前辈
[00:01:21,760 -> 00:01:23,760] 你这个方案我觉得是错的
[00:01:24,040 -> 00:01:27,000] 这里是我觉得我们正确的方案应该怎么怎么做
[00:01:27,000 -> 00:01:30,000] 我不知道屏幕前的你们听到这个是什么感觉
[00:01:30,000 -> 00:01:32,000] 但是如果一个有经验的同学的话
[00:01:32,000 -> 00:01:36,000] 他这里边可能脑子中的这个警报器就响起来了
[00:01:36,000 -> 00:01:37,000] 为什么呢
[00:01:37,000 -> 00:01:39,000] 不是因为小张去攻击了他
[00:01:39,000 -> 00:01:42,000] 其实我觉得大家有话直说是对的
[00:01:42,000 -> 00:01:48,319] 我觉得最大的问题是小张这里用了对和错这两个词
[00:01:48,319 -> 00:01:50,319] 这也就是我这期视频的重点
[00:01:50,319 -> 00:01:56,719] 就是小孩子才讲对错 成年人只论取舍
[00:01:56,719 -> 00:01:59,959] 这是当时那个学长跟我说的那句话叫
[00:01:59,959 -> 00:02:02,920] Junior engineers think about right or wrong
[00:02:02,920 -> 00:02:06,319] Senior engineers only think about tradeoff
[00:02:06,319 -> 00:02:09,639] tradeoff就是取舍或者得失这个词
[00:02:09,639 -> 00:02:11,879] 如果你是一个资深有经验的同学
[00:02:11,879 -> 00:02:13,759] 听到这儿你已经会点头了
