[00:00:00,000 -> 00:00:02,040] 这一个应该在300万左右
[00:00:02,040 -> 00:00:03,960] 这个在1000多
[00:00:03,960 -> 00:00:06,160] 这一个应该是在500万左右
[00:00:06,160 -> 00:00:06,719] 这个
[00:00:06,719 -> 00:00:08,000] 特异啊 卡基亚啊 哈尔维斯啊
[00:00:08,000 -> 00:00:09,039] 那些就更高了
[00:00:09,039 -> 00:00:11,519] 那些就基本上是乘以5到10倍之间的
[00:00:11,519 -> 00:00:13,439] Tiffany其实还是比较良心的一个品牌
[00:00:13,439 -> 00:00:16,679] 因为我们也在收很多Tiffany的货嘛
[00:00:16,679 -> 00:00:19,199] 它其实它的溢价还算是比较良心的
[00:00:19,199 -> 00:00:21,079] 但是国内的品牌它就比较乱了
[00:00:21,079 -> 00:00:23,079] 就是对品质要求最高的是
[00:00:23,079 -> 00:00:23,879] 哈喽大家好
[00:00:23,879 -> 00:00:24,839] 欢迎回到客来表一周
[00:00:24,839 -> 00:00:26,000] 我是你们的客臺表
[00:00:26,000 -> 00:00:27,899] 今天我們又來搞一期
[00:00:27,899 -> 00:00:30,600] 這個非常牛逼的視頻
[00:00:30,899 -> 00:00:33,600] 擺在我面前的全都是鑽石
[00:00:33,799 -> 00:00:36,700] 這裡是蘇總是做鑽石交易所的
[00:00:36,700 -> 00:00:39,600] 我們就來打開一個看一看吧
[00:00:39,899 -> 00:00:42,700] 就是在水被這樣的地方
[00:00:42,799 -> 00:00:46,439] 鑽石是像一個什麼樣的方式拿的
[00:00:46,439 -> 00:00:48,479] 我都沒有辦法形容
[00:00:48,479 -> 00:00:50,960] 但是這是一顆20克大的鑽石
[00:00:50,960 -> 00:00:51,799] 鴿子蛋
[00:00:51,799 -> 00:00:52,600] 海洋之心
[00:00:52,600 -> 00:00:55,079] 感覺在那個電影上才看到過
[00:00:55,079 -> 00:00:56,799] 這是他的GIA的證書
[00:00:56,799 -> 00:00:58,759] 它是天然的鑽石嗎
[00:00:58,759 -> 00:00:59,479] 天然的
[00:00:59,479 -> 00:01:01,560] 如果是零售價的話是多少錢
[00:01:01,560 -> 00:01:05,000] 這個H&S強銀光市�格一千万左右吧
[00:01:05,000 -> 00:01:08,000] 所以我们面前的这些钻石是多少钱
[00:01:08,000 -> 00:01:10,000] 这些都是天然的
[00:01:10,000 -> 00:01:12,000] GIA带证书的钻石
[00:01:12,000 -> 00:01:14,000] 这是一个GIA证书
[00:01:14,000 -> 00:01:16,000] 5.22克拉的
[00:01:16,000 -> 00:01:18,000] 我们要挡住眼睛
[00:01:18,000 -> 00:01:22,000] 让它不要就是在这个后面
[00:01:22,000 -> 00:01:24,000] 我们挡住眼睛可能就能对上
[00:01:24,000 -> 00:01:27,000] 这个和刚才那個一比好小
[00:01:27,000 -> 00:01:28,200] 5克拉的鑽石
[00:01:32,400 -> 00:01:33,799] 5克拉的在中端門店
[00:01:33,799 -> 00:01:35,200] 平時都是很少見到的
[00:01:36,400 -> 00:01:38,599] 我覺得我在服務款都很少見到
[00:01:38,599 -> 00:01:41,400] 我零售價的話從左往右是大概
[00:01:41,900 -> 00:01:44,000] 這個應該在300萬左右
[00:01:44,000 -> 00:01:46,040] 這個在1000多這個應該在三百萬左右這個在一千多
[00:01:46,040 -> 00:01:48,239] 這個應該是在五百萬左右
[00:01:48,239 -> 00:01:50,079] 今天是我的手最刺激的一天
[00:01:50,079 -> 00:01:51,319] 哈哈哈
[00:01:52,879 -> 00:01:53,480] 天哪
[00:01:53,480 -> 00:01:53,959] 嗯
[00:01:53,959 -> 00:01:56,680] 來的時候就是特別震撼的是所有的這些鑽石
[00:01:56,680 -> 00:01:59,000] 就是這樣子和他們的證書是吧
[00:01:59,000 -> 00:01:59,280] 嗯
[00:01:59,280 -> 00:02:01,239] 就這樣子放起來的
[00:02:01,560 -> 00:02:03,120] 然後這是證書
[00:02:03,120 -> 00:02:04,439] 然後這裡邊就是一個紙
[00:02:04,439 -> 00:02:06,200] 然後包著的鑽石
[00:02:06,200 -> 00:02:07,920] 然後這還都是天然的
[00:02:07,920 -> 00:02:08,199] 對
