[00:00:00,000 -> 00:00:03,600] 刚才你讲过了natural wine和普通的wine的区别
[00:00:03,600 -> 00:00:05,400] 但是我没有听清楚
[00:00:05,400 -> 00:00:06,799] 你能不能再讲一次
[00:00:07,700 -> 00:00:10,099] 其实natural wine的定义非常模糊
[00:00:10,099 -> 00:00:11,800] 我觉得业界没有一个统一的定义
[00:00:11,800 -> 00:00:13,699] 这也是它备受争议的一点
[00:00:13,699 -> 00:00:14,699] 就是什么是natural
[00:00:14,699 -> 00:00:16,600] 那它的反面肯定是不natural
[00:00:16,600 -> 00:00:18,500] 不natural就是相当于人工
[00:00:18,699 -> 00:00:20,100] 其实我们这商品红酒
[00:00:20,100 -> 00:00:21,300] 它里面有很多人工的
[00:00:21,300 -> 00:00:22,699] 它不光就是只有葡萄
[00:00:23,000 -> 00:00:24,000] 它里面加了很多
[00:00:24,000 -> 00:00:26,719] 比如说在养葡萄的时候
[00:00:26,719 -> 00:00:28,239] 它加了很多肥料
[00:00:28,239 -> 00:00:29,519] 或者说做了一个插虫剂
[00:00:29,519 -> 00:00:30,760] 这已经是不自然了
[00:00:30,760 -> 00:00:32,359] 葡萄采完了以后
[00:00:32,359 -> 00:00:35,439] 要去酿造
[00:00:35,439 -> 00:00:37,079] 用的什么酵母
[00:00:37,079 -> 00:00:39,200] 其实葡萄壁上有很多天然酵母
[00:00:39,200 -> 00:00:40,920] 但是我们现在人工又加了很多酵母
[00:00:40,920 -> 00:00:43,320] 因为我们想要整个发酵过程变得可控
[00:00:43,320 -> 00:00:44,240] 所以他们把剩下的东西
[00:00:44,240 -> 00:00:46,000] 微生物都杀掉了
[00:00:46,000 -> 00:00:49,000] 这个过程用很多硫或用很多别的
[00:00:49,000 -> 00:00:52,000] 其实也不是很natural
[00:00:52,000 -> 00:00:55,000] 然后葡萄酿完以后还会经过很多处理
[00:00:55,000 -> 00:00:58,000] 比如说有些葡萄
[00:00:58,000 -> 00:01:01,000] 其实在酿到之前吧
[00:01:01,000 -> 00:01:04,000] 如果你觉得葡萄太酸了那怎么办呢
[00:01:04,000 -> 00:01:05,000] 可能觉得味道不平衡
[00:01:05,000 -> 00:01:07,000] 做出来的东西加点糖
[00:01:07,000 -> 00:01:08,000] 或者说它甜度不够
[00:01:08,000 -> 00:01:10,000] 那甜度不够意味着它酒精不够
[00:01:10,000 -> 00:01:12,000] 所以有时候也会加点糖
[00:01:12,000 -> 00:01:13,000] 或者它酸度不够的话
[00:01:13,000 -> 00:01:15,000] 觉得这个酒做出来的也会有点太厚重
[00:01:15,000 -> 00:01:17,000] 它有时候也会加点什么加点酸
[00:01:17,000 -> 00:01:19,000] 这些都是在葡萄酒行业中
[00:01:19,000 -> 00:01:20,000] 是司空见惯的
[00:01:20,000 -> 00:01:21,000] 甚至有至于
[00:01:21,000 -> 00:01:23,000] 有人讲说酒精太高了怎么办
[00:01:23,000 -> 00:01:24,000] 他们有一种非常牛逼的技术
[00:01:24,000 -> 00:01:25,000] 就是像薄膜酒在这里里面有些酒精太高了怎么办他们有一种非常牛逼的技术
[00:01:25,000 -> 00:01:26,000] 有些薄膜
[00:01:26,000 -> 00:01:29,000] 酒在这里只能把酒精给吸出来
[00:01:29,000 -> 00:01:32,000] 这样的话可以减少它酒精的成分
[00:01:32,000 -> 00:01:35,000] 甚至有些波尔多酒上用离心机把酒精给离掉
[00:01:35,000 -> 00:01:38,000] 或者是把剩下的葡萄酒放在更高级的酒里
[00:01:38,000 -> 00:01:41,000] 这些东西都在葡萄酒行业中兴建
[00:01:41,000 -> 00:01:43,000] 这些都是人工的过程
[00:01:43,000 -> 00:01:45,000] 所以很多人觉得这不是真正的葡萄酒他们想要返古归真那就回到把这些东人工的做成所以很多人觉得这不是真的葡萄酒
[00:01:45,000 -> 00:01:46,000] 他们想返古归真
[00:01:46,000 -> 00:01:48,000] 那就回到把这些东西全部去掉
[00:01:48,000 -> 00:01:51,000] 种葡萄的时候不加任何查虫剂
[00:01:51,000 -> 00:01:52,000] 不加任何
[00:01:52,000 -> 00:01:54,000] 你知道不施任何肥
[00:01:54,000 -> 00:01:56,000] 甚至有些人说我根本草都不除
[00:01:56,000 -> 00:01:58,000] 因为草也是自然的部分
[00:01:58,000 -> 00:02:01,000] 然后采摘了葡萄以后我也不经过挑选
[00:02:01,000 -> 00:02:03,000] 然后我也不去杀掉它任何别的微生物
[00:02:03,000 -> 00:02:05,000] 我直接下生葡萄上面的微生物
[00:02:05,000 -> 00:02:07,000] 我就直接放到酒窖裡面就釀了
[00:02:07,000 -> 00:02:08,000] 它愛怎麼發酵怎麼發酵
[00:02:08,000 -> 00:02:09,000] 它愛怎麼發酵怎麼發酵
[00:02:09,000 -> 00:02:10,000] 你怎麼發酵怎麼發酵
[00:02:10,000 -> 00:02:11,000] 我不管它
[00:02:11,000 -> 00:02:12,000] 做完的酒是什麼就是什麼
[00:02:12,000 -> 00:02:16,000] 然後在很多正常葡萄酒
[00:02:16,000 -> 00:02:18,000] 為了增加它的那個
[00:02:18,000 -> 00:02:20,000] 在shop life
[00:02:20,000 -> 00:02:21,000] 就是它的在
[00:02:21,000 -> 00:02:22,000] 怎麼說就是儲藏時間
[00:02:22,000 -> 00:02:24,000] 它會下很多流
[00:02:24,000 -> 00:02:25,199] 控制氧化的過程
[00:02:25,199 -> 00:02:27,199] 你會想喝什麼午餐飲料嗎?
[00:02:27,199 -> 00:02:29,199] 我會想喝這個
[00:02:29,199 -> 00:02:31,199] OK
[00:02:31,199 -> 00:02:33,199] 很多酒會加很多硫
[00:02:33,199 -> 00:02:35,199] 來控制氧化的過程
[00:02:35,199 -> 00:02:37,199] 因為酒很容易氧化
