[00:00:00,000 -> 00:00:03,720] 大家好,今天跟大家聊一下Product Sense
[00:00:03,720 -> 00:00:06,160] Product Sense算是面试环节里边
[00:00:06,160 -> 00:00:08,199] 大家比较头疼的一部分了
[00:00:08,199 -> 00:00:10,759] 因为它不像编程和统计
[00:00:10,759 -> 00:00:12,039] 你会了就是会了
[00:00:12,039 -> 00:00:13,320] 然后你也知道你会了
[00:00:13,320 -> 00:00:15,679] Product Sense的不确定性很高
[00:00:15,679 -> 00:00:17,440] 相应的也比较难准备
[00:00:17,440 -> 00:00:20,039] 网上其实也没有一些特别好的资料
[00:00:20,039 -> 00:00:21,839] 来帮助你进行准备
[00:00:21,839 -> 00:00:24,960] 我自己总结了一些方法吧
[00:00:24,960 -> 00:00:27,679] 我在同事和面试这里收到的反馈
[00:00:27,679 -> 00:00:30,399] ProductSense还算是我比较擅长的一部分
[00:00:30,640 -> 00:00:34,600] 所以说我就把自己的一些个人经验拿出来
[00:00:34,600 -> 00:00:36,039] 跟大家分享一下
[00:00:36,280 -> 00:00:37,200] 不一定是对的
[00:00:37,200 -> 00:00:39,359] 因为ProductSense是一个很大的话题
[00:00:39,520 -> 00:00:43,520] 但是希望对大家有一些借鉴和启发就好了
[00:00:43,799 -> 00:00:46,560] ProductSense这个问题其实蛮大的
[00:00:46,560 -> 00:00:48,600] 因为你要形成Product Sense
[00:00:48,840 -> 00:00:51,600] 其实有很多培养的方法
[00:00:51,600 -> 00:00:54,399] 或者说是提高的方法
[00:00:54,399 -> 00:00:56,119] 也有很多资料可以看
[00:00:56,119 -> 00:00:58,119] 或者说你自己应该上手做一些事情
[00:00:58,399 -> 00:00:59,479] 比如说对我来说
[00:00:59,479 -> 00:01:01,679] 培养我Product Sense最好的方式
[00:01:01,679 -> 00:01:04,480] 就是我真的去参与了一些
[00:01:04,480 -> 00:01:05,760] 这个Startup 的经验
[00:01:05,760 -> 00:01:10,400] 我自己也去找一些在业界摸爬滚打的人一起聊
[00:01:10,400 -> 00:01:12,799] 或者说一起帮他们做点事情
[00:01:12,799 -> 00:01:17,519] 从中从这个真实的市场反馈和自己使用这个产品
[00:01:17,519 -> 00:01:20,640] 得到了一些对于 product 的感觉
[00:01:20,640 -> 00:01:23,040] 最后 ultimately 就是 product sense
[00:01:23,040 -> 00:01:26,000] 有机会的话我可能也会分享一些这些经验
[00:01:26,000 -> 00:01:30,000] 或者说甚至请一些我的做startup或者做投资的朋友
[00:01:30,000 -> 00:01:31,000] 来帮大家分享
[00:01:31,000 -> 00:01:35,000] 这期视频我就focus在两个地方
[00:01:35,000 -> 00:01:38,000] 第一个是我帮朋友Mark interview的时候
[00:01:38,000 -> 00:01:43,000] 发现大家对Product Sense question最大的误区
[00:01:43,000 -> 00:01:45,200] 我觉得这个误区是非常值得被解决的
[00:01:47,879 -> 00:01:51,359] 第二个就是我跟大家分享一个我来准备Product Sense问题的框架
[00:01:51,560 -> 00:01:53,200] 就是其他的能力你可以提高
[00:01:53,200 -> 00:01:55,599] 但是我觉得这个框架可以帮助我
[00:01:55,599 -> 00:01:58,120] 起码把一个10分的答案
[00:01:58,120 -> 00:01:59,400] 变成一个60分的答案
[00:01:59,519 -> 00:02:01,040] 当然60分到100分中间
[00:02:01,040 -> 00:02:02,319] 还是有很多问题的
[00:02:02,319 -> 00:02:04,280] 但是掌握了这个框架
[00:02:04,400 -> 00:02:05,680] 反复练习你起码可以达到60分到80還是有很多問題的但是掌握了這個框架反复練習
[00:02:05,719 -> 00:02:08,080] 你起碼可以達到 60 分到 80 分
[00:02:08,120 -> 00:02:09,080] 我是這樣想的
[00:02:09,120 -> 00:02:11,840] 我們就先從這個誤區來開始
[00:02:12,120 -> 00:02:13,680] 這個誤區就是
[00:02:13,879 -> 00:02:15,039] Product Sense的問題
[00:02:15,400 -> 00:02:18,719] 一般他問你的都是一個開放式的問題
[00:02:18,919 -> 00:02:21,199] 開放式的問題就是什麼意思
[00:02:21,319 -> 00:02:23,000] 就是他沒有一個正確答案
[00:02:23,080 -> 00:02:24,479] 這也就是大家的誤區
[00:02:24,479 -> 00:02:29,000] 很多同學他在聽到一个 product sense 的问题的时候
[00:02:29,000 -> 00:02:33,400] 他会去把精力放在找正确答案上
[00:02:33,400 -> 00:02:37,159] 而不是去给这个面试官沟通
[00:02:37,159 -> 00:02:42,000] 展示你的这个思路和分析问题的能力上
[00:02:42,000 -> 00:02:46,599] 我可能这样说不是很容易理解
[00:02:46,599 -> 00:02:47,599] 那我就举一个例子吧
[00:02:47,599 -> 00:02:52,900] 有一个问题就是我们用随便用微信举例子
[00:02:52,900 -> 00:02:54,199] 你去面腾讯
[00:02:54,199 -> 00:02:55,699] 民生官给你个问题
[00:02:55,699 -> 00:03:00,000] 微信公众号上的文章百分之多少是假新闻
[00:03:00,000 -> 00:03:02,599] 那我先暂停一下
[00:03:02,599 -> 00:03:04,000] 就是大家想一下
[00:03:04,000 -> 00:03:06,639] 你听到这个问题的第一反应是什么
[00:03:06,639 -> 00:03:07,919] 你打算怎么回答他
[00:03:08,639 -> 00:03:12,000] 是不是你的想法是
[00:03:12,000 -> 00:03:15,120] 你要去找这个假新闻的定义是什么
[00:03:15,120 -> 00:03:17,319] 你用什么样的用户数据
[00:03:17,319 -> 00:03:19,639] 什么样的这个文本数据
[00:03:19,639 -> 00:03:23,400] 或者什么样的网站来源数据去定义假新闻
[00:03:23,400 -> 00:03:27,919] 最后这个就是你把假新闻定义出来了以后
[00:03:27,919 -> 00:03:29,599] 你就可以去算一下比例了
[00:03:29,599 -> 00:03:30,680] 是这样吗
