[00:00:00,000 -> 00:00:02,080] 不认为短剧是一个影视行业
[00:00:02,080 -> 00:00:02,600] 不是
[00:00:02,600 -> 00:00:03,200] 对
[00:00:03,200 -> 00:00:06,799] 我们其实是沿着网文的这一条路找到了短剧
[00:00:06,799 -> 00:00:10,800] 就是把中国的网文翻译成了英文了以后
[00:00:10,800 -> 00:00:12,279] 就发现老外也爱看
[00:00:12,279 -> 00:00:13,439] 虽然说文化不一样
[00:00:13,439 -> 00:00:15,000] 但是老外也爱看这种爽的
[00:00:15,000 -> 00:00:19,199] 有一个内部数据就发现说狼人比吸血鬼的效率就是高
[00:00:19,199 -> 00:00:20,839] 为什么呢
[00:00:20,839 -> 00:00:24,559] 16年刚开始我们成立大观资本
[00:00:24,559 -> 00:00:27,239] 就是说我们要all in出海赛道这个时候
[00:00:27,239 -> 00:00:30,440] 全中国当时只有三家基金是all in出海的
[00:00:30,440 -> 00:00:32,159] 然后我如果用基金做出海
[00:00:32,159 -> 00:00:33,880] 那基金只是我的一个工具
[00:00:33,880 -> 00:00:35,520] 我今天有大观资本
[00:00:35,520 -> 00:00:36,799] 我明天还有出海同学会
[00:00:36,799 -> 00:00:38,960] 我就逐渐逐渐的把出海商台做起来
[00:00:38,960 -> 00:00:41,840] 顺便说一下出海同学会101期对吧
[00:00:41,840 -> 00:00:44,000] 我参加了你们大概第5期的节目
[00:00:44,000 -> 00:00:45,920] 能看出来是做的很深的
[00:00:45,920 -> 00:00:49,359] 和这个是真正在里面做业务的人
[00:00:49,359 -> 00:00:52,280] 一个主题就是想了解一下你投资的这些东西
[00:00:52,280 -> 00:00:55,600] 然后跟大家介绍一些我们平时看不到的
[00:00:55,600 -> 00:00:56,960] 尤其比如说短剧啊
[00:00:56,960 -> 00:00:59,600] 最近好像才开始有一些人关注到了
[00:00:59,600 -> 00:01:00,960] 但是你们已经投了一年了
[00:01:00,960 -> 00:01:04,879] 国内的爽文在出海其实非常有市场
[00:01:04,879 -> 00:01:07,359] 就是很多家庭主妇就在那放着爽文
[00:01:07,359 -> 00:01:08,879] 然后听有时候说等句
[00:01:08,879 -> 00:01:11,280] 我觉得肯定是一个更牛逼的一个形式
[00:01:11,280 -> 00:01:14,480] 因为我们投出海 出海其实中国出海最重要的一块
[00:01:14,480 -> 00:01:17,680] 我觉得其实反倒目前还不是什么
[00:01:18,319 -> 00:01:22,480] 技术SARS消费品
[00:01:22,480 -> 00:01:24,640] 消费品是算外贸很大一块的
[00:01:24,640 -> 00:01:28,200] 但是我觉得真正在我们早期创投圈
[00:01:28,200 -> 00:01:30,920] 其实最有价值的还是这个文娱内容出海
[00:01:30,920 -> 00:01:32,280] 文娱内容出海这一块呢
[00:01:32,299 -> 00:01:34,120] 那里面就很大
[00:01:34,120 -> 00:01:37,439] 其实移动互联网大部分的都是跟文娱内容有关的嘛
[00:01:37,439 -> 00:01:39,120] 那么这个里面有游戏啊
[00:01:39,140 -> 00:01:40,640] 游戏很大一块
[00:01:40,640 -> 00:01:43,799] 然后那个像你刚才讲的网文啊
[00:01:43,819 -> 00:01:44,519] 有声书啊
[00:01:44,519 -> 00:01:46,439] 包括我们上一个时代的短视频
[00:01:46,439 -> 00:01:47,439] 现在的短剧
[00:01:47,439 -> 00:01:48,760] 短剧和短视频是不一样的
[00:01:48,760 -> 00:01:50,239] 这个是不一样的逻辑
[00:01:50,239 -> 00:01:53,480] 漫画 然后播客这些
[00:01:53,480 -> 00:01:55,359] 其实都是一些这种出海的内容
[00:01:55,359 -> 00:02:01,760] 我们思考的逻辑跟你刚才提到的这两个
[00:02:01,760 -> 00:02:07,840] 一个网文 一个短剧是有非常大的关系首先我们自己内部从来没有
[00:02:07,840 -> 00:02:10,039] 说是专门的去看影视行业
[00:02:10,039 -> 00:02:12,840] 因为我们一个我们不了解影视行业
[00:02:12,840 -> 00:02:13,759] 我们没拍过电影
[00:02:13,759 -> 00:02:15,840] 对那个是另外一个游戏规则
[00:02:15,840 -> 00:02:18,120] 对当然第二我们更多的就是说
[00:02:18,120 -> 00:02:21,039] 我们不认为短剧是一个影视行业的产品
[00:02:21,039 -> 00:02:24,120] 对我们其实是沿着网文的这条路
[00:02:24,159 -> 00:02:25,199] 找到了短剧
[00:02:25,199 -> 00:02:28,400] 我们在17年16年的时候
[00:02:28,400 -> 00:02:34,800] 当时我记得那个时候美国有一个很著名的翻译中国武侠小说
[00:02:34,800 -> 00:02:36,800] 宝贝妹来 修仙小说是吧
[00:02:36,800 -> 00:02:38,000] 修仙武侠都有
[00:02:38,000 -> 00:02:39,400] 他开发了一道体系
[00:02:39,400 -> 00:02:41,400] 就是什么金丹基什么
[00:02:41,400 -> 00:02:42,400] 对对对
[00:02:42,400 -> 00:02:43,800] 什么太极什么词
[00:02:43,800 -> 00:02:45,400] 对 当时我记得有新闻就是
[00:02:45,400 -> 00:02:48,199] 对对对那个很火嘛那个叫武侠网
[00:02:48,199 -> 00:02:49,699] 武侠网刚一出来的时候
[00:02:49,699 -> 00:02:51,699] 基本上中国的投资人就把那个网站
[00:02:52,400 -> 00:02:53,699] 联系方式就打爆了
[00:02:53,699 -> 00:02:56,800] 哦对啊就是天天我我们当时也发了很多信啊
[00:02:56,800 -> 00:02:58,599] 就一般人能不能投一下你们
[00:02:58,599 -> 00:03:00,099] 人家不打理你啊
[00:03:00,099 -> 00:03:00,900] 就看你
[00:03:00,900 -> 00:03:03,800] 其实很多人我觉得当时在他们出来了以后
[00:03:03,800 -> 00:03:05,840] 都嗅到了这个网文出海
[00:03:07,680 -> 00:03:10,879] 中国的网文翻译成外文这样的一个趋势
[00:03:10,879 -> 00:03:12,240] 你可不可以稍微介绍一下
[00:03:12,240 -> 00:03:14,000] 网文在国内是个什么情况
[00:03:14,000 -> 00:03:15,879] 就是为什么投资人一看到
[00:03:15,879 -> 00:03:17,240] 感觉到这是个大机会
[00:03:17,240 -> 00:03:18,879] 因为大家可能没有时间去看
[00:03:18,879 -> 00:03:21,879] 但是实际上你在中国的内容市场上面来说的话
