[00:00:00,000 -> 00:00:01,500] 大家好
[00:00:01,500 -> 00:00:03,980] 虽然我现在在科技行业工作
[00:00:03,980 -> 00:00:06,500] 但是我其实是一个经济学博士
[00:00:06,500 -> 00:00:11,220] 然后经济学的这个背景在工作和生活中
[00:00:11,220 -> 00:00:14,419] 确实有也给我带来了一些不一样的视角
[00:00:14,419 -> 00:00:18,260] 今天我就总结了三点经济学给我带来的启发
[00:00:18,260 -> 00:00:19,699] 想跟大家分享一下
[00:00:19,699 -> 00:00:21,780] 也希望对大家有所借鉴
[00:00:21,780 -> 00:00:23,059] 那话不多说
[00:00:23,059 -> 00:00:23,579] 我们就开始吧
[00:00:23,579 -> 00:00:28,679] 第一条启发呢是关注均衡
[00:00:29,000 -> 00:00:30,000] 什么意思呢
[00:00:30,039 -> 00:00:33,119] 如果大家初中高中的时候学化学
[00:00:33,119 -> 00:00:33,920] 就知道
[00:00:33,960 -> 00:00:36,359] 你把一个东西加到另外一个东西里面
[00:00:36,359 -> 00:00:38,000] 它会产生一堆化学反应
[00:00:38,200 -> 00:00:40,320] 但是我们不会去解每一步的过程
[00:00:40,359 -> 00:00:43,759] 我们应该去解最后的均衡态是什么
[00:00:44,520 -> 00:00:48,200] 经济研究也是遵循类似的思路
[00:00:48,200 -> 00:00:50,600] 当一件事情发生了以后
[00:00:50,600 -> 00:00:53,399] 你应该去关注它的均衡态是什么
[00:00:53,399 -> 00:00:54,000] 举个例子
[00:00:54,000 -> 00:00:56,200] 自己读经济博士的时候
[00:00:56,200 -> 00:00:58,600] concentration是finance
[00:00:58,600 -> 00:01:00,799] 所以说很多朋友就来问我
[00:01:00,799 -> 00:01:03,000] 这个股票是不是会涨
[00:01:03,000 -> 00:01:04,200] 是不是会跌
[00:01:04,200 -> 00:01:07,280] 其实从一个经济学的角度来说
[00:01:07,280 -> 00:01:11,079] 因为正常人是没有办法给你一个答案的
[00:01:11,400 -> 00:01:13,879] 因为如果说你知道股票会涨
[00:01:14,120 -> 00:01:16,079] 而且它在统计意义上来说
[00:01:16,079 -> 00:01:17,680] 可以给你带来正收益
[00:01:17,959 -> 00:01:19,920] 这个股票今天就已经涨了
[00:01:20,280 -> 00:01:21,840] 这是它的均衡状态
[00:01:21,840 -> 00:01:24,920] 就是说如果大家都知道它会涨
[00:01:24,920 -> 00:01:26,879] 它今天就已经涨了
[00:01:26,879 -> 00:01:28,200] 他不会等到明天才涨
[00:01:28,200 -> 00:01:29,719] 然后让你来赚这个钱
[00:01:29,719 -> 00:01:32,280] 会有更有钱更专业
[00:01:32,280 -> 00:01:35,120] 然后天天在做这些研究的基金经理
[00:01:35,120 -> 00:01:36,640] 已经把这个钱赚了
[00:01:36,640 -> 00:01:38,719] 之所以你觉得他会涨
[00:01:38,719 -> 00:01:40,519] 但是他还没有涨
[00:01:40,519 -> 00:01:44,079] 那多数情况下是因为你的这个信息
[00:01:44,079 -> 00:01:45,000] 别人已经考虑过了
[00:01:45,000 -> 00:01:47,000] 他已经包含在价格里了
[00:01:47,000 -> 00:01:49,000] 或者你这个信息根本就是错的
[00:01:49,000 -> 00:01:53,000] 这个是一个思考问题的框架
[00:01:53,000 -> 00:01:56,000] 在实际的工作中也有很好的应用
[00:01:56,000 -> 00:02:00,000] 在这我就用一个经济学比较著名的例子来举
[00:02:00,000 -> 00:02:03,000] 就是最低工资这个事情来举例
[00:02:03,000 -> 00:02:06,799] 我们都知道有第一层第二层的思维第一层思维就是当你吧就是最低工资这个事情来举例我们都知道有第一层第二层的思维
[00:02:06,799 -> 00:02:09,800] 第一层思维就是当你提高最低工资
[00:02:09,800 -> 00:02:11,800] 从7块钱到10块钱
[00:02:11,800 -> 00:02:15,800] 这个政策的本意是想帮助这些赚最低工资的人
[00:02:15,800 -> 00:02:17,800] 让他们有一个更有保障的生活
[00:02:17,800 -> 00:02:19,800] 但是第二层的思维就是
[00:02:19,800 -> 00:02:21,800] 当你提高了最低工资
[00:02:21,800 -> 00:02:23,800] 增加了企业的用工成本
[00:02:23,800 -> 00:02:26,400] 本来这些能付得起7块钱工资的企业
[00:02:26,400 -> 00:02:27,680] 付不起10块钱工资
[00:02:27,680 -> 00:02:31,000] 就只能去把这些人开除掉
[00:02:31,000 -> 00:02:34,719] 这些人本来你想帮助他们赚10块钱的工资
[00:02:34,719 -> 00:02:37,520] 现在他们连7块钱的工资都赚不到了
[00:02:37,520 -> 00:02:39,199] 当你在看一个政策的时候
[00:02:39,199 -> 00:02:41,840] 你不应该只关注它的直接影响
[00:02:41,840 -> 00:02:45,280] 你必须要考虑它接下来的话会带来什么样的影响
[00:02:45,560 -> 00:02:47,199] 而且很多时候
[00:02:47,479 -> 00:02:51,280] 间接影响比直接影响更重要
[00:02:51,280 -> 00:02:53,159] 这个不光是我们说的
[00:02:53,159 -> 00:02:55,879] 就是瑞德·达威尔在他的principles这边
[00:02:56,039 -> 00:02:57,719] 也反复强调这件事情
[00:02:57,719 -> 00:02:59,680] 就是大家一定要关注间接影响
[00:02:59,680 -> 00:03:01,639] 很多时候比直接影响更重要
[00:03:02,039 -> 00:03:02,560] 当然了
[00:03:02,560 -> 00:03:05,159] 这个问题本身在经济学中还是有一定争议的因为还有间接的间接影响更重要当然了这个问题本身在经济学中
[00:03:05,159 -> 00:03:06,960] 还是有一定争议的
[00:03:07,120 -> 00:03:09,159] 因为还有间接的阶段影响
[00:03:09,240 -> 00:03:11,599] 间接的阶段影响分两块
[00:03:11,599 -> 00:03:13,800] 一个就是公司
[00:03:13,879 -> 00:03:15,479] 或者说是用人成本
[00:03:15,479 -> 00:03:18,840] 到底在企业总成本里边占比多少
[00:03:18,840 -> 00:03:21,960] 和企业对公司的弹性到底是多少
[00:03:22,199 -> 00:03:24,719] 如果有一些经济学者去做了研究
[00:03:24,840 -> 00:03:26,719] 就会发现其实占比并不高
[00:03:26,719 -> 00:03:27,719] 提高最低工资
[00:03:27,719 -> 00:03:29,960] 企业的运营成本没有提高太多
[00:03:30,439 -> 00:03:32,919] 其实他们是付得起这笔钱的
[00:03:33,080 -> 00:03:35,800] 另外一个就是当你的最低工资提高了
[00:03:35,800 -> 00:03:37,560] 也会带来一定的财富效应
[00:03:37,719 -> 00:03:39,960] 所谓财富效应的意思就是说
[00:03:40,080 -> 00:03:42,479] 你大家都赚了更多的钱
[00:03:42,560 -> 00:03:44,560] 也就有会花更多的钱
[00:03:44,560 -> 00:03:46,080] 会带来更多的经济机会
[00:03:46,080 -> 00:03:47,960] 反而会促进就业
[00:03:48,719 -> 00:03:50,479] 也有很多经济学者
[00:03:50,479 -> 00:03:52,759] 通过实地调查
[00:03:52,800 -> 00:03:55,319] 和用各种各样的数据
[00:03:55,479 -> 00:03:58,000] 都发现了各种各样的证据
[00:03:58,120 -> 00:03:59,560] 在这我们就不展开讨论了
