[00:00:00,000 -> 00:00:02,000] Hello 大家好 欢迎回到看点评论
[00:00:02,000 -> 00:00:04,000] 我是你们的看点长
[00:00:04,000 -> 00:00:06,000] 今天是The Unitarian Company
[00:00:06,000 -> 00:00:08,000] 从上海来到深圳
[00:00:08,000 -> 00:00:10,000] 做一个pop-up 我就有机会采访
[00:00:10,000 -> 00:00:12,000] 他们的首席特种是Leo
[00:00:12,000 -> 00:00:14,000] The Unitarian Company在上海是一个
[00:00:14,000 -> 00:00:16,000] 很有名的酒吧 他应该是
[00:00:16,000 -> 00:00:18,000] 被评为全世界还是全亚洲
[00:00:18,000 -> 00:00:20,000] 前50名的酒吧
[00:00:20,000 -> 00:00:22,000] 你们是全世界还是全亚洲的前50名酒吧
[00:00:22,000 -> 00:00:24,000] 都有 全世界
[00:00:24,000 -> 00:00:25,000] 前50名的酒吧
[00:00:25,000 -> 00:00:25,640] 全宇宙
[00:00:25,640 -> 00:00:27,280] 也可以
[00:00:27,280 -> 00:00:29,079] 全宇宙前50名的酒吧
[00:00:29,079 -> 00:00:32,039] 他们的酒也是非常有特色
[00:00:32,039 -> 00:00:33,840] 非常有创新
[00:00:33,840 -> 00:00:38,560] 因为这跟Lio调酒的理念也非常有关系
[00:00:38,560 -> 00:00:40,520] 我们今天来采访Lio
[00:00:40,520 -> 00:00:44,520] 就是想跟他聊一聊酒和快乐的关系
[00:00:44,520 -> 00:00:46,719] 因为Lio的角度来说调酒是一个给聊一聊酒和快乐的关系因为Leo 的角度来说
[00:00:46,719 -> 00:00:49,439] 调酒是一个给客人带来快乐
[00:00:49,439 -> 00:00:51,399] 不应该那么就是拘谨
[00:00:51,399 -> 00:00:53,039] 应该比较放松的东西
[00:00:53,039 -> 00:00:53,759] 那好的
[00:00:53,759 -> 00:00:56,159] Leo 正在给我做一杯酒
[00:00:57,719 -> 00:00:59,280] 正在舀酒的就是 Leo
[00:01:01,240 -> 00:01:03,679] 这是紫玫瑰
[00:01:04,239 -> 00:01:05,599] 是紫玫瑰哦 纸玫瑰
[00:01:05,599 -> 00:01:07,920] 它会比较带点烟熏
[00:01:07,920 -> 00:01:09,840] 上次来有喝过
[00:01:09,840 -> 00:01:11,359] AD说这是他最喜欢的
[00:01:11,359 -> 00:01:15,040] 但是正好看一下是不是调的consistent
[00:01:15,040 -> 00:01:18,799] 我没喝过这么多
[00:01:18,799 -> 00:01:19,760] 很棒
[00:01:19,760 -> 00:01:21,359] 好像和上次的不太一样
[00:01:21,359 -> 00:01:26,159] 可能是因为上次喝的就是吃完饭来喝的
[00:01:26,159 -> 00:01:28,799] 这次是抽完烟来喝的
[00:01:28,799 -> 00:01:29,840] 本来也不一样
[00:01:30,120 -> 00:01:34,000] 但是会比我第一次的感觉甜一点
[00:01:34,000 -> 00:01:35,200] 你尝一下
[00:01:35,200 -> 00:01:39,519] 我们如果上一个新酒单一类的话
[00:01:39,519 -> 00:01:42,000] 我们会先跟我们老大
[00:01:42,000 -> 00:01:43,519] 你的official title是什么
[00:01:43,519 -> 00:01:45,000] 是首席调酒师还是?
[00:01:45,000 -> 00:01:47,000] 这是我Bar Manager的
[00:01:47,000 -> 00:01:48,000] Bar Manager
[00:01:48,000 -> 00:01:53,000] 那Bar Manager和老板的关系是什么的?
[00:01:53,000 -> 00:01:55,000] 就是你是老板之下的
[00:01:55,000 -> 00:01:56,000] 也算Owner了现在
