[00:00:00,000 -> 00:00:01,879] 你稍微聊一下这种颜色进度什么的
[00:00:02,160 -> 00:00:02,919] 你大概问一下
[00:00:02,919 -> 00:00:03,680] 你多问几次
[00:00:03,680 -> 00:00:04,960] 其实他一定会漏的
[00:00:04,960 -> 00:00:07,040] 今天聊的这两点都很有意思
[00:00:07,040 -> 00:00:08,759] 一个是把我们打开眼睛
[00:00:08,759 -> 00:00:09,960] 看了这么多宝石
[00:00:10,119 -> 00:00:11,880] 稍稍说了一下宝石的价值
[00:00:11,880 -> 00:00:12,960] 本质是什么
[00:00:12,960 -> 00:00:16,800] 你如果扮演一个无良销售人员
[00:00:17,160 -> 00:00:20,480] 想把这块宝石高价格卖给我
[00:00:20,480 -> 00:00:21,399] 你会怎么卖
[00:00:21,480 -> 00:00:22,719] 为了你印堂发黑
[00:00:23,399 -> 00:00:24,719] 还遇到强硬
[00:00:24,719 -> 00:00:25,839] 这能不能�能不能说
[00:00:25,839 -> 00:00:26,839] 能不能说
[00:00:26,839 -> 00:00:27,839] 哈哈哈哈
[00:00:27,839 -> 00:00:29,339] 说一个杀伤不能说的吧
[00:00:29,339 -> 00:00:32,640] 实在是那种就是很招同行记的
[00:00:32,640 -> 00:00:34,140] 这样子不招同行
[00:00:34,140 -> 00:00:36,640] 我说一个事实吧
[00:00:36,640 -> 00:00:38,740] 就是我们这段时间我的店铺
[00:00:38,740 -> 00:00:39,640] 其实就在楼下
[00:00:39,640 -> 00:00:41,840] 会遇到很多客人过来说
[00:00:41,840 -> 00:00:43,039] 哎你的货品挺好的
[00:00:43,039 -> 00:00:44,039] 我能不能加你微信
[00:00:44,039 -> 00:00:46,159] 没问题我们当然是愿意的
[00:00:46,159 -> 00:00:47,399] 加了我们的微信之后呢
[00:00:47,399 -> 00:00:48,439] 第二天我就会发
[00:00:48,439 -> 00:00:50,759] 因为大家都看到消费朋友圈嘛
[00:00:50,759 -> 00:00:52,399] 我就很奇怪
[00:00:52,399 -> 00:00:55,880] 发现他的朋友圈就就会转很多我们的产品
[00:00:55,880 -> 00:00:56,799] 当然我也开心
[00:00:56,799 -> 00:00:57,960] 因为你可能喜欢
[00:00:57,960 -> 00:00:58,960] 你可能想推广
[00:00:58,960 -> 00:00:59,960] 这个你的事
[00:00:59,960 -> 00:01:02,039] 但是他的定位会不在中国
[00:01:02,039 -> 00:01:04,359] 朋友圈的定位不在中国
[00:01:04,359 -> 00:01:06,000] 比如说在泰国啊在斯里蘭卡
[00:01:06,000 -> 00:01:08,000] 我當時就很驚訝
[00:01:08,000 -> 00:01:10,000] 我難道用了微信那麼多年
[00:01:10,000 -> 00:01:12,000] 我自己有那麼笨嗎
[00:01:12,000 -> 00:01:14,000] 實際上就是
[00:01:14,000 -> 00:01:16,000] 他會用一些擦邊的錯覺
[00:01:16,000 -> 00:01:18,000] 其實銷售的
[00:01:18,000 -> 00:01:20,000] 就是國內的
[00:01:20,000 -> 00:01:22,000] 明白了明白了其實還是打一個信息差嘛
[00:01:22,000 -> 00:01:24,000] 他說自己是源頭商人
[00:01:24,000 -> 00:01:26,280] 然後他說他人就在那裡
[00:01:26,280 -> 00:01:28,680] 確實就是這一個月這段時間遇到事情
[00:01:28,680 -> 00:01:29,879] 然後我當時還特意問了一下
[00:01:29,879 -> 00:01:32,400] 我說這技術上到底怎麼實現的
[00:01:32,400 -> 00:01:35,120] 我說這個安卓上很容易就有這個app
[00:01:35,120 -> 00:01:36,640] 我不知道我不懂
[00:01:36,640 -> 00:01:37,480] 我說那這樣的話
[00:01:37,480 -> 00:01:38,560] 像我們本來做這個
[00:01:38,560 -> 00:01:41,000] 我就天天定位到那個國外去就好了
[00:01:41,000 -> 00:01:42,480] 這就是一個包裝的方式
[00:01:42,480 -> 00:01:44,519] 那我覺得和前面那個也是有關係的
[00:01:44,519 -> 00:01:45,799] 它會包裝一個概念它這個包裝的概式我覺得和前面那個也是有關係的它會包裝一個概念
[00:01:45,799 -> 00:01:47,599] 它這個包裝的概念可能是一些
[00:01:47,599 -> 00:01:48,879] 這個寶石本身的特點
[00:01:48,879 -> 00:01:50,680] 但是有可能是比如說我源頭
[00:01:50,680 -> 00:01:52,400] 為什麼我說我不做這個
[00:01:52,400 -> 00:01:54,040] 我不給大家推薦渠道
[00:01:54,040 -> 00:01:56,719] 因為大家是沒有辦法
[00:01:56,719 -> 00:01:58,719] 有這個判斷力來相信我的
[00:01:58,719 -> 00:02:00,200] 所以說如果我做了以後
[00:02:00,200 -> 00:02:02,359] 但就是一個騙你的人
[00:02:02,359 -> 00:02:04,760] 完完全全可以用這個方式去騙你說
[00:02:04,760 -> 00:02:06,439] 我在這裡有最好的渠道
[00:02:06,439 -> 00:02:08,840] 因為這段時間應該普遍都遇到這個問題
[00:02:08,840 -> 00:02:10,800] 因為小紅少爺也看到很多
[00:02:10,800 -> 00:02:13,560] 就是他說自己是斯里蘭卡的源頭商人啊
[00:02:13,560 -> 00:02:15,360] 或者說泰國的做市場的呀
[00:02:15,360 -> 00:02:17,080] 我覺得最核心的這是一個
[00:02:17,080 -> 00:02:19,039] 這只是他表現出來的術
[00:02:19,039 -> 00:02:19,919] 這種術
[00:02:19,919 -> 00:02:21,719] 但回歸背後的東西是
