[00:00:00,000 -> 00:00:01,800] 发出去以后直接一晚上我发现
[00:00:01,800 -> 00:00:03,200] 哇 200万赞
[00:00:03,200 -> 00:00:04,839] 大家原来喜欢这个东西
[00:00:04,839 -> 00:00:07,480] 然后就有了一套自己的思路
[00:00:07,480 -> 00:00:09,240] 提出问题 解决问题
[00:00:09,240 -> 00:00:11,919] 然后用这个问题先吸引住观众的一个好奇心
[00:00:11,919 -> 00:00:16,079] 其实是我做自媒体的一个流量模式
[00:00:16,079 -> 00:00:18,160] 所以说很多人就去做自媒体这条路
[00:00:18,160 -> 00:00:19,199] 可是都做不好
[00:00:19,199 -> 00:00:21,199] 因为找不到流量感
[00:00:21,199 -> 00:00:22,640] 你是怎么找到的
[00:00:22,640 -> 00:00:25,039] 可能一个是要找到自己的一个独特性
[00:00:25,039 -> 00:00:26,600] 他们都是尽可能的
[00:00:26,600 -> 00:00:28,559] 故意去打造一些自己的缺陷感
[00:00:28,559 -> 00:00:30,000] 这种人设比较亲近
[00:00:30,839 -> 00:00:31,440] 耶
[00:00:31,440 -> 00:00:33,320] 我今天比一米九的保罗
[00:00:33,320 -> 00:00:34,359] 看起来糟了
[00:00:34,359 -> 00:00:37,119] 我第一次见到保罗的感觉就是外号高
[00:00:37,119 -> 00:00:39,039] 现实生活中一米九真的很高
[00:00:39,039 -> 00:00:41,200] 所以今天请你坐一个矮一点的椅子
[00:00:41,200 -> 00:00:42,079] 好的没关系
[00:00:42,079 -> 00:00:43,920] 大家记得把20公分加上
[00:00:44,759 -> 00:00:46,920] 跟你第一次认识的时候是在clubhouse上
[00:00:46,920 -> 00:00:48,280] 然后顿总的局
[00:00:48,280 -> 00:00:49,520] 讲副业
[00:00:49,520 -> 00:00:51,000] 那个时候你是一个
[00:00:51,000 -> 00:00:52,119] 就是很年轻的
[00:00:52,119 -> 00:00:53,159] 在媒体做的很成功了
[00:00:53,159 -> 00:00:56,320] 但是并不是你的工作中心
[00:00:56,560 -> 00:00:57,840] 你是什么时候辞职的
[00:00:57,840 -> 00:00:58,920] 去年年中
[00:00:58,920 -> 00:01:01,560] 什么时候开始发现就是应该辞职了
[00:01:01,560 -> 00:01:03,520] 其实这事我估计想了有一两年了
[00:01:03,520 -> 00:01:05,319] 其实相当于两个full time表
[00:01:05,319 -> 00:01:07,959] 你很难说去balance这两个
[00:01:07,959 -> 00:01:09,239] 到底哪个更重要
[00:01:09,239 -> 00:01:10,200] 哪个不那么重要
[00:01:10,200 -> 00:01:11,319] 一个相对比较稳定
[00:01:11,319 -> 00:01:12,239] 一个收益很好
[00:01:12,239 -> 00:01:14,760] 而且看起来近期是有很长的potential
[00:01:14,760 -> 00:01:16,000] 首先我不可能说
[00:01:16,000 -> 00:01:18,120] 这自媒体这一块我就说我不做了
[00:01:18,120 -> 00:01:21,480] 我前几年的努力就付诸东流
[00:01:21,480 -> 00:01:23,599] 唯一考虑的就是说
[00:01:23,599 -> 00:01:24,799] 我是不是应该
[00:01:25,159 -> 00:01:27,560] 更全身心的去投入去做自媒体
[00:01:27,560 -> 00:01:29,239] 怎么走出自己的舒适圈
[00:01:29,239 -> 00:01:31,040] 然后看看这边的机会怎么样
[00:01:31,040 -> 00:01:33,519] 自媒体你觉得是走出舒适圈
[00:01:33,519 -> 00:01:36,000] 因为我们家不是什么做生意的
[00:01:36,000 -> 00:01:37,599] 像很多做生意的背景
[00:01:37,599 -> 00:01:39,840] 我的朋友他们会觉得这么是风口做什么
[00:01:39,840 -> 00:01:40,879] 然后赚一波快钱
[00:01:40,879 -> 00:01:41,719] 然后休息一下
[00:01:41,719 -> 00:01:43,000] 然后再赚下一波快钱
[00:01:43,000 -> 00:01:45,480] 或者说创造一个自己的business
[00:01:45,480 -> 00:01:46,920] 然后去经营它
[00:01:46,920 -> 00:01:48,239] 有未知的那种感觉
[00:01:48,239 -> 00:01:49,959] 我也喜欢这种未知的感觉
[00:01:49,959 -> 00:01:50,920] 有挑战的感觉
[00:01:50,920 -> 00:01:52,719] 很多人的想法都是这个样子
[00:01:52,719 -> 00:01:54,719] 就是说可能有一个比较稳定的工作
[00:01:54,719 -> 00:01:56,079] 像在tech领域
[00:01:56,079 -> 00:01:56,640] IT
[00:01:56,640 -> 00:01:58,239] 然后做一个product manager
[00:01:58,239 -> 00:02:00,040] 或者是做一个software engineer
[00:02:00,040 -> 00:02:02,159] 其实你是一眼差不多能望的头
[00:02:02,159 -> 00:02:03,400] 你知道天花板大概在哪
[00:02:03,400 -> 00:02:05,760] 你工作给你带来的成就感怎么样
[00:02:05,760 -> 00:02:09,280] 我觉得我的主业工作是起到了很大的一个帮助
[00:02:09,280 -> 00:02:10,199] 因为我是产品经理
[00:02:10,439 -> 00:02:12,840] 其实就是提出问题解决问题找到solution
[00:02:12,840 -> 00:02:13,199] 对吧
[00:02:13,199 -> 00:02:14,919] 训练我这样的一个思维模式
[00:02:14,919 -> 00:02:15,800] 我觉得是非常重要
[00:02:15,800 -> 00:02:17,560] 我在做自媒体的时候
[00:02:17,560 -> 00:02:19,479] 其实也是借鉴了这样的一个思路
