[00:00:00,000 -> 00:00:01,560] 这还是一个很惊人的数字
[00:00:01,560 -> 00:00:02,919] 我听到了也都吓一跳
[00:00:02,919 -> 00:00:03,640] 因为为什么呢
[00:00:03,640 -> 00:00:07,320] 因为你把硅谷几乎所有的中厂
[00:00:07,320 -> 00:00:10,720] AIMB,UBER, PINTEREST, LEFT
[00:00:10,720 -> 00:00:12,759] 这些中厂的净利润加起来
[00:00:12,759 -> 00:00:14,560] 还没有这一家公司多
[00:00:14,560 -> 00:00:16,239] 这还是比较有趣的
[00:00:16,239 -> 00:00:18,559] 但是我这儿想帮大家问一个问题
[00:00:18,559 -> 00:00:22,800] 就是华人在硅谷很少做到真正的高层
[00:00:22,800 -> 00:00:24,839] 然后但是我们看到印度裔
[00:00:24,839 -> 00:00:28,000] 其实做很多都是能做到高层的
[00:00:28,000 -> 00:00:30,000] 然后大家想了解这里边的原因
[00:00:30,000 -> 00:00:32,000] 和你能突破这样的一个
[00:00:32,000 -> 00:00:35,000] 大家看起来的竹子天花板做到一个高层
[00:00:35,000 -> 00:00:36,000] 做到一个Chief AI Officer
[00:00:36,000 -> 00:00:39,000] 这里边的心得体会是什么样子的
[00:00:39,000 -> 00:00:42,000] 为什么这个时间点我记得特别清楚呢
[00:00:42,000 -> 00:00:44,000] 因为有无数个CEO给我打电话说
[00:00:44,000 -> 00:00:46,280] 我是不是要把钱取出来那跟他讲要取不取
[00:00:46,280 -> 00:00:47,600] 但我人不在硅谷
[00:00:47,600 -> 00:00:51,399] 那个这边又没有一个硅谷银行的Branch Office
[00:00:51,399 -> 00:00:52,399] 大家都傻眼了
[00:00:52,399 -> 00:00:54,200] 我是要飞回来还是不飞回来
[00:00:54,200 -> 00:00:55,439] 大家好 徐老师
[00:00:55,439 -> 00:00:58,000] 看大标好 大家好
[00:00:58,000 -> 00:01:03,039] 听说你最近加入了硅谷一家非常赚钱的中炒
[00:01:03,039 -> 00:01:05,680] 然后去做那里的Chief AI Officer
[00:01:05,680 -> 00:01:06,680] 恭喜恭喜
[00:01:06,680 -> 00:01:08,400] 谢谢 谢谢
[00:01:08,400 -> 00:01:10,200] 那个加入的是Gen
[00:01:10,200 -> 00:01:14,280] 其实有一些硅谷部门的一些厂
[00:01:14,280 -> 00:01:15,560] 给并购起来
[00:01:15,560 -> 00:01:16,719] 然后起了一个新的名字
[00:01:16,719 -> 00:01:18,719] 大家不一定熟悉这个新的名字
[00:01:18,719 -> 00:01:21,719] 跟Generative AI的Gen是同一个名字
[00:01:21,719 -> 00:01:22,719] That's interesting
[00:01:22,719 -> 00:01:29,000] 对 然后做的产品主要就是那些Norton啊,LifeLock啊
[00:01:29,000 -> 00:01:33,000] 这些跟消费者有关的一些产品
[00:01:33,000 -> 00:01:36,000] 对,Jane这个名字大家可能没听说过
[00:01:36,000 -> 00:01:40,000] 但是说到诺顿的话,大家应该都是听说过的
[00:01:40,000 -> 00:01:44,000] 然后LifeLock大家应该也知道是一个保护个人身份的,对吧
[00:01:44,000 -> 00:01:45,120] 在美国是个非常有名的
[00:01:45,120 -> 00:01:49,480] 对 因为大家的身份不管你非常注意保护
[00:01:49,480 -> 00:01:52,019] 还是不注意保护你的身份 其实都在泄露
[00:01:52,019 -> 00:01:54,579] 然后坏人可以用你的身份做很多事情
[00:01:54,579 -> 00:01:57,420] 看银行账户 甚至于极端情况下
[00:01:57,420 -> 00:01:59,459] 也有过把你的房子给卖掉
[00:01:59,459 -> 00:02:02,459] 所以说需要一些 其实就有点像AAA
[00:02:02,459 -> 00:02:06,519] 你这个车子的多多少少有的时候
[00:02:06,519 -> 00:02:09,080] flat tire或者怎么样 总归是有出问题的
[00:02:09,080 -> 00:02:11,080] 需要有人来保护你
[00:02:11,080 -> 00:02:13,639] 那可不可以请你介绍一下
[00:02:13,639 -> 00:02:17,319] 这个公司大概的规模和这个收入
[00:02:17,319 -> 00:02:20,280] 但是我这儿想帮大家问一个问题就是
[00:02:20,280 -> 00:02:23,800] 华人在硅谷很少做到真正的高层
[00:02:23,800 -> 00:02:27,879] 然后但是我们看到印度裔其实做很多都是能做到高层的
[00:02:27,879 -> 00:02:30,080] 然后大家想了解这里边的原因
[00:02:30,080 -> 00:02:33,680] 和你能突破这样的一个大家看起来的竹子天花板
[00:02:33,680 -> 00:02:34,680] 做到一个高层
[00:02:34,680 -> 00:02:36,240] 做到一个Chief AI Officer
[00:02:36,240 -> 00:02:38,759] 这里边的心得体会是什么样子的
[00:02:38,759 -> 00:02:41,919] 对这是一家硅谷的中厂
[00:02:41,919 -> 00:02:43,560] 大概3000多个人
[00:02:43,560 -> 00:02:45,460] 我一直跟很多同学说这是一个最不谷的中厂大概3000多个人我一直跟很多同学说
[00:02:45,620 -> 00:02:48,460] 这是一个最不知名的中厂
[00:02:48,659 -> 00:02:50,039] 但是它又是一个
