[00:00:00,000 -> 00:00:02,540] hello大家好 欢迎回到克里斯本·贝利镇
[00:00:02,540 -> 00:00:03,339] 我是米德克里表
[00:00:03,339 -> 00:00:04,740] 今天我来跟大家讲一下
[00:00:04,740 -> 00:00:09,460] 我对防疫的这整件事情的一些看法和体会吧
[00:00:09,460 -> 00:00:13,699] 当然了就是这个东西肯定是不能在国内说的
[00:00:13,699 -> 00:00:15,619] 那也请大家保护一下我
[00:00:15,619 -> 00:00:19,339] 再就是这个肯定是要纠结很久嘛
[00:00:19,339 -> 00:00:20,420] 因为我在国内工作
[00:00:20,420 -> 00:00:22,339] 就是想发一次这个东西
[00:00:22,339 -> 00:00:28,000] 你是要鼓起很大很大的勇气的所以说我也不可能去提前想好很多东西
[00:00:28,000 -> 00:00:30,000] 就说的会有点乱 也请大家包涵
[00:00:30,000 -> 00:00:34,000] 那我可能也只能凭着这一点点勇气去把这个录完
[00:00:34,000 -> 00:00:36,000] 然后说不定发上去 说不定不发
[00:00:36,000 -> 00:00:38,000] 但是我就不反复说了
[00:00:38,000 -> 00:00:40,000] 这里边可能有一些车轱辘话
[00:00:40,000 -> 00:00:42,000] 就请大家包涵一下吧
[00:00:42,000 -> 00:00:45,880] 我大概的想法是我先去说这里边的一些结论
[00:00:45,880 -> 00:00:50,479] 和我认为比如说它到底是一件什么样的事情
[00:00:50,479 -> 00:00:52,799] 到底是为什么会造成这样的一件事情
[00:00:52,799 -> 00:00:56,000] 然后这里边给我们的一些启发是什么
[00:00:56,000 -> 00:00:59,119] 然后我正好我翻了一下我的朋友圈
[00:00:59,119 -> 00:01:01,200] 我过去一段时间就是过去一年吧
[00:01:01,200 -> 00:01:02,240] 也发了一些朋友圈
[00:01:02,240 -> 00:01:05,760] 当然中间也失去过表达欲望而沉寂了很久
[00:01:05,760 -> 00:01:10,560] 但是就是这些朋友圈也提醒了我很多当时的想法
[00:01:10,560 -> 00:01:11,920] 或当时幼稚的想法
[00:01:11,920 -> 00:01:14,719] 就也给大家一起看一看我的朋友圈
[00:01:14,719 -> 00:01:18,400] 并且说一下当时用这个朋友圈作为一个时间线
[00:01:18,400 -> 00:01:21,280] 去看这个事情是怎么evolute的
[00:01:21,280 -> 00:01:22,239] 就是怎么进化的
[00:01:22,239 -> 00:01:25,120] 是怎么演化的
[00:01:25,120 -> 00:01:27,040] 好那就先说结论吧
[00:01:27,040 -> 00:01:28,959] 第一个结论就是这件事情肯定是错的
[00:01:28,959 -> 00:01:32,319] 但是这件事情的错有一些东西是black and white
[00:01:32,319 -> 00:01:33,920] 有一些东西是值得商榷的
[00:01:33,920 -> 00:01:34,879] 我也会跟大家说一下
[00:01:34,879 -> 00:01:36,159] 我觉得值得商榷
[00:01:36,159 -> 00:01:38,319] 就是比如说言论自由这件事情
[00:01:38,319 -> 00:01:40,719] 我不觉得它一定是一个black and white的事情
[00:01:40,719 -> 00:01:44,480] 但是我从我自己的价值观来说
[00:01:44,480 -> 00:01:46,400] 我当然觉得100%应该有言论自由但是我愿自己的價值觀來說我當然覺得百分之百應該有言論自由
[00:01:46,400 -> 00:01:49,200] 但是我願意去acknowledge
[00:01:49,200 -> 00:01:51,200] 就是有的人覺得言論自由不好
[00:01:51,200 -> 00:01:54,400] 那OK 我覺得就是我的觀點不是絕對的
[00:01:54,400 -> 00:01:57,200] 那他覺得言論自由不好
[00:01:57,200 -> 00:01:59,200] 那我覺得我可以認可這個方法
[00:01:59,200 -> 00:02:01,200] 我可以覺得言論自由是待討論
[00:02:01,200 -> 00:02:05,200] 但是哪怕在這麼就是極端的去
[00:02:05,200 -> 00:02:07,599] accommodate所有人的想法的情況之下
[00:02:07,599 -> 00:02:09,599] 我還是覺得有一些東西是black and white
[00:02:09,599 -> 00:02:11,599] 第一件事情就是
[00:02:11,599 -> 00:02:13,599] 生命健康這件事情
[00:02:13,599 -> 00:02:16,479] 就是大家一直說防疫
[00:02:16,479 -> 00:02:18,879] 大家一直說就是疫情來了以後
[00:02:18,879 -> 00:02:21,360] 會造成人的生命健康的問題
[00:02:21,360 -> 00:02:24,400] 對吧 因為會得病會死
[00:02:24,400 -> 00:02:26,400] 會造成醫療資源的擠兌
[00:02:26,400 -> 00:02:29,599] 但是防疫其實造成了更大規模
[00:02:29,599 -> 00:02:33,120] 我覺得應該是肯定不是一個數量級
[00:02:33,120 -> 00:02:35,439] 肯定是大於一個或是好幾個數量級的
[00:02:35,439 -> 00:02:37,120] 更大的生命健康的問題
[00:02:37,120 -> 00:02:38,719] 就是光從這樣一件事情
[00:02:38,719 -> 00:02:41,280] 如果說你care人的身體健康
[00:02:41,280 -> 00:02:42,879] 你care人的生命健康的話
[00:02:42,879 -> 00:02:44,960] 防疫造成的生命健康後果
[00:02:44,960 -> 00:02:46,000] 遠遠大於疫情造成的生命健康後果
[00:02:46,000 -> 00:02:48,000] 遠遠大於疫情造成的生命健康後果
[00:02:48,000 -> 00:02:50,000] 這個是一個black and white的事情
[00:02:50,000 -> 00:02:52,000] 為什麼呢
[00:02:52,000 -> 00:02:54,000] 就是我一會可能在朋友圈裡面也會稍微提一下吧
[00:02:54,000 -> 00:02:56,000] 就是第一
[00:02:56,000 -> 00:02:58,000] 我們說的是Omicron
[00:02:58,000 -> 00:03:00,000] 它在這個開放之後造成的
[00:03:00,000 -> 00:03:02,000] 造成的死亡
[00:03:02,000 -> 00:03:04,000] 不管是直接死亡
[00:03:04,000 -> 00:03:05,919] 就是那個die off omicron
[00:03:05,919 -> 00:03:07,199] 而不是die with omicron
[00:03:07,199 -> 00:03:08,960] die with这个东西不能算
[00:03:08,960 -> 00:03:12,319] die off还是你用超额死亡的口径去算
[00:03:12,319 -> 00:03:14,240] 然后你去算真正应该
[00:03:14,240 -> 00:03:15,840] 中国应该去看的这些东西
[00:03:15,840 -> 00:03:17,280] 你去看印度看越南
[00:03:17,280 -> 00:03:19,840] 然后你哪怕去看这个各个发达国家
[00:03:19,840 -> 00:03:21,599] 如果你把各种factor考虑清楚以后
[00:03:21,599 -> 00:03:22,400] 你也能看到
[00:03:22,400 -> 00:03:24,560] Omicron它是一个小号流感
[00:03:24,560 -> 00:03:27,439] 它造成的流感死亡率是比流感低的
[00:03:27,439 -> 00:03:29,919] 我们之前流感死亡率之前低
[00:03:29,919 -> 00:03:31,120] 之所以很低
[00:03:31,120 -> 00:03:34,479] 是因为我们统计流感的死亡率的口径是有问题
[00:03:34,479 -> 00:03:37,759] 如果你按照像统计Omicron的这个
[00:03:37,759 -> 00:03:40,319] 正确统计Omicron的死亡率的方式
[00:03:40,319 -> 00:03:41,520] 去统计流感的死亡率
