[00:00:00,000 -> 00:00:02,879] 大家好 今天我想跟大家聊一聊PM
[00:00:02,879 -> 00:00:06,799] 相信大家不管是数据科学家 数据分析师
[00:00:06,799 -> 00:00:08,320] 然后又或者程序员
[00:00:08,320 -> 00:00:09,919] 或者你自己本身就是PM
[00:00:09,919 -> 00:00:12,080] 你平时都会跟很多PM打交道
[00:00:12,080 -> 00:00:14,320] 但是PM这个职业第一
[00:00:14,320 -> 00:00:15,839] 它到底是干什么的
[00:00:15,839 -> 00:00:17,600] 其实没有一个特别统一的定义
[00:00:17,600 -> 00:00:18,960] 就数据科学家也没有
[00:00:18,960 -> 00:00:20,480] 但是PM可能更过分一点
[00:00:20,480 -> 00:00:23,519] 第二就是它的水平挺难量化的
[00:00:23,519 -> 00:00:25,760] 就是你在看到一个pm的第一眼
[00:00:25,760 -> 00:00:29,280] 你可能很难判断它到底是一个好的pm还是一个不好的pm
[00:00:29,280 -> 00:00:34,240] 第三就是pm的质量对你这个产品和对你整个team的成功
[00:00:34,240 -> 00:00:35,759] 都有非常大的影响
[00:00:35,759 -> 00:00:40,640] 就是它可以决定你的很大程度上决定你的产品的上限和下限
[00:00:40,640 -> 00:00:42,399] 当然来都是大家共同的努力
[00:00:42,399 -> 00:00:44,079] 但是一个好的pm非常重要
[00:00:44,079 -> 00:00:47,439] 其实我自己在工作中也经常受到这样的反馈
[00:00:47,439 -> 00:00:49,359] 他们说我说话像pm
[00:00:49,359 -> 00:00:51,280] 我在跟别人沟通的时候
[00:00:51,280 -> 00:00:54,000] 或者说我在讲这个东西为什么值得做
[00:00:54,000 -> 00:00:55,039] 为什么不值得做
[00:00:55,039 -> 00:00:56,640] 或者说我在其他的
[00:00:56,640 -> 00:00:58,560] 比如说一个项目做了
[00:00:58,560 -> 00:01:00,000] 或者说我的analysis
[00:01:00,000 -> 00:01:02,079] 我在frame这些question的时候
[00:01:02,079 -> 00:01:05,120] 同事们就会说你这个说话像pm一样
[00:01:05,120 -> 00:01:08,000] 收到这样的反馈虽然谈不上说开心
[00:01:08,000 -> 00:01:09,359] 但是我也觉得挺好的
[00:01:09,359 -> 00:01:13,680] 我自己在linkedin上的签名就是产品第一增长第二data第三
[00:01:13,680 -> 00:01:16,319] 那我反思我为什么会得到这样的反馈
[00:01:16,319 -> 00:01:19,439] 我觉得第一我很喜欢讲human problem
[00:01:19,439 -> 00:01:22,400] 我在说这个东西要做什么的话
[00:01:22,400 -> 00:01:24,640] 我会先从用户的角度去想
[00:01:24,640 -> 00:01:26,640] 然后从产品的角度去讲我不会先从用户的角度去想然后从产品的角度去讲
[00:01:26,640 -> 00:01:28,799] 我不会先从数据的角度去思考
[00:01:28,799 -> 00:01:30,400] 然后就是hypothesis driven
[00:01:30,400 -> 00:01:33,120] 第二就是我会讲很多strategy
[00:01:33,120 -> 00:01:36,079] 就是说这个东西对我们WARWICK短期长期到底是什么
[00:01:36,079 -> 00:01:38,799] 大家如果面试过或者说看面经的话
[00:01:38,799 -> 00:01:42,079] 你会发现一线互联网大厂对数据科学家的要求
[00:01:42,079 -> 00:01:43,680] 也越来越偏重于这一块
[00:01:43,680 -> 00:01:45,680] 或者说是一个非常重点考察的地方
[00:01:45,680 -> 00:01:48,719] 就是说你一定要对产品本身有一个product sense
[00:01:48,719 -> 00:01:49,120] 对吧
[00:01:49,120 -> 00:01:51,599] 然后你才去做data
[00:01:51,599 -> 00:01:53,040] 你的这些technical skill
[00:01:53,040 -> 00:01:56,200] 尤其在这个junior level上还是比较重要的
[00:01:56,200 -> 00:01:57,000] 但是越senior
[00:01:57,000 -> 00:02:01,640] 你的product sense你的strategic thinking也越来越重要
[00:02:01,640 -> 00:02:07,000] 这时候就是data scientist从PM上可以学到很多的东西了
[00:02:07,000 -> 00:02:10,599] 就是我跟一些不好的PM合作过
[00:02:10,599 -> 00:02:12,300] 我也跟一些好的PM合作过
[00:02:12,300 -> 00:02:15,199] 我从好的PM身上学到的东西非常多
[00:02:15,199 -> 00:02:16,699] 也非常重要
[00:02:16,699 -> 00:02:19,699] 而且我觉得在他们身上学到的这些东西
[00:02:19,699 -> 00:02:21,199] 不管是沟通技巧
[00:02:21,199 -> 00:02:23,000] 然后思维方式
[00:02:23,000 -> 00:02:27,280] 然后包括他们的vision strategy
[00:02:27,280 -> 00:02:29,280] 都是我可以获益终生的东西
[00:02:29,280 -> 00:02:32,159] 我也想在这个视频里面跟大家一起聊一下
[00:02:32,159 -> 00:02:35,199] 那好吧 那我们就开始聊吧
[00:02:35,199 -> 00:02:37,520] 我们先从PM是什么聊起来
[00:02:37,520 -> 00:02:42,159] 其实PM是什么在不同的地方是很不一样的
[00:02:42,159 -> 00:02:43,919] 国内和国外首先就很不一样
[00:02:43,919 -> 00:02:45,960] 国内和国外是一个非常大的区别
[00:02:45,960 -> 00:02:47,479] 这个我们先不讲吧
[00:02:47,479 -> 00:02:48,479] 这个话题太大了
[00:02:48,479 -> 00:02:52,560] 我们就放在国外的一线互联网大厂上
[00:02:52,560 -> 00:02:55,639] 现在亚马逊其实就分的比较细
[00:02:55,639 -> 00:02:58,439] 亚马逊他会分这个Program Manager
[00:02:58,439 -> 00:02:59,479] Project Manager
[00:02:59,479 -> 00:03:00,719] Product Manager
[00:03:00,719 -> 00:03:04,479] 而且这里边他还会有一个TPM和PMT
[00:03:04,479 -> 00:03:06,479] 就是Product Manager Technical
[00:03:06,479 -> 00:03:08,719] 或者说是Technical Program Manager
[00:03:08,719 -> 00:03:10,879] 或者说Technical Product Manager
[00:03:10,879 -> 00:03:12,960] 这就很细了
[00:03:12,960 -> 00:03:15,360] 有的时候他自己也搞不清楚到底哪个是哪个
[00:03:15,360 -> 00:03:17,919] 在我看来就是Product Manager
[00:03:17,919 -> 00:03:19,199] 是大家说的比较多的
[00:03:19,199 -> 00:03:20,240] 就是产品经理
[00:03:20,240 -> 00:03:23,199] 然后Program Manager我们这就不聊了
[00:03:23,199 -> 00:03:26,400] 因为Program Manager在我看来不是一个特别好的定义
[00:03:26,400 -> 00:03:29,439] 在我看来所有的program如果你要认真做的话
[00:03:29,439 -> 00:03:30,960] 都可以把它做成product
[00:03:30,960 -> 00:03:34,400] 你要去把一个人定义成一个program manager
[00:03:34,400 -> 00:03:36,400] 基本上就把它定义成一个打杂的了
[00:03:36,400 -> 00:03:37,919] 其实我有一个邻居
[00:03:37,919 -> 00:03:39,360] 我有一个邻居他90年的姑娘
[00:03:39,360 -> 00:03:42,800] 然后他比我和我一起加入亚马逊的
[00:03:42,800 -> 00:03:44,319] 现在已经是L7了
[00:03:44,319 -> 00:03:47,039] 所以大家如果知道在场的话
[00:03:47,039 -> 00:03:49,120] 就知道这个东西还是挺厉害的
[00:03:49,120 -> 00:03:51,280] 他就跟我我们就开玩笑
[00:03:51,280 -> 00:03:52,400] 说PM到底是做什么的
[00:03:52,400 -> 00:03:54,639] 他说PM就是干别人都不想干的活
[00:03:54,639 -> 00:03:56,960] 虽然是一句玩笑话
[00:03:56,960 -> 00:03:59,680] 但是里边有一点酸楚的真实的成分在
[00:03:59,680 -> 00:04:01,759] 那这个在Program Manager身上
[00:04:01,759 -> 00:04:03,039] 就是特别特别明显了
[00:04:03,039 -> 00:04:05,960] 在Project Manager身上就是也有一些
[00:04:05,960 -> 00:04:09,039] 但是他们的工作就有更多的autonomy
[00:04:09,039 -> 00:04:11,560] 那我们就先不说program manager了
[00:04:11,560 -> 00:04:12,840] 这个很多时候是一个
[00:04:12,840 -> 00:04:14,159] 不好意思啊
[00:04:14,159 -> 00:04:18,000] 就是有的时候确实就是沦为了一个打杂的岗位
[00:04:18,000 -> 00:04:24,360] 那project manager在像微软或者说像在Facebook
[00:04:24,360 -> 00:04:26,000] 就会把它定义成
[00:04:26,000 -> 00:04:27,500] 好像Google也是这样子吧
[00:04:27,500 -> 00:04:31,000] 就是他们就是TPM是Technical Program Manager
[00:04:31,000 -> 00:04:33,500] 或者说Technical Project Manager吧
[00:04:33,500 -> 00:04:35,500] 具体其实不是特别清楚
[00:04:35,500 -> 00:04:37,000] 但是反正就是这个role
[00:04:37,000 -> 00:04:41,500] 这个role呢就是你负责协调各个东西
[00:04:41,500 -> 00:04:47,560] 比如说我们一个team开了一个Sprint大家有各种各样的做的东西
[00:04:47,560 -> 00:04:49,240] 那我们的stakeholder
[00:04:49,240 -> 00:04:50,560] 我们cross-function team
[00:04:50,560 -> 00:04:52,560] 他们需要知道这些东西是吧
[00:04:52,560 -> 00:04:54,680] 那TPM就把这个summarize一下
[00:04:54,680 -> 00:04:56,720] 比如说出了一些什么save的
[00:04:56,720 -> 00:04:58,839] 有些东西可能会影响到别人
[00:04:58,839 -> 00:05:00,560] 有些别人会影响到我们
[00:05:00,560 -> 00:05:01,800] summarize一下
[00:05:01,800 -> 00:05:03,439] 然后需要开什么会
[00:05:03,439 -> 00:05:05,480] 然后跟进什么项目的进度
[00:05:05,480 -> 00:05:07,519] 或者说有什么东西要汇报
[00:05:07,519 -> 00:05:10,600] 然后确保大家的项目可以如期发布
[00:05:10,600 -> 00:05:15,720] 然后大家该有的dependency都可以如期的resolve
[00:05:15,720 -> 00:05:16,160] 对吧
[00:05:16,160 -> 00:05:19,519] 或者说是确保互相之间不会影响
[00:05:19,519 -> 00:05:21,360] 就是互相之间
[00:05:21,360 -> 00:05:24,480] 就是不同组和不同组之间的合作可以顺畅
[00:05:24,480 -> 00:05:27,800] 这些都是TPM可以帮很多忙的东西
[00:05:27,800 -> 00:05:34,720] 所以说TPM它是一个make sure这个项目可以好好进行的一个非常好的存在
[00:05:34,720 -> 00:05:37,720] 那有些TPM他因为对这个项目很了解
[00:05:37,720 -> 00:05:40,319] 再加上他本身的背景也比较强的话
