[00:00:00,000 -> 00:00:05,759] 就是你给他了一些data supported result
[00:00:05,759 -> 00:00:07,480] 但是他不认可
[00:00:07,480 -> 00:00:10,759] 他们天生在他们的成功的路径上就没有data
[00:00:10,759 -> 00:00:14,279] 你在他们成功了之后跟他说data很重要
[00:00:14,279 -> 00:00:17,480] 他可能听着哦哦哦是是是
[00:00:19,120 -> 00:00:21,559] 这个是一个职责投入时间解决的问题
[00:00:21,559 -> 00:00:23,199] 而且在这个解决问题的过程中
[00:00:23,199 -> 00:00:24,879] 你能产生很多有意义的结果
[00:00:24,879 -> 00:00:27,100] 这一个可以让你经验你的老板和
[00:00:27,100 -> 00:00:28,800] 经验你老板的老板和所有人
[00:00:28,800 -> 00:00:31,000] 都对你产生了期待的方式
[00:00:33,000 -> 00:00:33,799] 有几个使用者
[00:00:36,399 -> 00:00:36,899] 一个
[00:00:37,299 -> 00:00:38,200] 删了吧这个图
[00:00:39,899 -> 00:00:41,200] 就是你把我脸打上了
[00:00:41,200 -> 00:00:41,799] 再说
[00:00:42,500 -> 00:00:44,899] 我觉得你解决到这个困扰了我好几个
[00:00:44,899 -> 00:00:45,600] 日子的问题
[00:00:48,700 -> 00:00:50,200] 大家好我是Riley
[00:00:50,200 -> 00:00:52,799] 我是今年刚研究生毕业
[00:00:52,799 -> 00:00:53,899] 然后在美国
[00:00:54,000 -> 00:00:57,500] 马上要去美国的一个游戏公司做
[00:00:57,500 -> 00:00:58,799] monetization的片
[00:00:58,799 -> 00:01:01,399] 我之前本科毕业之后
[00:01:01,399 -> 00:01:06,079] 我是先在美国也是工作了三年
[00:01:06,079 -> 00:01:10,319] 工作内容主要是Data Engineer加上Software Engineer
[00:01:10,319 -> 00:01:12,719] 然后之后去读了一个研究生
[00:01:12,719 -> 00:01:15,680] 然后就想转到PM的行业
[00:01:16,599 -> 00:01:19,280] 你自己就是在Fortnite工作多久了
[00:01:19,280 -> 00:01:20,959] 我在Fortnite就是实习
[00:01:20,959 -> 00:01:22,719] 然后工作三个月了
[00:01:22,719 -> 00:01:24,319] 三个月感觉怎么样
[00:01:24,319 -> 00:01:25,400] 感觉很好介绍自己的时候介绍的是Fortnite的实习然后工作三个月吧三个月感觉怎么样感觉很好
[00:01:25,400 -> 00:01:28,000] 介绍自己的时候介绍的是Fortnite的而不是Epic
[00:01:28,000 -> 00:01:29,799] 对
[00:01:29,799 -> 00:01:30,799] 为什么
[00:01:30,799 -> 00:01:36,879] 好像因为Epic还是一个很大的Ecosystem
[00:01:36,879 -> 00:01:40,159] 什么Unreal Engine Epic Game Store
[00:01:40,159 -> 00:01:44,439] 然后Fortnite算是一个就更具体的东西吧
[00:01:44,439 -> 00:01:46,200] 我知道了就像腾讯的人
[00:01:46,200 -> 00:01:47,280] 如果他是王者的
[00:01:47,280 -> 00:01:49,040] 他就只会说自己是王者的
[00:01:49,040 -> 00:01:50,359] 如果是天美的
[00:01:50,359 -> 00:01:51,640] 他就会说是天美的
[00:01:51,640 -> 00:01:53,640] 然后AEG的会说自己是AEG的
[00:01:53,640 -> 00:01:58,319] 主要是Fortnite跟Epic还是一个很不一样的
[00:01:58,319 -> 00:01:59,040] 偷拍产品
[00:01:59,040 -> 00:02:01,000] 毕竟是游戏
[00:02:01,000 -> 00:02:02,439] 但是你说做Epic的话
[00:02:02,439 -> 00:02:05,120] 大家就是你要是做Unreal Engine跟做Fornite
[00:02:05,120 -> 00:02:06,959] 那就是完全不一样的东西
[00:02:07,239 -> 00:02:10,240] 就是然后他们自己Fornite的那一步
[00:02:10,479 -> 00:02:12,080] 就他们叫Fornite是一个
[00:02:12,080 -> 00:02:15,039] 叫Epic算是一个30年的Startup
[00:02:15,439 -> 00:02:18,360] 所以就是他们那一步的很多东西
[00:02:18,360 -> 00:02:20,159] 不像大公司这么清晰
[00:02:20,159 -> 00:02:21,080] 比如说像我老板
[00:02:21,080 -> 00:02:23,280] 他就会带一个Data Analyst的Team
[00:02:23,759 -> 00:02:25,039] 我不知道是不是
[00:02:25,039 -> 00:02:31,840] 我目前的了解他有可能是公司唯一一个做data analytics的team
[00:02:31,840 -> 00:02:33,840] Forensics的DAU大概是多少
[00:02:33,840 -> 00:02:36,800] DAU啊
[00:02:36,800 -> 00:02:38,800] 我不知道哎
[00:02:38,800 -> 00:02:47,000] 就是我只能 我只知道他的就是每年的收入可能是幾個億
[00:02:47,000 -> 00:02:49,000] 這是一個大遊戲
[00:02:49,000 -> 00:02:52,000] 但是聽起來數據在這裡面不是很重要
[00:02:52,000 -> 00:02:54,000] 我覺得數據還是很重要的
[00:02:54,000 -> 00:02:56,000] 但是就我的感覺
[00:02:56,000 -> 00:02:58,000] 就是就我的經驗來看的話
[00:02:58,000 -> 00:03:03,000] 他們沒有用數據去做很精準的用戶的targeting
[00:03:03,000 -> 00:03:05,240] 其實我之前跟朋友也討論一個問題啊
[00:03:05,240 -> 00:03:06,639] 就是我朋友是在
[00:03:07,099 -> 00:03:09,699] 呃騰訊應該是在王者榮耀
[00:03:09,699 -> 00:03:11,900] sorry是在英雄聯盟做
[00:03:12,139 -> 00:03:13,099] 也是做我這個位置
[00:03:13,099 -> 00:03:14,699] 也是做multi-transition PM的
[00:03:14,840 -> 00:03:17,639] 然後他就說到其實是完全有可能
[00:03:17,639 -> 00:03:19,039] 在一個公司裡面
[00:03:19,340 -> 00:03:21,840] 存在著對data不認可的人
[00:03:21,939 -> 00:03:24,500] 就是你給他了一些data supported
[00:03:25,659 -> 00:03:27,159] result但是他不认可
[00:03:27,159 -> 00:03:29,759] 就是你有你有经历过这种事情吗
[00:03:29,759 -> 00:03:30,400] 那当然了
[00:03:30,400 -> 00:03:31,400] 天天就没有人
[00:03:31,400 -> 00:03:33,099] 就我自己都对data不认可
[00:03:33,099 -> 00:03:33,900] 哦真的吗
[00:03:33,900 -> 00:03:34,900] 对啊
[00:03:34,900 -> 00:03:36,099] 不是就是
[00:03:36,099 -> 00:03:38,400] 呃我觉得我是客观的不认可
