[00:00:00,000 -> 00:00:02,879] 那些升级快的人不是他们是最准的人
[00:00:02,879 -> 00:00:05,200] 是因为他们是最work smart的人
[00:00:05,200 -> 00:00:07,080] 我跟好几个不同的人其实都聊过
[00:00:07,080 -> 00:00:08,199] 就是在Facebook也好
[00:00:08,199 -> 00:00:08,759] 在Google也好
[00:00:08,759 -> 00:00:10,240] 就其实类似差不多的
[00:00:10,240 -> 00:00:13,439] 就是如果你看最后到了level 7和level 7 plus的
[00:00:14,039 -> 00:00:15,080] 这个群体里面
[00:00:15,640 -> 00:00:17,320] on average从数据上来看
[00:00:17,320 -> 00:00:19,199] 他们从6到7的时间你猜是多长
[00:00:19,199 -> 00:00:20,800] 我原来可能以为是5年
[00:00:20,800 -> 00:00:22,359] 但是被你这么一说我觉得会更短
[00:00:22,359 -> 00:00:22,879] 两年
[00:00:23,359 -> 00:00:24,160] 这是我从Google
[00:00:24,160 -> 00:00:24,879] on average
[00:00:24,879 -> 00:00:25,600] on average是两年what the fuck但是这么一说我觉得会更短两年这是我从googleon averageon average是两年
[00:00:25,600 -> 00:00:26,160] wtf
[00:00:26,480 -> 00:00:28,719] 但是我听说这个data也很amazing
[00:00:28,719 -> 00:00:30,399] 但这个是有那个selection bias
[00:00:30,399 -> 00:00:32,159] 就是说你到了7的人
[00:00:32,159 -> 00:00:34,159] 绝大多数人是一辈子都到不了7
[00:00:34,159 -> 00:00:34,880] exactly
[00:00:34,880 -> 00:00:35,679] 百分之九十
[00:00:35,679 -> 00:00:36,320] 对对对
[00:00:36,320 -> 00:00:38,719] 你不能看整体的就是说这个会拉低这个值
[00:00:38,719 -> 00:00:40,000] 但是如果真的到了7的
[00:00:40,000 -> 00:00:42,719] 他从6到7的时候其实就是两到三年
[00:00:42,719 -> 00:00:44,079] 我当时今天又很震惊
[00:00:44,640 -> 00:00:45,759] make sense想惊make sense
[00:00:45,759 -> 00:00:46,640] 被您说make sense
[00:00:46,640 -> 00:00:48,439] 就是7是一个超级高的bar
[00:00:48,439 -> 00:00:52,640] 5到6也许你可以靠时间和努力积累出来
[00:00:52,640 -> 00:00:55,039] 但是6到7一定是you did something different
[00:00:55,039 -> 00:00:56,840] 我之前刚开始做频道的时候
[00:00:56,840 -> 00:00:59,719] 采访了几个6到7的Facebook的人
[00:00:59,719 -> 00:01:01,399] 都很特别
[00:01:01,399 -> 00:01:02,079] 不同的特别
[00:01:02,079 -> 00:01:03,119] 但是是很特别
[00:01:03,119 -> 00:01:05,239] 然后这个特别就是让你觉得OK
[00:01:05,239 -> 00:01:07,480] 这种人不到期不合适
[00:01:07,480 -> 00:01:08,680] 懂你意思
[00:01:08,680 -> 00:01:09,719] 就是个人能力啊
[00:01:09,719 -> 00:01:12,000] 或者各种某一些特别突出的特质上
[00:01:12,000 -> 00:01:15,799] 对 所以说对他们来说两年就正常
[00:01:15,799 -> 00:01:17,079] 就是他们天生就是奇
[00:01:17,079 -> 00:01:17,879] 我懂你意思
[00:01:17,879 -> 00:01:20,480] 这你会发现其实是个是个common的状态
[00:01:20,480 -> 00:01:22,000] 对吧 他并不是uncommon的
[00:01:22,000 -> 00:01:23,040] 对
[00:01:23,040 -> 00:01:23,959] 这个很神奇的
[00:01:23,959 -> 00:01:25,920] 我觉得一方面就是说回到worksmart点
[00:01:25,920 -> 00:01:27,959] 就是我始终坚持觉得
