[00:00:00,000 -> 00:00:03,560] 百度百科跟维基百科是研究各国政治的重要的选择
[00:00:03,560 -> 00:00:06,919] 其实真正这个政治研究是通过开源研究
[00:00:06,919 -> 00:00:08,160] 就是这个公开信息
[00:00:09,199 -> 00:00:10,720] 百度百科真的吗
[00:00:10,720 -> 00:00:11,640] 看简历
[00:00:11,640 -> 00:00:12,919] 官员简历也是非常重要的
[00:00:12,919 -> 00:00:15,679] 你能看出来他这个一整个人生的轨迹是什么样子
[00:00:15,679 -> 00:00:17,920] 你再思考一下这个谁谁谁是在上面
[00:00:17,920 -> 00:00:18,960] 怎么样
[00:00:18,960 -> 00:00:20,640] 其实你就是这个
[00:00:20,640 -> 00:00:21,559] 没有那么多负担
[00:00:21,559 -> 00:00:21,920] 是是
[00:00:21,920 -> 00:00:24,160] 就是你仔细自己去看你能看出来
[00:00:24,160 -> 00:00:26,000] 就是你要很花時間
[00:00:26,000 -> 00:00:27,000] 能夠找到這個方法
[00:00:27,000 -> 00:00:28,000] 開源研究就足夠
[00:00:28,000 -> 00:00:31,000] 可以對美國政治的比較重要的幾件事情
[00:00:31,000 -> 00:00:32,000] 做一個預言嗎
[00:00:32,000 -> 00:00:33,000] 好
[00:00:33,000 -> 00:00:34,000] 那我們來
[00:00:34,000 -> 00:00:38,000] 今天是2023年的
[00:00:38,000 -> 00:00:39,000] 1月10號
[00:00:39,000 -> 00:00:40,000] 對
[00:00:40,000 -> 00:00:42,000] 然後你來對接下來的美國政治
[00:00:42,000 -> 00:00:43,000] 做幾個重要的事情
[00:00:43,000 -> 00:00:45,159] 做一個重要的預做一个这样的预言吧
[00:00:45,159 -> 00:00:48,560] 你有什么想大家
[00:00:48,560 -> 00:00:49,280] 我不知道
[00:00:49,280 -> 00:00:51,320] 你觉得有什么话题比较重要
[00:00:51,320 -> 00:00:55,320] 大家可能最近看到了众议院的议长难产问题
[00:00:55,320 -> 00:00:57,280] 最后可能就会发现众议院
[00:00:57,280 -> 00:01:01,600] 可能今年两年未来都无法开展太多正常的工作
[00:01:01,600 -> 00:01:03,399] 那么现在面临的就是7月份
[00:01:03,399 -> 00:01:04,959] 美国的债务危机又回来了
[00:01:04,959 -> 00:01:05,000] 债务危机又回来了
[00:01:05,000 -> 00:01:05,959] 债务上限
[00:01:05,959 -> 00:01:06,799] 大家可能比较熟悉
[00:01:06,799 -> 00:01:08,000] 2011年
