[00:00:00,000 -> 00:00:01,800] Hello 大家好 欢迎回到课代表立正
[00:00:01,800 -> 00:00:03,200] 我是你们的课代表
[00:00:03,200 -> 00:00:05,000] 这期视频我跟大家聊一下
[00:00:05,240 -> 00:00:06,919] 我读博士的五个收获
[00:00:06,919 -> 00:00:08,240] 如果再标记短一点的话
[00:00:08,240 -> 00:00:11,119] 就是我读常青藤博士的五个收获
[00:00:13,519 -> 00:00:14,919] 这五个收获分别是
[00:00:14,919 -> 00:00:16,320] 平常心面对失败
[00:00:16,320 -> 00:00:17,920] 观察中放下我直
[00:00:18,039 -> 00:00:19,920] 面对复杂问题的自信
[00:00:20,079 -> 00:00:21,839] 沟通和写作的基础
[00:00:21,920 -> 00:00:23,239] 以及深度思考
[00:00:23,280 -> 00:00:24,960] 那我们就一点点来讲吧
[00:00:25,000 -> 00:00:26,399] 我们在读博士之前沟通和写作的基础以及深度思考那我们就一点点来讲吧
[00:00:28,300 -> 00:00:30,399] 我们在读博士之前我们其实学校里教我们的
[00:00:30,399 -> 00:00:32,399] 是失败是一个扣分的东西
[00:00:32,399 -> 00:00:33,899] 必须答对了才可以加分
[00:00:33,899 -> 00:00:35,299] 并且那个正确答案是在那的
[00:00:35,299 -> 00:00:36,700] 你只要通过学习把它学懂
[00:00:36,700 -> 00:00:37,799] 你就可以得到正确答案
[00:00:37,799 -> 00:00:38,899] 读博士以后瞬间
[00:00:38,899 -> 00:00:40,500] 你就会有一个很不一样的东西
[00:00:40,500 -> 00:00:42,000] 就是你面对的课题
[00:00:42,000 -> 00:00:43,299] 永远是不确定的
[00:00:43,299 -> 00:00:45,000] 你在面对不确定的课题里边
[00:00:45,000 -> 00:00:49,000] 其实这个时候失败的几率就非常非常大了
[00:00:49,000 -> 00:00:51,000] 之前我在讲实验的时候有讲过
[00:00:51,000 -> 00:00:53,000] 就是决赛公司他如果做实验的话
[00:00:53,000 -> 00:00:55,000] 会发现他的business ideas
[00:00:55,000 -> 00:00:58,000] 基本上是六成到九成的失败率
[00:00:58,000 -> 00:01:00,000] 就是你那些非常坚硬的人
[00:01:00,000 -> 00:01:02,000] 对这个行业非常了解的人
[00:01:02,000 -> 00:01:03,000] 他提十个想法
[00:01:03,000 -> 00:01:05,319] 九个是要么是有负的影响
[00:01:05,319 -> 00:01:06,200] 要么是没有影响
[00:01:06,200 -> 00:01:07,719] 基本上十个里面只有一个
[00:01:07,719 -> 00:01:09,640] 是有比较大的正面影响的
[00:01:09,640 -> 00:01:11,000] 博士面对的时候就是这样子
[00:01:11,000 -> 00:01:13,000] 你在面对一个未知领域的时候
[00:01:13,000 -> 00:01:14,319] 你必须要猜很多
[00:01:14,319 -> 00:01:14,879] 试很多
[00:01:14,879 -> 00:01:16,480] 你最后才能找到正确答案
[00:01:16,480 -> 00:01:19,680] 这个时候你从失败中吸取教训
[00:01:19,680 -> 00:01:21,519] 和有一个科学的方法
[00:01:21,519 -> 00:01:23,840] 去系统性的提出假设
[00:01:23,840 -> 00:01:27,359] 最后保证你能找到到正確答案就非常重要了
[00:01:27,359 -> 00:01:29,760] 這也是博士的training的很重要的一部分
[00:01:29,760 -> 00:01:33,359] 可是在日常生活中未必有這麼好的環境
[00:01:33,359 -> 00:01:34,879] 如果你在一個公司
[00:01:34,879 -> 00:01:36,799] 他給你這種實驗的機會的話
[00:01:36,799 -> 00:01:38,599] 你也能通過這個方式積累認知
[00:01:38,599 -> 00:01:41,239] 可是很多公司其實哪怕是互聯網企業
[00:01:41,239 -> 00:01:43,719] 他對失敗的tolerance也沒有那麼高
[00:01:43,719 -> 00:01:47,879] 所以說它就會導致大家去奔着那个成功去
[00:01:47,879 -> 00:01:49,519] 或者说你做的这个东西
[00:01:49,519 -> 00:01:51,079] 它丝好丝不好
[00:01:51,079 -> 00:01:54,959] 你也要想办法把它起码说成一个成功的结果
[00:01:54,959 -> 00:01:56,640] 但是读博士的时候
[00:01:56,640 -> 00:01:59,560] 你就可以用一个非常客观
[00:01:59,560 -> 00:02:03,280] 非常scientific objective的方式去面对这些失败
[00:02:03,280 -> 00:02:06,519] 并且系统的从这些失败中学到learnings
[00:02:07,959 -> 00:02:09,159] 读博士的时候
[00:02:09,159 -> 00:02:12,439] 一开始可能大家会经受一个很系统的训练
[00:02:12,439 -> 00:02:14,599] 就是你身边发生了事情
[00:02:14,599 -> 00:02:15,319] 你怎么想的
[00:02:15,319 -> 00:02:17,039] 这个叫做一个anecdote
[00:02:17,319 -> 00:02:19,840] 然后anecdote这个事情很有价值
[00:02:19,840 -> 00:02:21,840] 可是学术界是不认的
[00:02:21,840 -> 00:02:24,639] 学术界必须说你这是一个universal的funding
[00:02:24,639 -> 00:02:27,960] 就是你要说明这个东西不是我觉得怎么样
[00:02:27,960 -> 00:02:29,879] 而是客观事实是什么样子
[00:02:29,879 -> 00:02:31,360] 这个世界就是这个样子的
[00:02:31,360 -> 00:02:34,120] 你要想办法去找到这些数据
[00:02:34,120 -> 00:02:37,919] 然后有一个方法去提炼出来一个比较普世的真理
[00:02:37,919 -> 00:02:40,080] 或者说一个普世的情况吧
[00:02:40,080 -> 00:02:40,960] 那这样子的话
[00:02:40,960 -> 00:02:44,240] 你就第一个要做的就是不是去想我怎么想
[00:02:44,240 -> 00:02:46,560] 而是去想世界上都有什么样的人
[00:02:46,560 -> 00:02:48,560] 他们这些人都会怎么想
[00:02:48,560 -> 00:02:50,840] 你不断的去有这样的一个想法的话
[00:02:50,840 -> 00:02:52,000] 你慢慢就发现
[00:02:52,000 -> 00:02:53,479] 你我怎么想
[00:02:53,479 -> 00:02:55,479] 我觉得这个事怎么是什么样子
[00:02:55,479 -> 00:02:57,280] 在这里边就不是那么重要了
[00:02:57,280 -> 00:02:59,560] 谁对谁错不重要
[00:02:59,560 -> 00:03:01,360] 真正的是这件事情
[00:03:01,360 -> 00:03:03,280] 它本身是对是错
[00:03:03,280 -> 00:03:03,560] 对吧
[00:03:03,560 -> 00:03:05,400] 然后你的这个结论是对是错
[00:03:05,400 -> 00:03:06,719] 你的观点是对是错
[00:03:06,759 -> 00:03:07,840] 你的观点是错了
[00:03:07,840 -> 00:03:08,560] 没有关系
[00:03:08,560 -> 00:03:10,520] 你要能很快的了解清楚
[00:03:10,520 -> 00:03:11,599] 你的观点是错的
[00:03:11,599 -> 00:03:13,759] 然后你要去能找到那个正确的观点
[00:03:13,800 -> 00:03:16,759] 所以说就是你把自我放下了
[00:03:16,759 -> 00:03:19,120] 更有利于找到那个更好的答案吧
[00:03:21,039 -> 00:03:23,199] 这个跟第五个稍稍有点关系
[00:03:23,199 -> 00:03:25,199] 就是你当然你理解能力越强了以后
[00:03:25,199 -> 00:03:27,000] 你能听懂越多的复杂问题
[00:03:27,000 -> 00:03:29,199] 可是我在读博士的期间
[00:03:29,199 -> 00:03:30,599] 会有一个普遍的发现
[00:03:30,599 -> 00:03:32,360] 就是那些越厉害的大神
[00:03:32,360 -> 00:03:34,000] 他们把东西讲得越清楚
[00:03:34,000 -> 00:03:36,639] 他们能把一个最复杂最难的东西
[00:03:36,639 -> 00:03:38,759] 讲得最浅显最易懂
[00:03:38,759 -> 00:03:41,159] 尤其在讲自己论文和自己研究的时候
[00:03:41,159 -> 00:03:43,039] 就是没有他们讲不懂的东西
[00:03:43,039 -> 00:03:44,599] 反而是那些装逼犯
[00:03:44,599 -> 00:03:46,520] 会把一些简单的东講的複雜化
[00:03:46,520 -> 00:03:48,280] 他們是為了害自己
[00:03:48,280 -> 00:03:49,800] 這些東西其實沒有價值
[00:03:49,800 -> 00:03:50,639] 或者是錯的
[00:03:50,639 -> 00:03:52,159] 他們故意讓你聽不懂
[00:03:52,159 -> 00:03:54,800] 然後自己在講自己的東西的時候
[00:03:54,800 -> 00:03:55,560] 也會發現
[00:03:55,560 -> 00:03:57,000] 把自己的東西
[00:03:57,000 -> 00:03:58,759] 如果不管再怎麼複雜
[00:03:58,759 -> 00:04:00,240] 講到我媽
[00:04:00,240 -> 00:04:00,840] 是吧
[00:04:00,840 -> 00:04:03,280] 或者說任何一個人都能聽懂
[00:04:03,280 -> 00:04:04,080] 這個是本事
[00:04:04,080 -> 00:04:05,719] 這個表示你真的懂了你这个东西
[00:04:05,719 -> 00:04:08,000] 然后你做的东西真的是有价值的
[00:04:08,000 -> 00:04:10,120] 如果说我讲不懂的话
[00:04:10,120 -> 00:04:11,719] 那其实就可能是我还没有懂
[00:04:11,719 -> 00:04:13,759] 当然了这个是我们社会科学
[00:04:13,759 -> 00:04:16,120] 就是你自然科学或者数学那些东西的话
[00:04:16,120 -> 00:04:17,040] 这个是不适用的
[00:04:17,040 -> 00:04:17,839] 不过话说回来
[00:04:17,839 -> 00:04:19,199] 就是我们日常面对的
[00:04:19,199 -> 00:04:20,839] 绝大多数的像这种business
[00:04:20,839 -> 00:04:23,720] 或者其他的日常生活的问题
[00:04:23,720 -> 00:04:25,120] 大多数都是这样的问题
[00:04:25,120 -> 00:04:29,920] 就是你会发现那些真的牛逼的创业者
[00:04:29,920 -> 00:04:32,240] 他总把他的business给你讲得非常清楚
[00:04:32,240 -> 00:04:33,519] 那些投资人也是
[00:04:33,519 -> 00:04:36,519] 反而是那些张口闭口就是一些听不懂的名词
[00:04:36,519 -> 00:04:38,839] 然后名词套名词套概念的那些人
[00:04:38,839 -> 00:04:41,839] 他们其实肚子里边一般是没有什么真的获得
[00:04:41,839 -> 00:04:44,240] 他们做的这些东西也很难是真的有价值的
[00:04:45,199 -> 00:04:47,600] 这就是面对复杂问题的自信
[00:04:47,600 -> 00:04:50,319] 从而我以后在面对一个复杂问题的话
[00:04:50,319 -> 00:04:52,240] 我都有这个自信说我能把它搞懂
[00:04:52,240 -> 00:04:54,439] 以及我如果说我没搞懂的话
[00:04:54,439 -> 00:04:56,519] 我有这个自信去问
[00:04:56,519 -> 00:04:58,279] 说这个问题的人
[00:04:58,279 -> 00:04:59,720] 我觉得他有义务
[00:04:59,720 -> 00:05:01,319] 或者说他如果真的懂的话
[00:05:01,319 -> 00:05:03,639] 他有能力帮助我搞懂这件事情
[00:05:05,319 -> 00:05:07,240] 我在做频道的时候也发现
[00:05:07,240 -> 00:05:09,000] 我看我早期的视频和现在的视频
[00:05:09,000 -> 00:05:10,600] 我觉得我的表达能力也有提高
[00:05:10,600 -> 00:05:12,399] 所以说它是一个一直提高的东西
[00:05:12,600 -> 00:05:15,399] 但是根基我觉得就是在我读博士的时候
[00:05:15,519 -> 00:05:16,399] 建立起来的
[00:05:16,439 -> 00:05:17,839] 在这推荐两本书吧
[00:05:17,839 -> 00:05:19,600] 一本是On Writing Well
[00:05:19,720 -> 00:05:20,959] 然后是一本书
[00:05:20,959 -> 00:05:23,480] The Visual Display of Quantitative Information
[00:05:23,639 -> 00:05:24,959] 这两本书其实共同教给你的
[00:05:24,959 -> 00:05:26,199] 就是说不要讲废话
[00:05:26,199 -> 00:05:29,000] 要用你的信息去告诉别人
[00:05:29,000 -> 00:05:31,600] 因为你讲的东西是worth it的
[00:05:31,600 -> 00:05:34,199] 所以说你就去把你这个worth it的information
[00:05:34,199 -> 00:05:37,199] 清楚凝练的表达出来就好了
[00:05:37,199 -> 00:05:39,600] 然后在这里边你都用主动的识态
[00:05:39,600 -> 00:05:43,000] 而不要去加那些修饰和加那些铺垫
[00:05:43,000 -> 00:05:44,000] 没意义
[00:05:44,000 -> 00:05:47,120] 所以大家看我的频道其实我也尽可能的是做这件事情就是我不去讲那些修飾和鋪墊沒意義所以大家看我的頻道其實我也盡可能的是做這件事情
[00:05:47,120 -> 00:05:49,319] 就是我不去講那些亂七八糟的
[00:05:49,319 -> 00:05:52,240] 我在這裡邊是心路歷程是什麼樣子的
[00:05:52,240 -> 00:05:54,600] 我會去講你需要的信息
[00:05:54,600 -> 00:05:56,480] 我覺得這個其實是幫助我
[00:05:56,480 -> 00:05:59,000] overcome了很多小時候遇到的
[00:05:59,000 -> 00:06:01,160] 教育給我帶來的很多不好的影響
[00:06:01,160 -> 00:06:04,399] 就是小時候老師教寫作文寫得好的
[00:06:04,399 -> 00:06:06,000] 是辭藻和修辭你會在學術作文写的好的是词早和修辞
[00:06:06,000 -> 00:06:08,279] 你会在学术写作里边说
[00:06:08,279 -> 00:06:09,839] 词早和修辞不重要
[00:06:09,839 -> 00:06:12,439] 你的主动性和你背后体现出来的这些
[00:06:12,439 -> 00:06:15,360] 你对这个问题的想法才是真正重要的
[00:06:15,360 -> 00:06:17,040] 你要把这个东西怎么样子
[00:06:17,040 -> 00:06:18,879] 清楚地表达出来才是重要的
[00:06:18,879 -> 00:06:20,199] 这是一个非常好的
[00:06:20,199 -> 00:06:21,519] 我觉得非常必要的根基
[00:06:21,519 -> 00:06:23,959] 然后如果说大家在学校里边的话
[00:06:23,959 -> 00:06:26,839] 我觉得有一个特别好的资源很少有人知道很少有中国人知道我覺得非常必要的根基然後如果說大家在學校裡邊的話我覺得有一個特別好的資源
[00:06:26,839 -> 00:06:27,720] 很少有人知道
[00:06:27,720 -> 00:06:28,839] 很少有中國人知道
[00:06:28,839 -> 00:06:29,759] 我覺得可以用起來
[00:06:29,759 -> 00:06:32,079] 就是如果你去一個graduate student center
