[00:00:00,000 -> 00:00:06,679] Hello,大家好啊,我叫孙玉珍
[00:00:06,679 -> 00:00:09,560] 现在是美国西海岸的晚上
[00:00:09,560 -> 00:00:13,039] 我刚刚收到了李自然小助手的邀请
[00:00:13,039 -> 00:00:15,359] 我就过来拍这个视频了
[00:00:15,359 -> 00:00:18,760] 我选择的命题内容是我的2020
[00:00:18,760 -> 00:00:20,559] 我觉得这个命题蛮有趣的
[00:00:20,559 -> 00:00:25,000] 因为一方面确实我的2020还是一个挺特殊的年份
[00:00:25,000 -> 00:00:30,000] 就是大家可能觉得2020年是一个比较坎坷的年份吧
[00:00:30,000 -> 00:00:32,000] 但是起码在我个体身上的话
[00:00:32,000 -> 00:00:35,000] 我觉得2020年还是蛮善待我的
[00:00:35,000 -> 00:00:37,000] 另外呢就是这个视频本身它是一个命题作文
[00:00:37,000 -> 00:00:39,000] 而且它是一个限定观众的命题
[00:00:39,000 -> 00:00:45,240] 就是观众就是镜头前的前进四评委会的各位大家
[00:00:45,240 -> 00:00:51,439] 那我正好我觉得这种有机会能把我的2020年跟大家分享一下
[00:00:51,439 -> 00:00:53,200] 也是一个挺有意思的事情
[00:00:53,200 -> 00:00:55,200] 那我就来开始说一下吧
[00:00:55,200 -> 00:00:57,679] 首先2020年确实是挺难的
[00:00:57,679 -> 00:01:01,840] 尤其疫情会让美国这边不光是夺走了很多人的生命
[00:01:01,840 -> 00:01:04,560] 还让很多人失去了工作
[00:01:04,560 -> 00:01:06,799] 或者说找工作的一些人
[00:01:06,799 -> 00:01:08,200] 他们找工作也不好找
[00:01:08,200 -> 00:01:10,000] 这个真的是蛮难的
[00:01:10,000 -> 00:01:11,599] 但是在我身上的话
[00:01:11,599 -> 00:01:14,000] 我觉得2020年还算不错
[00:01:14,000 -> 00:01:16,099] 首先是因为我之前读博士的时候
[00:01:16,099 -> 00:01:19,500] 就很适应这种与世隔绝的隔离状态
[00:01:19,500 -> 00:01:21,000] 我当时也开个玩笑
[00:01:21,000 -> 00:01:24,500] 就是说读博士的时候也是天天在家
[00:01:24,500 -> 00:01:27,000] 然后自己做饭或者吃点外卖
[00:01:27,000 -> 00:01:29,040] 偶尔每个周去一个三位那见人
[00:01:29,040 -> 00:01:30,799] 然后也是躲着不敢见老师
[00:01:30,799 -> 00:01:33,079] 那种感觉躲着老师的眼神
[00:01:33,079 -> 00:01:36,140] 所以说我自己隔离在家在家工作
[00:01:36,140 -> 00:01:37,500] 还是蛮适应的
[00:01:37,500 -> 00:01:39,340] 心态上就还好
[00:01:39,340 -> 00:01:40,340] 另外一方面呢
[00:01:40,340 -> 00:01:42,599] 2020年从各个方面来说
[00:01:42,599 -> 00:01:45,000] 我自己有很多的成长
[00:01:45,000 -> 00:01:49,000] 从工作或者说分三个方面吧
[00:01:49,000 -> 00:01:50,000] 第一是工作
[00:01:50,000 -> 00:01:55,000] 就是工作上我在Facebook
[00:01:55,000 -> 00:01:59,000] 工作上我在Facebook恰好跟了一个非常高光的项目
[00:01:59,000 -> 00:02:01,000] 就是Facebook的commerce
[00:02:01,000 -> 00:02:07,299] 我们的这个我们因为基础还算不错就是Facebook的commerce
[00:02:07,299 -> 00:02:10,900] 而且我们是因为做了几个比较正确的决定吧
[00:02:10,900 -> 00:02:14,900] 所以说我负责的这个项目在过去一年增长了100倍
[00:02:14,900 -> 00:02:18,199] 整个team的scope也变大了很多
[00:02:18,199 -> 00:02:22,199] 有机会去跟这样一个就是大厂里面的高光项目
[00:02:22,199 -> 00:02:24,199] 并且有一个类似于创业的经历
[00:02:24,199 -> 00:02:25,740] 我觉得还是挺有趣的
[00:02:25,740 -> 00:02:28,879] 第二个就是开始做这个视频了
[00:02:28,879 -> 00:02:31,580] 其实做这个视频是跟2020年还有关
[00:02:31,580 -> 00:02:34,219] 就是我一直其实有蛮多内容想分享
[00:02:34,219 -> 00:02:36,719] 但是一直没有动力去做这个视频
[00:02:36,719 -> 00:02:38,419] 就是一直没有开始去做第一个
[00:02:38,419 -> 00:02:41,560] 后来做第一个视频的原因就是因为
[00:02:41,560 -> 00:02:44,900] 我在之前给一家本地餐馆
[00:02:44,900 -> 00:02:45,000] 一家本地的地餐馆
[00:02:45,000 -> 00:02:47,000] 一家本地的中餐馆做了一个网站
[00:02:47,000 -> 00:02:49,000] 疫情来了以后呢
[00:02:49,000 -> 00:02:54,000] 我就帮他们用这个网站去做他们自己的deliver service
[00:02:54,000 -> 00:02:56,000] 就不用给UberEats交税了嘛
[00:02:56,000 -> 00:02:59,000] 后来因为有了这个网站
[00:02:59,000 -> 00:03:02,000] 他们在这个疫情期间就得以生存下来
[00:03:02,000 -> 00:03:06,199] 也有很多其他的餐馆想找我帮他们做这个网站但是我又没有时间
[00:03:06,199 -> 00:03:09,900] 于是就拍了视频
[00:03:09,900 -> 00:03:12,699] 教大家怎么去做这个网站
[00:03:12,699 -> 00:03:14,099] 拍了第一个以后
[00:03:14,099 -> 00:03:15,000] 万事开头难
[00:03:15,000 -> 00:03:20,400] 剩下的就不断的传了很多视频
[00:03:20,400 -> 00:03:22,800] 也就是为什么我有机会
[00:03:22,800 -> 00:03:27,800] 把我的脸给各位看到这就是为什么我有这次的机会
[00:03:27,800 -> 00:03:31,120] 把我的内容给各位看到
[00:03:31,120 -> 00:03:34,240] 可以有机会跟各位分享一下我的2020
[00:03:34,240 -> 00:03:37,199] 我觉得也是蛮有缘分的
[00:03:37,199 -> 00:03:38,400] 蛮有意思的一件事情的
[00:03:38,400 -> 00:03:41,479] 第三件事情更加personal一点
[00:03:41,479 -> 00:03:46,199] 我在2020一方面外部环境变了很多
[00:03:46,199 -> 00:03:48,300] 另外一方面我个人成长蛮快的
[00:03:48,300 -> 00:03:52,000] 所以有了很多个人的感触
[00:03:52,000 -> 00:03:57,099] 尤其是我开始反复审视自己的每一个决定
[00:03:57,099 -> 00:03:59,800] 可能之前一些习以为常的事情吧
[00:03:59,800 -> 00:04:01,599] 比如说你做了一个下意识的反应
[00:04:01,599 -> 00:04:03,599] 你突然开始审视这件事情
[00:04:03,599 -> 00:04:07,000] 你就会想这个东西到底是基因导致的呢
[00:04:07,000 -> 00:04:08,000] 环境导致的呢
[00:04:08,000 -> 00:04:13,000] 还是因为一些什么别的原因
[00:04:13,000 -> 00:04:15,000] 举个最简单的例子吧
