[00:00:00,000 -> 00:00:02,560] 大家好 这个应该是我回美国以后
[00:00:02,560 -> 00:00:03,919] 第一个录的视频
[00:00:03,919 -> 00:00:05,519] 这个是我的新公司
[00:00:05,519 -> 00:00:08,480] 然后背后就是同事们在打球
[00:00:08,480 -> 00:00:10,960] 今天我跟大家聊一个我最近发现的
[00:00:10,960 -> 00:00:12,320] NOS的心理现象
[00:00:12,320 -> 00:00:15,519] 这个心理现象会阻碍我们去做很多事情
[00:00:15,519 -> 00:00:17,920] 比如说我们有一些工作
[00:00:17,920 -> 00:00:20,239] 一直想去尝试不敢去尝试
[00:00:20,239 -> 00:00:21,519] 比如说我也听到很多人
[00:00:21,519 -> 00:00:22,559] 他们想做自媒体
[00:00:22,559 -> 00:00:23,519] 然后想去做视频
[00:00:23,519 -> 00:00:26,719] 但是他们会问我很多这方面的知识
[00:00:26,719 -> 00:00:30,079] 可是他们自己却很难去下定决心去做视频
[00:00:30,079 -> 00:00:31,839] 比如说我们要去看一个书
[00:00:31,839 -> 00:00:33,439] 一个新运动
[00:00:33,439 -> 00:00:34,399] 一个新爱好
[00:00:34,399 -> 00:00:35,920] 总之去尝试很多东西
[00:00:35,920 -> 00:00:37,520] 甚至就是接上搭讪
[00:00:37,520 -> 00:00:39,759] 很多时候大家就是想做
[00:00:39,759 -> 00:00:40,880] 但是不敢去做
[00:00:40,880 -> 00:00:42,079] 不敢迈出第一步
[00:00:42,079 -> 00:00:44,320] 而且我后来发现我的很多视频
[00:00:44,320 -> 00:00:47,000] 都是跟这个心理机制給串起來的
[00:00:47,000 -> 00:00:50,000] 比如我之前發過應該早點分錯的視頻
[00:00:50,000 -> 00:00:55,000] 比如說我之前發過一個如何高校學習和高校工作
[00:00:55,000 -> 00:00:59,000] 其中有一個很重要的一條高校工作就是Just Do It
[00:00:59,000 -> 00:01:01,500] 如果感興趣的話大家可以看一下我那些視頻
[00:01:01,500 -> 00:01:04,000] 那我怎麼突然把這些想法給串起來了呢
[00:01:04,000 -> 00:01:06,439] 其實就是這兩天发生了很多事情
[00:01:06,680 -> 00:01:09,439] 首先是我周日的时候
[00:01:09,719 -> 00:01:11,719] 去湖边游泳
[00:01:11,920 -> 00:01:15,079] 然后在湖边游泳的时候我就突然发现
[00:01:15,280 -> 00:01:17,959] 那个湖里的水其实是很舒服的
[00:01:17,959 -> 00:01:19,439] 但是稍稍有点凉
[00:01:19,599 -> 00:01:21,680] 可是我们走进这个湖里的第一感觉
[00:01:21,680 -> 00:01:22,879] 脚跟肯定很凉嘛
[00:01:23,040 -> 00:01:25,599] 这个时候你身体就很不愿意去下水
[00:01:25,599 -> 00:01:27,000] 如果你再去想一下
[00:01:27,000 -> 00:01:27,799] 啊 好冷啊
[00:01:27,799 -> 00:01:29,799] 我要不要慢慢下水一点点下啊
[00:01:29,799 -> 00:01:31,599] 你会觉得很难下水
[00:01:31,599 -> 00:01:33,799] 可是你其实身体进去了以后
