[00:00:00,000 -> 00:00:03,080] 四年前在我刚到西雅图不久的时候
[00:00:03,319 -> 00:00:07,400] 我和一个纽约来的朋友一起去逛了一趟Pike Place Market
[00:00:08,039 -> 00:00:11,519] Pike Place Market是西雅图一个特别有名的市场
[00:00:11,839 -> 00:00:14,800] 它那个市场就在西雅图市中心边上
[00:00:14,800 -> 00:00:15,720] 然后是在海边
[00:00:16,000 -> 00:00:19,120] 它是一个朝下的这个坡上
[00:00:19,120 -> 00:00:22,679] 所以说你在看到那个市场的时候也能看到背后的海
[00:00:23,920 -> 00:00:25,839] 在市场前面有一个广场
[00:00:26,120 -> 00:00:27,879] 广场有一个霓虹灯
[00:00:27,879 -> 00:00:29,280] 就是很复古的那个样子
[00:00:29,280 -> 00:00:31,079] 上面写的Pi Place Market
[00:00:31,519 -> 00:00:35,039] 在那个时候就大概刚刚有网红这个概念吧
[00:00:35,039 -> 00:00:37,039] 它那儿就已经是一个网红打卡点了
[00:00:37,399 -> 00:00:40,159] 因为里边有这个什么口香糖墙
[00:00:40,399 -> 00:00:43,280] 一面墙上然后沾满了五颜六色的口香糖
[00:00:43,280 -> 00:00:45,539] 就恶心有点艺术性
[00:00:45,539 -> 00:00:47,840] 你刚进这个市场的时候
[00:00:47,840 -> 00:00:49,640] 会有一些卖鱼的小贩
[00:00:49,640 -> 00:00:52,140] 他们在卖鱼的时候
[00:00:52,140 -> 00:00:53,679] 互相都是把鱼扔来扔去
[00:00:53,679 -> 00:00:55,140] 然后这样在空中接触
[00:00:55,140 -> 00:00:56,539] 从来也不会失手
[00:00:56,539 -> 00:00:59,939] 那边还有世界上第一家星巴克
[00:00:59,939 -> 00:01:03,939] 但是它的功能远远比网红更重要
[00:01:03,939 -> 00:01:07,519] 就是它是一个下逾市民的市场
[00:01:07,519 -> 00:01:10,079] 这个市场其实已经存在上百年了
[00:01:10,079 -> 00:01:11,280] 几十年上百年了
[00:01:11,280 -> 00:01:14,480] 而且它是有非常严格的准入机制的
[00:01:14,480 -> 00:01:18,959] 西雅图的市民们希望这个市场有它自己独特的魅力
[00:01:18,959 -> 00:01:24,560] 所以说看到的那些所谓网红打卡点只是它的很小的一部分
[00:01:24,560 -> 00:01:29,200] 更重要的是里边有非常独特的食材啊
[00:01:29,200 -> 00:01:30,799] 独特的手工艺品
