[00:00:00,000 -> 00:00:02,000] 我没有办法对一个
[00:00:02,000 -> 00:00:04,799] 我没有看到很清晰的路径的事情
[00:00:04,799 -> 00:00:08,000] 去投入我觉得我应该要投入的精力
[00:00:08,000 -> 00:00:10,199] 我非常非常的介意
[00:00:10,199 -> 00:00:12,800] 我的钱不如别人多这件事情
[00:00:12,800 -> 00:00:15,599] 然后我也会就是很责怪自己
[00:00:15,599 -> 00:00:18,800] 我就说那我当年为什么没有更加的努力去做
[00:00:18,800 -> 00:00:20,199] 就讲了讲了就有点崩溃
[00:00:20,199 -> 00:00:21,600] 我就跟我的therapist说
[00:00:21,600 -> 00:00:22,600] 那我现在是怎么样
[00:00:22,600 -> 00:00:24,399] 我现在是要向他们学习吗
[00:00:24,399 -> 00:00:25,320] 我要学习什么呢我又不喜欢他们是怎么样我现在是要向他们学习吗我要学习什么呢
[00:00:25,320 -> 00:00:26,879] 我又不喜欢他们的这个方式
[00:00:26,879 -> 00:00:28,239] 我不想向他们学习
[00:00:28,239 -> 00:00:28,760] 那
[00:00:28,760 -> 00:00:30,640] 欢迎大家回到Cat & Belly 上
[00:00:30,640 -> 00:00:32,119] 我们继续采访
[00:00:32,119 -> 00:00:32,920] Riley
[00:00:32,920 -> 00:00:35,920] 我们现在要来剖析你的童年阴影是吗
[00:00:35,920 -> 00:00:37,159] 就是人生家庭的问题
[00:00:37,159 -> 00:00:38,799] 这些乱七八糟的东西
[00:00:38,799 -> 00:00:39,520] 开始
[00:00:39,520 -> 00:00:40,200] 可以这么说吧
[00:00:40,200 -> 00:00:42,960] 就是我们刚刚聊到了一个感觉
[00:00:42,960 -> 00:00:45,119] 就是有很多东西
[00:00:45,119 -> 00:00:48,000] 我觉得是我作为一个很传统的
[00:00:48,000 -> 00:00:49,640] 应该算是好学生
[00:00:49,640 -> 00:00:51,960] 不用这句话都要谦虚一下
[00:00:51,960 -> 00:00:53,359] 我就很怕对吧
[00:00:53,359 -> 00:00:54,359] 大家就攻击我
[00:00:54,359 -> 00:00:56,159] 但是比如说那我肯定是一个
[00:00:56,159 -> 00:00:58,200] 爸爸妈妈眼里的乖孩子
[00:00:58,200 -> 00:01:01,640] 对 然后甚至
[00:01:01,640 -> 00:01:03,600] 我不知道老师会不会觉得
[00:01:03,600 -> 00:01:05,200] 我是一个乖學生
[00:01:05,200 -> 00:01:08,400] 但是我應該不算是很trouble的那種學生
[00:01:08,400 -> 00:01:11,879] 我可能會在我自己的範圍內有一些小小的反抗
[00:01:11,879 -> 00:01:13,040] 但整體來說
[00:01:13,040 -> 00:01:20,079] 比如說以前我們小學初中高中都是要穿校服
[00:01:20,079 -> 00:01:22,280] 到了高中是要穿校鞋的
[00:01:22,280 -> 00:01:23,680] 不穿校服叫反抗啊
[00:01:23,680 -> 00:01:25,000] 那我就不穿校服啊哇好陰影哦但是全班已經只有我一個人不怎麼穿校服的不穿校服叫反抗啊那我就不穿校服啊
[00:01:25,000 -> 00:01:27,000] 哇 好英勇啊
[00:01:27,000 -> 00:01:29,000] 但是全班已經只有我一個人不怎麼穿校服了
[00:01:29,000 -> 00:01:31,000] 然後老師呢
[00:01:31,000 -> 00:01:33,000] 然後老師就開始會睜一隻眼閉一隻眼
[00:01:33,000 -> 00:01:35,000] 但是我不穿的久了也會罵我
[00:01:35,000 -> 00:01:36,000] 然後呢
[00:01:36,000 -> 00:01:39,000] 然後我後來上了高中的時候我就會不穿校鞋
[00:01:39,000 -> 00:01:41,000] 然後被老師逮到了老師也會罵一下
[00:01:41,000 -> 00:01:46,760] 然後我也會把所有的手�啊眼镜啊书包啊
[00:01:46,760 -> 00:01:48,000] 全部换成大红色
[00:01:48,000 -> 00:01:50,079] 因为我们高中的时候校服是绿色的
[00:01:50,200 -> 00:01:52,480] 我就要找一个是最出调的颜色
[00:01:52,599 -> 00:01:54,239] 然后所有东西都是红色的
[00:01:54,239 -> 00:01:56,079] 然后可能那也是我的
