[00:00:00,000 -> 00:00:04,480] 其实在GPT的大模型里面的知识是非常大的
[00:00:04,480 -> 00:00:07,799] 我们在现在只不过是activated其中一点点
[00:00:07,799 -> 00:00:11,880] 然后是通过这种instruct或者说是chat的方式
[00:00:11,880 -> 00:00:16,199] 去让这个模型的输出变得更palatable to human
[00:00:16,199 -> 00:00:17,679] 就是我们更容易理解
[00:00:17,679 -> 00:00:21,079] 它的思维模式可能远远在我们所能理解之上
[00:00:21,079 -> 00:00:23,239] 其实有一个问题就是你的prompt
[00:00:23,239 -> 00:00:26,359] 你要去让chat GPT完成各种各样的任务
[00:00:26,359 -> 00:00:30,399] 那到底是一个工程技巧还是一个PM技巧
[00:00:30,399 -> 00:00:33,119] 就是你是要教给拆GPT怎么用呢
[00:00:33,119 -> 00:00:35,799] 还是你是要告诉拆GPT做什么
[00:00:35,799 -> 00:00:38,359] 再说一些这个过往的历史
[00:00:38,520 -> 00:00:41,200] 就是拆GPT这件事不是一个真的prediction
[00:00:41,200 -> 00:00:44,759] 它只不过是历史很多颠覆科技的重复
[00:00:44,759 -> 00:00:45,600] Hello大家好之前我不是写过一个文章吗关是历史很多颠覆科技的重复哈喽大家好
[00:00:45,600 -> 00:00:46,920] 之前我不是写过一个文章吗
[00:00:46,920 -> 00:00:48,600] 关于TGPT的5个问题
[00:00:48,960 -> 00:00:50,719] 我发现我其实写了一个slides
[00:00:50,719 -> 00:00:51,920] 然后在去年3月份
[00:00:52,119 -> 00:00:55,520] 今天我就会结合这个slides里的内容
[00:00:55,759 -> 00:00:58,280] 然后和我们这一年的观察
[00:00:58,479 -> 00:01:00,320] 给大家重温一下这5个问题
[00:01:00,320 -> 00:01:02,320] 然后带来一些新的见解
[00:01:02,600 -> 00:01:04,200] 像大家看到的
[00:01:04,200 -> 00:01:06,000] 我现在其实是在一个狗公园旁边
[00:01:06,000 -> 00:01:10,000] 然后我就坐在狗公园旁边
[00:01:10,000 -> 00:01:11,000] 去给大家看
[00:01:11,000 -> 00:01:13,000] 我们可以先看一下它的
[00:01:14,000 -> 00:01:16,000] 一个immersive mode
[00:01:16,000 -> 00:01:17,000] 在狗公园里边
[00:01:17,000 -> 00:01:20,000] 我瞬间就来到了
[00:01:21,000 -> 00:01:23,000] 乔布斯发布会的现场
[00:01:23,000 -> 00:01:29,319] 然后我在这里就可以去给大家讲我的PPT
[00:01:29,319 -> 00:01:30,319] Lights Up
[00:01:30,319 -> 00:01:32,120] Oh
[00:01:32,120 -> 00:01:33,120] Lights Down
[00:01:39,799 -> 00:01:40,799] 第一个问题
[00:01:40,799 -> 00:01:42,159] 第一个问题
[00:01:42,159 -> 00:01:44,400] 好像这样还是不太好玩
[00:01:44,400 -> 00:01:47,120] 我们还是回到我们原來的模式吧
[00:01:53,560 -> 00:01:57,000] 這樣的話就給大家一邊看我們做的這個
[00:01:57,000 -> 00:02:00,599] 一邊看狗狗在那裡玩
[00:02:03,319 -> 00:02:04,120] 是哪五個問題
[00:02:04,120 -> 00:02:05,959] 然後為什麼這五個问题都很重要呢
[00:02:06,319 -> 00:02:07,719] 第一个就是
[00:02:07,719 -> 00:02:09,199] 拆GPD到底是什么
[00:02:09,199 -> 00:02:11,240] 它是一个范式突破吗
[00:02:11,560 -> 00:02:14,599] 我们在这个Vision Pro出来的时候
[00:02:14,599 -> 00:02:15,879] 在iPhone出来的时候
[00:02:15,879 -> 00:02:17,400] 在一个新科技出来的时候
[00:02:17,520 -> 00:02:20,159] 这都是一个我们最需要问的问题
[00:02:20,360 -> 00:02:21,759] 为什么这个问题重要
[00:02:21,759 -> 00:02:23,120] 因为它只有范式突破
[00:02:23,120 -> 00:02:25,439] 才能带来一个十倍百倍的机会
[00:02:25,439 -> 00:02:30,400] 如果你在原有的基础之上做一个小范围的突破
[00:02:30,400 -> 00:02:31,840] 而不是一个范式突破的话
[00:02:31,840 -> 00:02:34,319] 它其实能带来的机会是有限的
[00:02:34,319 -> 00:02:37,919] 因为范式突破才可以让你做到之前完全不可能做到的事情
[00:02:37,919 -> 00:02:40,560] 而不是在原有的基础之上降本增效
[00:02:40,560 -> 00:02:46,000] 第二个就是我们怎么样子去了解大圃远模型的impact到底是什么
[00:02:46,000 -> 00:02:49,000] 第三个就是我们如何去制造一个大跃远模型
[00:02:49,000 -> 00:02:53,000] 第四个问题是我们如何使用大跃远模型
[00:02:53,000 -> 00:02:57,000] 第五个是我们人类和大跃远模型有什么不一样
[00:02:57,000 -> 00:02:59,000] 这四个问题都是顺接的
[00:02:59,000 -> 00:03:02,000] 就是我们了解了它到底能产生什么样的影响
[00:03:02,000 -> 00:03:05,400] 尤其是站在这个技术刚刚出现的时候
[00:03:05,400 -> 00:03:08,319] 我们要去想象它5年后10年后的影响
[00:03:08,319 -> 00:03:11,000] 这样的话我们才可以知道
[00:03:11,000 -> 00:03:14,199] 它给我们带来的机会在哪里
[00:03:14,199 -> 00:03:17,599] 带来有影响之后我们想抓到这个机会
[00:03:17,599 -> 00:03:19,680] 接下来就是说它的难度是如何
[00:03:19,680 -> 00:03:22,759] 这样一方面我们可以了解它的发展速度
[00:03:22,759 -> 00:03:25,360] 另外一方面也能了解我们在这里边应该做什么
[00:03:25,360 -> 00:03:29,879] 现在说假设我们不是作为大模型的生产方的话
[00:03:29,879 -> 00:03:33,719] 我们应该怎么去使用它才能更好的让它去改变我们的生活
[00:03:33,719 -> 00:03:35,039] 抓住这里边的机会
[00:03:35,039 -> 00:03:37,759] 最后其实是一个究极问题了
[00:03:37,759 -> 00:03:43,159] 就是我们站到技术已经发展到完全非常成熟的时候
[00:03:43,159 -> 00:03:45,400] 人类和技术还有什么不一样
[00:03:45,400 -> 00:03:47,599] 就是说我们还应该去做什么
[00:03:47,599 -> 00:03:49,800] 才是不会被这个技术所改变的
[00:03:49,800 -> 00:03:52,500] 就是为什么这五个问题是这样的顺序
[00:03:52,500 -> 00:03:54,400] 和为什么这五个问题这么重要
[00:03:54,400 -> 00:03:56,199] 互联网上很多东西都是noise
[00:03:56,199 -> 00:03:57,300] 那在这个noise之外
[00:03:57,300 -> 00:03:59,400] 到底还有什么东西是重要的
[00:04:02,800 -> 00:04:04,900] 有一些技术细节是必须要知道的
[00:04:04,900 -> 00:04:05,000] 我们这就最进行一些最最最简单的技术细节是必须要知道的
[00:04:05,000 -> 00:04:08,639] 我们这就最进行一些最最最简单的技术普及
[00:04:08,639 -> 00:04:10,280] 最简单的就是
[00:04:10,280 -> 00:04:13,199] Chai GPT它其实是一个几个关键词
[00:04:13,199 -> 00:04:14,560] 我把它放大一点
[00:04:14,560 -> 00:04:16,639] 这样还可以再远一点吗
[00:04:16,639 -> 00:04:18,399] 再来一
[00:04:18,399 -> 00:04:21,480] 好像也就这么远了
[00:04:21,480 -> 00:04:25,279] Chai GPT它是一个叫做
[00:04:25,279 -> 00:04:28,079] Generative Autoregressive Large Language Models
[00:04:28,079 -> 00:04:29,120] 它是一个代元模型
[00:04:29,120 -> 00:04:32,920] 然后这个代元模型它的本质是一个生成式的
[00:04:32,920 -> 00:04:36,319] 然后它是一个Autoregressive就是自回归式的
[00:04:36,319 -> 00:04:38,800] 那这个具体怎么理解
[00:04:38,800 -> 00:04:44,759] 就是它是这个是一个就是Stefan Wolfram的一个图
[00:04:44,759 -> 00:04:45,839] 我觉得他讲的很好
[00:04:45,839 -> 00:04:48,079] 它的底层的模型GPT
[00:04:48,079 -> 00:04:51,920] 它要做的事情就是你去generate the next world
[00:04:51,920 -> 00:04:54,279] 这有一个好处就是
[00:04:54,279 -> 00:04:57,759] 它有人类有海量的文本去训练这个模型
[00:04:57,759 -> 00:04:59,920] 就是它在想方设法生成下一个次
[00:04:59,920 -> 00:05:02,439] 然后你这样自然而然就可以把人类已知的文本
[00:05:02,439 -> 00:05:04,040] 和它去进行一个匹配
[00:05:04,040 -> 00:05:05,439] 看它生成了对不对
[00:05:05,439 -> 00:05:08,079] 这样的话你就有海量的标签好的数据
[00:05:08,079 -> 00:05:10,519] 去帮助你这个模型去学习
[00:05:10,519 -> 00:05:13,759] 之后就是他们非常重要的
[00:05:13,759 -> 00:05:15,439] scaling law的observation
[00:05:15,439 -> 00:05:16,839] 我在这稍微再多解释
[00:05:16,839 -> 00:05:18,160] 就在这里就多解释一下
[00:05:19,279 -> 00:05:22,120] 为什么generative这个任务如此之重要
[00:05:22,120 -> 00:05:23,120] 有两个点
[00:05:23,120 -> 00:05:25,000] 第一个就是过去的machinery model它都不general它只能做一个非常简单的任务如此之重要有两个点第一个就是过去的Models
[00:05:25,000 -> 00:05:26,000] 它都不general
[00:05:26,000 -> 00:05:28,000] 它只能做一个非常简单的任务
[00:05:28,000 -> 00:05:30,000] 那它做一个简单的任务就是
[00:05:30,000 -> 00:05:31,000] 你告诉它一个目标
[00:05:31,000 -> 00:05:33,000] 然后你能告诉它做得好还是不好
[00:05:33,000 -> 00:05:35,000] 那它就可以去学习
[00:05:35,000 -> 00:05:36,000] 在这方面可以做得很好
[00:05:36,000 -> 00:05:40,000] 但是问题是你所有的告诉它做得好还是不好的
[00:05:40,000 -> 00:05:41,000] 这些数据都必须要标注
[00:05:41,000 -> 00:05:43,000] 都是所谓的labeled
[00:05:43,000 -> 00:05:46,079] 包括你的就是unsupervised learning其实你在一定程度上也必须要标注都是所谓的labeled包括你的unsupervised learning
[00:05:46,079 -> 00:05:49,680] 其实你在一定程度上也必须要告诉这个模型的做得好还是不好
[00:05:49,680 -> 00:05:52,879] 这样的数据其实是有限的和人需要去生成的
[00:05:52,879 -> 00:05:55,920] 也就是说你不能让模型去举一反三
[00:05:55,920 -> 00:06:00,240] 你只能让模型去做一个已经限定好的任务下去进行优化
[00:06:00,240 -> 00:06:03,680] 可是generative这个事情就变得非常的
[00:06:03,680 -> 00:06:07,680] 在文本上的generation就变得非常的普适
[00:06:07,680 -> 00:06:09,560] 因为人类有海量的文本
[00:06:09,560 -> 00:06:11,959] 那你只要告诉你就什么都不用想
[00:06:11,959 -> 00:06:13,279] 你甚至不用去定义这个人物
[00:06:13,279 -> 00:06:15,360] 你只要摆这个海量的文本
[00:06:15,360 -> 00:06:17,000] 只要你的质量还是可以的
[00:06:17,000 -> 00:06:19,519] 所以说你的这个数据量一下就可以多了很多
[00:06:19,519 -> 00:06:22,480] 那接下来你需要去做的就是去想方设法
[00:06:22,480 -> 00:06:23,600] 来把这个模型变大
[00:06:23,600 -> 00:06:25,279] 让他可以多学到这里面的知识
[00:06:25,279 -> 00:06:27,560] 和多给模型为高质量的文本
[00:06:27,560 -> 00:06:29,160] 接下来就是一个leap of faith
[00:06:29,160 -> 00:06:32,600] 就是你会相信这么一个大模型能产出好的结果
[00:06:32,600 -> 00:06:34,279] 这个leap of faith非常的重要
[00:06:34,279 -> 00:06:37,439] 但是OpenAI的人很明显是有这样的一个信仰的
[00:06:37,439 -> 00:06:38,519] 他们也做到了
[00:06:39,959 -> 00:06:41,800] 这些技术细节我们就不多聊了
