[00:00:00,000 -> 00:00:01,320] Hello大家好
[00:00:01,320 -> 00:00:02,879] 欢迎回到课的表例正
[00:00:02,879 -> 00:00:05,519] 今天我是古艾林的课代表
[00:00:05,519 -> 00:00:06,719] 今天是2月8号
[00:00:06,719 -> 00:00:10,119] 他拿到了他这次冬奥会上的第一块金牌
[00:00:10,160 -> 00:00:13,679] 就是这个北戴尔50米跳台的金牌
[00:00:13,679 -> 00:00:16,160] 那这个金牌的意义我就不用多说了
[00:00:16,160 -> 00:00:17,199] 不管是对他个人
[00:00:17,199 -> 00:00:19,519] 还是对我们国家对各方面的意义
[00:00:19,519 -> 00:00:21,440] 但是有一个很厉害的一个点
[00:00:21,440 -> 00:00:25,079] 就是他今天在第三跳做的这个动作
[00:00:25,079 -> 00:00:27,679] 是之前从来没有完成过的一个动作
[00:00:27,879 -> 00:00:30,359] 古艾玲她一直都是一个大赛选手
[00:00:30,359 -> 00:00:31,199] 特别刚
[00:00:31,199 -> 00:00:33,600] 但是她是在一个这么大的舞台
[00:00:33,880 -> 00:00:34,920] 这是最大的舞台了
[00:00:34,920 -> 00:00:36,399] 没有比这个更大的舞台了
[00:00:36,399 -> 00:00:38,159] 然后又有这么多的压力
[00:00:38,159 -> 00:00:39,960] 不光是家庭
[00:00:40,159 -> 00:00:42,159] 全国人民在电视机前的希望
[00:00:42,320 -> 00:00:43,880] 还是各种商业上的压力
[00:00:44,079 -> 00:00:45,280] 包括对手的压力
[00:00:45,280 -> 00:00:45,560] 对吧
[00:00:45,560 -> 00:00:47,479] 今天的他两位对手的发挥
[00:00:47,479 -> 00:00:48,960] 也是非常好
[00:00:49,000 -> 00:00:51,960] 在他已经发挥很出色的情况下
[00:00:52,000 -> 00:00:54,399] 在之前还是比他略胜一筹的
[00:00:54,439 -> 00:00:56,200] 这么多的压力的情况下
[00:00:56,240 -> 00:00:57,359] 他去做了一个
[00:00:57,359 -> 00:00:59,320] 从来都没有做过的动作
[00:00:59,320 -> 00:01:01,000] 而且特别难的动作
[00:01:01,000 -> 00:01:03,479] 只要差一点就做不出来的情况下
[00:01:03,479 -> 00:01:06,079] 去拿到了完美的成绩
[00:01:06,079 -> 00:01:07,680] 实在是很厉害
[00:01:07,680 -> 00:01:10,799] 那其实我们就是很关心他是怎么做到的
[00:01:10,799 -> 00:01:14,400] 就是他为什么有在比赛的时候这样的大心脏呢
[00:01:14,400 -> 00:01:16,879] 因为我们如果经常看国内的体育节目的话
[00:01:16,879 -> 00:01:20,319] 就经常会看到说我们的很多选手
[00:01:20,319 -> 00:01:23,280] 可能到了大赛上的时候发挥的不太好
