[00:00:00,000 -> 00:00:03,000] Hello大家好,欢迎回到课代表地震,我是米诺课代表
[00:00:03,000 -> 00:00:07,000] 我们之前的视频吐槽过很多伪商业分析
[00:00:07,000 -> 00:00:11,000] 大概就是这些商业分析听上去逻辑很合理,都能讲得通
[00:00:11,000 -> 00:00:16,000] 但是没有基于真实的问题和真实的用户理解,真实的人的需求
[00:00:16,000 -> 00:00:19,000] 我们今天就提供一个这样的例子吧
[00:00:19,000 -> 00:00:21,000] 这个商业分析逻辑是这个样子的
[00:00:21,000 -> 00:00:25,000] 就是我们去看一下这个广告公司和内容公司的估值
[00:00:25,000 -> 00:00:30,000] 会发现广告公司赚钱的利润率和估值
[00:00:30,000 -> 00:00:32,000] 一般都是比内容公司更高的
[00:00:32,000 -> 00:00:34,000] 典型的内容公司比如说Netflix
[00:00:34,000 -> 00:00:37,000] 好像是100多Billion吧
[00:00:37,000 -> 00:00:39,000] 然后像Spotify这种公司
[00:00:39,000 -> 00:00:41,000] 可能是20Billion的Market Cap
[00:00:41,000 -> 00:00:43,000] 但是像典型的广告公司
[00:00:43,000 -> 00:00:45,039] 比如说抖音字节跳动
[00:00:45,039 -> 00:00:47,759] Facebook Google等等
[00:00:47,759 -> 00:00:49,920] 他们的估值都是很高的
[00:00:49,920 -> 00:00:52,560] 然后像Netflix Spotify这样的公司
[00:00:52,560 -> 00:00:55,520] 他们的利润率能做到20%了不起了
[00:00:55,520 -> 00:00:57,520] 但是像广告公司
[00:00:57,520 -> 00:00:59,280] Net margin都是在60%左右
[00:00:59,280 -> 00:01:02,159] 他们的Gross margin可能在90%左右
[00:01:02,159 -> 00:01:03,280] 所以基于以上观察
[00:01:03,280 -> 00:01:07,159] 我们会发现卖广告比卖订阅要赚钱
[00:01:07,159 -> 00:01:09,519] 于是这些内容公司
[00:01:09,519 -> 00:01:11,400] 就是像Netflix Spotify
[00:01:11,400 -> 00:01:15,200] 应该从订阅制多转向去卖广告
[00:01:15,200 -> 00:01:17,680] 这样的话他们的收入天花板
[00:01:17,680 -> 00:01:20,079] 和他们的估值天花板才会更高
[00:01:20,079 -> 00:01:21,920] 为什么这些公司做不到呢
[00:01:21,920 -> 00:01:23,519] 可能就是因为他们做广告不会做
[00:01:23,519 -> 00:01:26,000] 就是做广告本身是一个很复杂的事情
[00:01:26,000 -> 00:01:28,000] 你不光需要有很强的推荐算法
[00:01:28,000 -> 00:01:30,000] 你还要有很好的推荐场景
[00:01:30,000 -> 00:01:34,000] 那最后你还是需要有很好的跟广告商的关系
[00:01:34,000 -> 00:01:36,000] 你要需要引导这些广告商
[00:01:36,000 -> 00:01:40,000] 创造出来适合你场景的质量比较好的广告
[00:01:40,000 -> 00:01:43,000] 这个时候你打的广告才可以有价值
[00:01:43,000 -> 00:01:45,000] 然后你才可以做千人千面的推荐
[00:01:45,000 -> 00:01:47,000] 让用户去看你的广告
[00:01:47,000 -> 00:01:49,000] 所以又得出来一个结论
[00:01:49,000 -> 00:01:52,000] 就是这些传统的内容公司想去做广告应该很难
[00:01:52,000 -> 00:01:54,000] Netflix如果想做广告业务很难
[00:01:54,000 -> 00:01:57,000] 但是互联网公司去做内容反而是有前途的
[00:01:57,000 -> 00:02:02,000] 也就是说如果抖音去做一个海外版的Netflix
[00:02:02,000 -> 00:02:04,000] 或者海外版的Spotify
[00:02:04,000 -> 00:02:06,599] 他们把自己的现有的广告的inventory
[00:02:06,599 -> 00:02:09,000] 和现有的广告的推荐算法放起来
[00:02:09,000 -> 00:02:10,500] 那应该是很有前途的
[00:02:10,500 -> 00:02:13,500] 包括腾讯可能这样做也会很有前途
[00:02:13,500 -> 00:02:15,500] 做广告比做内容赚钱
[00:02:15,500 -> 00:02:16,300] 这是一
[00:02:16,300 -> 00:02:17,199] 第二呢
[00:02:17,199 -> 00:02:18,199] 做广告很难
[00:02:18,199 -> 00:02:21,699] 但是这些互联网巨头已经有了做广告的能力
[00:02:21,699 -> 00:02:24,699] 所以互联网巨头们做内容
[00:02:24,699 -> 00:02:27,680] 并且把它做成一个广告为主的收入模式
[00:02:27,680 -> 00:02:29,960] 而不是订阅付费为主的收入模式
[00:02:29,960 -> 00:02:32,759] 可以对这些内容公司形成降低打击
[00:02:32,759 -> 00:02:35,479] 如果这些内容公司想要活过这种打击的话
[00:02:35,479 -> 00:02:36,680] 他们也应该主动的
[00:02:36,680 -> 00:02:37,360] 不管有多难
[00:02:37,360 -> 00:02:39,400] 都要去主动的转型拥抱广告业务
[00:02:39,400 -> 00:02:39,800] 好的
[00:02:39,800 -> 00:02:42,000] 上面这个分析不知道大家觉得问题在哪
[00:02:42,000 -> 00:02:43,840] 我可以稍稍停5秒钟
[00:02:43,840 -> 00:02:45,840] 大家欣赏一下这个影片一起
[00:02:45,840 -> 00:02:48,840] 然后给我一个答案啊
[00:02:48,840 -> 00:02:50,039] 在弹幕上欢迎打出来
[00:02:54,479 -> 00:02:56,479] 那我自己的结论是这个样子的
[00:02:56,479 -> 00:02:58,979] 不是所有的内容都适合广告推荐
[00:02:58,979 -> 00:03:00,979] 这里面其实最大的区别就是
[00:03:00,979 -> 00:03:03,979] Professional Generated Content和User Generated Content
[00:03:03,979 -> 00:03:06,280] 不管是抖音快手这样的短视频
[00:03:06,280 -> 00:03:07,840] 或者说是Instagram
[00:03:07,840 -> 00:03:10,319] Facebook这样的feeds信息流
[00:03:10,319 -> 00:03:12,840] 然后或者说是谷歌这样的搜索
[00:03:12,840 -> 00:03:14,039] 它们都有几个特点
[00:03:14,039 -> 00:03:16,520] 第一就是它们的内容本身就是乱七八糟的
[00:03:16,520 -> 00:03:18,280] 第二就是你去看这个内容的时候
[00:03:18,280 -> 00:03:19,639] 对这个内容到底是什么
[00:03:19,639 -> 00:03:21,080] 其实没有一个明确的期待
[00:03:21,080 -> 00:03:21,840] 在推荐下来之后
