[00:00:00,000 -> 00:00:02,600] 好的,就说第一段经历吧
[00:00:02,600 -> 00:00:05,599] 第一段经历就是我读了六年博士
[00:00:05,799 -> 00:00:08,000] 然后去了业界
[00:00:08,300 -> 00:00:10,699] 然后当时读博士的时候
[00:00:10,699 -> 00:00:12,900] 完全就是为了去学术界而读
[00:00:12,900 -> 00:00:15,800] 包括做研究啊什么的都是为了这个目标
[00:00:15,800 -> 00:00:17,100] 所以才花了这么久
[00:00:17,399 -> 00:00:19,899] 我之前有一个视频有讲这段经历啊
[00:00:19,899 -> 00:00:21,899] 但是差不多提到第二就是
[00:00:22,100 -> 00:00:25,600] 我当时会觉得去业界就是一个承认失败
[00:00:25,600 -> 00:00:29,000] 因为身边最勤奋的最聪明的那些人都去学术界了
[00:00:29,000 -> 00:00:32,799] 哪怕去业界和去学术界只是一个选择
[00:00:32,799 -> 00:00:36,000] 在那个环境下我就会觉得去业界是失败
[00:00:36,000 -> 00:00:38,399] 我从小就拒绝失败
[00:00:38,399 -> 00:00:40,799] 所以说我就在这待了太久了
[00:00:40,799 -> 00:00:42,600] 现在回想那段时间的话
[00:00:42,600 -> 00:01:06,519] 6年花的时间太长如果说真的是为了学到那些博士的技能啊,或者说得到的成长啊,实打实的来说,三年就够了,不需要六年的时间,你可以说三年的时间是浪费的,如果从这个角度来说,那这儿的take away就是如果不做学术的话,真的要慎重的考虑要不要读博士,嗯,然后另一个take away就是虽然不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要轻易的被困难吓到,但是也不要读博士然后另一个take away就是
[00:01:06,519 -> 00:01:09,159] 虽然不要轻易地被困难吓到
[00:01:09,159 -> 00:01:12,040] 但是也不要轻易地被奋斗困住
[00:01:12,040 -> 00:01:14,840] 就是你有的时候去执着地追求一个东西
[00:01:14,840 -> 00:01:17,280] 太少的坚持和太多的坚持可能都是不对的
[00:01:17,280 -> 00:01:19,799] 就是也要适当学会放弃
[00:01:19,799 -> 00:01:23,040] 或者说是给自己一些cash on slack
[00:01:23,040 -> 00:01:25,640] 对自己的认知多一点是有好处的
[00:01:25,640 -> 00:01:27,159] 就是到底自己喜欢什么
[00:01:27,159 -> 00:01:28,959] 就是早点去想一想早点的
[00:01:28,959 -> 00:01:30,959] 诚实面对那些是有好处的
[00:01:31,400 -> 00:01:33,480] 但是这里面最大的一个take away是这样子
[00:01:33,480 -> 00:01:35,959] 虽然看上去6年的时间是浪费了
[00:01:36,400 -> 00:01:38,400] 或者说有的人就是从结果上来看
[00:01:38,400 -> 00:01:39,040] 觉得没有浪费
[00:01:39,040 -> 00:01:41,079] 但是我这里说的是从结果上来看浪费了
[00:01:41,079 -> 00:01:43,719] 但是就大家会觉得你6年拿一个
[00:01:43,719 -> 00:01:45,680] 康奈尔的博士的title还挺好的
[00:01:45,680 -> 00:01:46,079] 对吧
[00:01:46,079 -> 00:01:46,879] 我觉得
[00:01:46,879 -> 00:01:47,680] 嗯
[00:01:47,680 -> 00:01:48,959] 性价比不是那么高
[00:01:49,359 -> 00:01:53,079] 但是当时我回国的时候在实习嘛
[00:01:53,079 -> 00:01:55,120] 我那个时候也是去见了好多人
[00:01:55,239 -> 00:01:59,079] 身边很多我的同龄人都混得非常的好
[00:01:59,439 -> 00:02:02,120] 就是他们要么是什么大厂的director啊
[00:02:02,159 -> 00:02:05,359] 然后要么是就是那个时候创业
[00:02:05,359 -> 00:02:06,799] 17年的时候创业潮很多
[00:02:06,799 -> 00:02:08,439] 就是各种创业成功的人
[00:02:08,439 -> 00:02:10,520] 但是跟他们聊天的时候
[00:02:10,520 -> 00:02:11,919] 我倒没有很焦虑
[00:02:11,919 -> 00:02:14,719] 因为不是这个东西
[00:02:14,719 -> 00:02:15,560] 你再怎么牛逼
[00:02:15,560 -> 00:02:17,520] 你要花这么多时间去拿到吗
[00:02:17,520 -> 00:02:19,199] 我觉得我在一个dimension上
[00:02:19,199 -> 00:02:20,319] 没有浪费时间
[00:02:20,319 -> 00:02:21,159] 做得还不错
