[00:00:00,000 -> 00:00:01,919] 去年我们来一个特别简单的一场
[00:00:01,919 -> 00:00:03,319] 两个人角色扮演
[00:00:03,319 -> 00:00:05,559] 就是相当于是我们互相都不认识
[00:00:05,559 -> 00:00:06,400] 第一次约会
[00:00:06,400 -> 00:00:08,839] 如果夫妻关系上来就从价值上开始
[00:00:08,839 -> 00:00:11,199] 那这可能是一段非常脆弱的婚姻
[00:00:11,199 -> 00:00:12,599] 因为老朋友问我说
[00:00:12,599 -> 00:00:13,960] 你怎么认识那么多大佬的
[00:00:13,960 -> 00:00:14,720] 但后来想一想
[00:00:14,720 -> 00:00:17,120] 其实我是一个有问题的人
[00:00:17,120 -> 00:00:19,199] 然后我看他们不是看成一个大佬
[00:00:19,199 -> 00:00:20,320] 而是他们是一个有答案的人
[00:00:20,320 -> 00:00:22,399] 这些社会每个行业大佬
[00:00:22,399 -> 00:00:23,120] 你说reach out
[00:00:23,120 -> 00:00:24,879] 往往都会有惊喜的发现
[00:00:24,879 -> 00:00:29,719] 这几个点就是教育職業財富旅行
[00:00:29,719 -> 00:00:32,039] 人生的意義我們都touch了一些
[00:00:32,039 -> 00:00:34,039] 但是我覺得人生的意義這里邊
[00:00:34,280 -> 00:00:35,719] 第一不夠
[00:00:35,719 -> 00:00:38,200] 然後第二我想用一個小故事來結個尾
[00:00:38,200 -> 00:00:40,479] 所以說我想在人生的意義這里邊
[00:00:40,479 -> 00:00:42,479] 你之前跟我講過一本書是吧
[00:00:42,479 -> 00:00:44,880] 是這個90 years of life
[00:00:44,880 -> 00:00:49,359] 他其實我們之前有一个看到一个网页
[00:00:49,359 -> 00:00:52,159] 它叫做90 years of human life
[00:00:52,159 -> 00:00:55,600] 它讲就是我们人生假设能活90年
[00:00:55,799 -> 00:00:58,039] 然后人活90年算是挺长寿的
[00:00:58,039 -> 00:01:02,479] 然后把我们活的每一个星期画一个小方块
[00:01:02,479 -> 00:01:03,399] 在纸上画
[00:01:03,719 -> 00:01:06,879] 你会发现这90年的人生在一张纸上
[00:01:06,879 -> 00:01:09,760] 不管是A4纸还是letter size纸就画得下
[00:01:10,000 -> 00:01:12,000] 你会当你看一下这张纸的时候
[00:01:12,000 -> 00:01:13,120] 我真的打印出来了
[00:01:13,359 -> 00:01:15,599] 我看了这张纸我就看到上面每一个格子
[00:01:15,599 -> 00:01:17,519] 一个星期飞速的就过了
[00:01:18,040 -> 00:01:19,200] 这就是这么多格子
[00:01:19,200 -> 00:01:23,599] 然后格子上再涂掉已经过去的格子
[00:01:23,879 -> 00:01:27,200] 一涂一涂一涂三分之一都已经已经涂掉了
[00:01:27,200 -> 00:01:29,200] 再看最后虽然90岁
[00:01:29,200 -> 00:01:31,799] 但我觉得90岁也是一个乐观估计
[00:01:31,799 -> 00:01:33,599] 而且随着我们年龄变大
[00:01:33,599 -> 00:01:37,200] 身体的状况也可能能做的事情也会很不同了
[00:01:37,200 -> 00:01:37,599] 对吧
[00:01:37,599 -> 00:01:39,400] 可能六七十岁以后
[00:01:39,400 -> 00:01:41,599] 所以最后一块就保留一份格子
[00:01:41,599 -> 00:01:45,760] 会发现从现在到某一个年龄之前的格子
[00:01:45,760 -> 00:01:47,560] 真的是剩余的很少
[00:01:47,879 -> 00:01:50,879] 所以当我们能够用视觉的方式去一下
[00:01:50,879 -> 00:01:52,079] 一目了然的看到
[00:01:52,079 -> 00:01:53,640] 这是很有视觉冲击力的
[00:01:54,200 -> 00:01:55,519] 但其实你说人生意义
[00:01:55,640 -> 00:01:58,239] 这个我们也是就是谦虚的说
[00:01:58,239 -> 00:01:59,400] 我们其实都是学生
[00:01:59,400 -> 00:02:04,519] 都是在很产生了一点初期的怀疑
[00:02:04,519 -> 00:02:05,500] 初期的思考
[00:02:05,500 -> 00:02:07,799] 也是在不断的去学习
[00:02:07,799 -> 00:02:10,400] 其实没有一个固然的意义
[00:02:10,400 -> 00:02:12,699] 就是说没有一个标准答案
[00:02:12,699 -> 00:02:16,000] 其实说人和其他动物有一个本质的区别
[00:02:16,000 -> 00:02:18,400] 就是人可能是动物里面
[00:02:18,400 -> 00:02:21,500] 动物世界里面唯一会思考这个问题的
[00:02:21,500 -> 00:02:24,000] 其实我们思考就已经证明了
[00:02:24,000 -> 00:02:25,960] 我们跟其他的动物不一样我们是智慧的我们思考并的其實我們思考就已經證明了我們跟其他的動物不一樣
[00:02:25,960 -> 00:02:27,159] 我們是智慧的
[00:02:27,159 -> 00:02:29,500] 我們思考並不是為了去找到答案
[00:02:29,500 -> 00:02:31,659] 而且答案也會是會不斷的在變的
[00:02:31,659 -> 00:02:33,960] 但是我們思考本身就是有意義的
[00:02:34,900 -> 00:02:36,860] 就不要陷入這個思考
[00:02:36,860 -> 00:02:38,000] 因為他沒有用
[00:02:38,000 -> 00:02:38,599] 不用一直思考
[00:02:38,599 -> 00:02:39,199] 對對對
[00:02:39,199 -> 00:02:40,159] 其實不用一直思考
[00:02:40,159 -> 00:02:42,860] 其實美國真的我覺得是很長期的
[00:02:42,860 -> 00:02:45,680] 可能每過個五年十年去思考一下
[00:02:45,680 -> 00:02:47,639] 都是说需要太频繁的思考
[00:02:47,639 -> 00:02:48,719] 但是美国十年
[00:02:48,719 -> 00:02:51,240] 其实不光是思考我们自己的意义
[00:02:51,240 -> 00:02:55,719] 还有就是随着你跟你的未婚妻走入一段婚姻的关系
[00:02:55,719 -> 00:03:01,719] 其实两个人的共同的这种思考也是会变得更有意义
[00:03:01,719 -> 00:03:03,039] 可能美国几年
[00:03:03,039 -> 00:03:04,879] 你跟你的未婚妻
[00:03:04,879 -> 00:03:06,280] 未来跟你们你的太太
[00:03:06,280 -> 00:03:07,879] 也会共同去探讨一下
[00:03:07,879 -> 00:03:09,919] 我们认为生活中什么是重要的
[00:03:09,919 -> 00:03:10,840] 人们往往说
[00:03:10,840 -> 00:03:12,199] 哎呀我没有时间健身
[00:03:12,199 -> 00:03:13,639] 没有时间带孩子去旅行
[00:03:13,639 -> 00:03:15,199] 没有时间去创业
[00:03:15,240 -> 00:03:17,080] 没有时间去学读一本书
[00:03:17,080 -> 00:03:20,199] 其实当每次我们说没有时间的时候
[00:03:20,319 -> 00:03:23,280] 等同于就是我们在说这件事不重要
[00:03:23,400 -> 00:03:23,680] 对
[00:03:23,680 -> 00:03:25,000] 所以我觉得健身不重要
[00:03:25,000 -> 00:03:26,099] 我觉得创业不重要
[00:03:26,099 -> 00:03:26,800] 我觉得旅行不重要
[00:03:26,800 -> 00:03:28,300] 其实因为我们的时间总是有的
[00:03:28,300 -> 00:03:31,400] 只不过我们去优先级上去做了一些事情
[00:03:31,400 -> 00:03:33,199] 前天还有一个人就是说
[00:03:33,900 -> 00:03:36,300] 听起来感觉就是有个人采访我
[00:03:36,300 -> 00:03:38,599] 然后说好像你懂很多东西的样子
[00:03:38,599 -> 00:03:39,300] 我说我不懂
[00:03:39,300 -> 00:03:43,000] 然后他说反正你看上去能学很多东西
[00:03:43,000 -> 00:03:44,400] 然后为什么
[00:03:44,400 -> 00:03:45,439] 我觉得就是这个道理就是大家不觉得学习重要所以说大家就没有时间学但是反正你看上去能學很多東西然後為什麼呢
[00:03:46,759 -> 00:03:48,319] 我覺得就是這個道理就是大家不覺得學習重要
[00:03:48,319 -> 00:03:49,599] 所以說大家就沒有時間學
[00:03:49,599 -> 00:03:50,800] 其實當你覺得重要
[00:03:50,800 -> 00:03:51,800] 你總是有時間
[00:03:51,800 -> 00:03:53,080] 剛剛亮你也提到了
[00:03:53,080 -> 00:03:54,840] 就是你跟你太太之間的
[00:03:54,840 -> 00:03:56,240] 就是有很多這樣的思考
[00:03:56,240 -> 00:03:56,680] 對吧
[00:03:56,680 -> 00:03:59,000] 然後我知道你們明年就是10周年了
[00:03:59,000 -> 00:03:59,319] 是的
[00:03:59,319 -> 00:03:59,719] 對吧
[00:03:59,719 -> 00:04:00,319] 恭喜恭喜
[00:04:00,319 -> 00:04:00,879] 謝謝
[00:04:00,879 -> 00:04:03,960] 然後你們這個有什麼思考嗎
[00:04:03,960 -> 00:04:04,680] 有什麼計劃呢
[00:04:04,680 -> 00:04:08,000] 其實我們想的就是我們甚至刚结婚领证的时候
[00:04:08,000 -> 00:04:09,199] 都没办婚礼
[00:04:09,199 -> 00:04:13,500] 我们过了可能三年后才办了一场婚礼
[00:04:13,500 -> 00:04:16,300] 我求婚的时候也没有买钻戒
[00:04:16,300 -> 00:04:17,300] 然后呢
[00:04:17,300 -> 00:04:21,300] 这个这个故事可以等咱们之后再聊
[00:04:21,300 -> 00:04:21,899] 但是呢
[00:04:21,899 -> 00:04:23,199] 我们想的就是啊
[00:04:23,199 -> 00:04:25,600] 在要有生活要有儀式感
[00:04:25,600 -> 00:04:26,240] 十年呢
[00:04:26,240 -> 00:04:30,199] 我們會選擇一個地方再去辦一場十年的婚禮
[00:04:30,199 -> 00:04:31,959] 有我的女兒和兒子一起參加
[00:04:31,959 -> 00:04:33,860] 到時候你有空也歡迎你來參加
[00:04:33,860 -> 00:04:34,560] 那個地方呢
[00:04:34,560 -> 00:04:36,160] 並不一定是多高級
[00:04:36,160 -> 00:04:38,639] 或者是多宏達的規模
[00:04:38,660 -> 00:04:42,199] 而是說也許我們就在雪山前面的草地上
[00:04:42,199 -> 00:04:42,920] 然後呢
[00:04:42,920 -> 00:04:44,519] 有幾個親朋好友
[00:04:44,540 -> 00:04:48,040] 然後再跟我們一起去分享一些思考
[00:04:48,040 -> 00:04:49,040] 关于婚姻的思考
[00:04:49,040 -> 00:04:50,040] 关于家庭的思考
[00:04:50,040 -> 00:04:51,240] 然后两个人呢
[00:04:51,240 -> 00:04:55,079] 去重新去更新一下诺言
[00:04:55,079 -> 00:04:56,480] 更新一下
[00:04:56,480 -> 00:04:58,800] 我们认为生活的方向在哪里
[00:04:58,800 -> 00:05:01,160] 去认为彼此的认为重要的事情在哪里
[00:05:01,160 -> 00:05:02,560] 也是给彼此一个
[00:05:02,560 -> 00:05:05,079] 再次重新认识自己和对方的机会
[00:05:05,079 -> 00:05:06,839] 我觉得这是一个很有仪式感的事情
[00:05:06,839 -> 00:05:10,839] 它并不一定是非要就是多么的隆重
[00:05:10,839 -> 00:05:12,839] 但是呢这是很有意义的一件事情
[00:05:12,839 -> 00:05:15,920] 所以我们计划明年会做这件事情邀请你来
[00:05:15,920 -> 00:05:16,720] 谢谢啊
[00:05:16,720 -> 00:05:19,000] 像你说的自从你说了那个game之后
[00:05:19,000 -> 00:05:21,079] 我就在想什么东西是给别人看的
[00:05:21,079 -> 00:05:22,439] 什么东西是给自己看的
[00:05:22,439 -> 00:05:24,920] 就像你说那些隆重的东西很多时候是给别人看的
[00:05:24,920 -> 00:05:25,240] 是的是的其实两个人在一起嘛选择是给自己看的就像你说的那些隆重的东西很多时候是给别人看的
[00:05:25,240 -> 00:05:25,720] 是的
[00:05:25,720 -> 00:05:26,560] 就两个人在一起
[00:05:26,680 -> 00:05:28,519] 选择一些给自己看的
[00:05:28,639 -> 00:05:29,560] 这特别重要
[00:05:29,560 -> 00:05:31,399] 选择两个人符合的价值观
[00:05:31,399 -> 00:05:32,680] 我昨天跟我太太说
[00:05:32,720 -> 00:05:34,480] 我们当时在求婚的时候
[00:05:34,480 -> 00:05:36,360] 我说你想要一个钻戒
[00:05:36,360 -> 00:05:38,920] 还是我们一起买一个资产
[00:05:38,920 -> 00:05:40,399] 房子的几分之一
[00:05:40,439 -> 00:05:41,600] 还是微软的股票
[00:05:41,639 -> 00:05:41,920] 对吧
[00:05:41,920 -> 00:05:44,480] 那其实选一些彼此都认可的
[00:05:44,480 -> 00:05:45,680] 并不是说��戒不好
[00:05:45,680 -> 00:05:47,279] 它也是非常有意義的
[00:05:47,279 -> 00:05:48,879] 一種有儀式感的一個東西
[00:05:48,879 -> 00:05:51,600] 我跟我未婚妻求婚的時候是買了一個
[00:05:51,600 -> 00:05:53,040] 我就直接跟說
[00:05:53,040 -> 00:05:54,040] 我到了店裡面
[00:05:54,040 -> 00:05:56,399] 買一個你們最便宜的訂婚協議
[00:05:56,399 -> 00:05:58,519] 然後它是一個沒有鑽的
[00:05:58,519 -> 00:06:00,120] 但是是有一些碎鑽的機制
[00:06:00,120 -> 00:06:01,519] 然後就拿這個求婚了
[00:06:01,519 -> 00:06:02,600] 然後但是我說
[00:06:02,600 -> 00:06:03,879] 那我省下來這些錢
[00:06:03,879 -> 00:06:06,680] 我知道就是我可以兩個个月的工资
[00:06:06,680 -> 00:06:08,199] 比如说剩下的差价
[00:06:08,199 -> 00:06:11,199] 作为狗狗的破坏基金
[00:06:11,199 -> 00:06:13,959] 因为狗狗带出去会经常破坏各种各样的东西
[00:06:13,959 -> 00:06:14,480] 花钱
[00:06:14,480 -> 00:06:15,759] 然后每次花的都很心疼
[00:06:15,759 -> 00:06:16,839] 这样就不心疼了
[00:06:16,839 -> 00:06:18,800] 把狗狗当做家里的成员之一
[00:06:18,800 -> 00:06:19,759] 当做家人
[00:06:19,759 -> 00:06:22,680] 然后这也是你跟你的未婚妻共同的
[00:06:22,680 -> 00:06:26,120] 从价值观上非常符合的体现的一个点
[00:06:26,120 -> 00:06:28,600] 我当时是决定要求婚
[00:06:28,600 -> 00:06:30,560] 我去了一家纪念品商店
[00:06:30,560 -> 00:06:33,439] 然后5块钱一个戒指
[00:06:33,439 -> 00:06:35,199] 都是塑料的 很漂亮
[00:06:35,199 -> 00:06:36,480] 有黑色的 有蓝色的
[00:06:36,480 -> 00:06:38,399] 我买了一个黑色 一个蓝色 一个绿色
[00:06:38,399 -> 00:06:39,199] 放在口袋里
[00:06:39,199 -> 00:06:41,199] 当时还在想求婚的时候他哪一个
[00:06:41,199 -> 00:06:44,560] 给了自己很多选择
[00:06:44,560 -> 00:06:46,000] 加起来15块钱
[00:06:46,000 -> 00:06:47,399] 可以
[00:06:47,399 -> 00:06:47,899] 好的
[00:06:47,899 -> 00:06:48,800] 九周年的时候
[00:06:48,800 -> 00:06:53,000] 你其实好像有一个非常有意思有意义的故事
