[00:00:00,000 -> 00:00:01,000] 我就是这么强大
[00:00:01,000 -> 00:00:02,000] 追不上我吧
[00:00:02,000 -> 00:00:03,000] 啦啦啦啦啦啦啦啦啦啦
[00:00:03,000 -> 00:00:04,000] 啦啦啦啦啦啦啦啦
[00:00:04,000 -> 00:00:05,000] 啦啦啦啦啦啦啦啦
[00:00:05,000 -> 00:00:06,000] 啦啦啦啦啦啦啦啦
[00:00:06,000 -> 00:00:07,000] 啦啦啦啦啦啦啦啦
[00:00:07,000 -> 00:00:08,000] 啦啦啦啦啦啦啦啦
[00:00:08,000 -> 00:00:09,000] 啦啦啦啦啦啦啦啦
[00:00:09,000 -> 00:00:10,000] 啦啦啦啦啦啦啦啦
[00:00:10,000 -> 00:00:11,000] 啦啦啦啦啦啦啦啦
[00:00:11,000 -> 00:00:12,000] 啦啦啦啦啦啦啦啦
[00:00:12,000 -> 00:00:13,000] 啦啦啦啦啦啦啦啦
[00:00:13,000 -> 00:00:14,000] 啦啦啦啦啦啦啦啦
[00:00:14,000 -> 00:00:15,000] 啦啦啦啦啦啦啦啦
[00:00:15,000 -> 00:00:16,000] 啦啦啦啦啦啦啦啦
[00:00:16,000 -> 00:00:17,000] 啦啦啦啦啦啦啦啦
[00:00:17,000 -> 00:00:18,000] 啦啦啦啦啦啦啦啦
[00:00:18,000 -> 00:00:19,000] 啦啦啦啦啦啦啦啦
[00:00:19,000 -> 00:00:20,000] 啦啦啦啦啦啦啦啦
[00:00:20,000 -> 00:00:21,000] 啦啦啦啦啦啦啦啦
[00:00:21,000 -> 00:00:22,000] 啦啦啦啦啦啦啦啦
[00:00:22,000 -> 00:00:23,000] 啦啦啦啦啦啦啦啦
[00:00:23,000 -> 00:00:24,000] 啦啦啦啦啦啦啦啦
[00:00:24,000 -> 00:00:25,000] 啦啦啦啦啦啦啦啦
[00:00:25,000 -> 00:00:26,000] 啦啦啦啦啦啦啦啦
[00:00:26,000 -> 00:00:27,000] 啦啦啦啦啦啦啦
[00:00:27,000 -> 00:00:28,000] 啦啦啦啦啦啦啦
[00:00:28,000 -> 00:00:29,000] 啦啦啦啦啦啦啦
