[00:00:00,000 -> 00:00:02,000] Hello大家好
[00:00:02,000 -> 00:00:03,600] 其实很多小伙伴注意到了吗
[00:00:03,600 -> 00:00:06,200] 我最近发的很多视频都是在硅谷的采访
[00:00:06,200 -> 00:00:11,000] 那这个视频是我在深圳租的这个房子录的第一期
[00:00:11,000 -> 00:00:13,000] 这边是我的workstation
[00:00:13,000 -> 00:00:14,300] 在游戏公司
[00:00:14,300 -> 00:00:15,400] 所以红蓝buff
[00:00:15,400 -> 00:00:16,199] 对
[00:00:16,199 -> 00:00:18,199] 不过这期视频不是讲房子的
[00:00:18,199 -> 00:00:21,500] 我知道也有很多小伙伴想知道我回国的体验
[00:00:21,500 -> 00:00:22,600] 这个我正在做
[00:00:22,600 -> 00:00:23,500] 就是快出了
[00:00:23,500 -> 00:00:24,800] 但是也不是讲这个的
[00:00:24,800 -> 00:00:27,059] 我今天讲的是中英混杂的这件事情
[00:00:27,359 -> 00:00:28,600] 啊为什么要讲他呢
[00:00:28,760 -> 00:00:30,399] 因为我的视频
[00:00:30,660 -> 00:00:33,659] 最近就是那个采访Richard的那期视频
[00:00:33,899 -> 00:00:36,299] 在B站上被推送的还挺多的
[00:00:36,399 -> 00:00:38,600] 我之前一个视频可能几百上千个view
[00:00:38,859 -> 00:00:41,719] 但是那个采访Richard的视频
[00:00:41,899 -> 00:00:43,399] 就是现在已经2万多了
[00:00:43,399 -> 00:00:44,960] 所以就有很多人在评论
[00:00:45,000 -> 00:00:47,240] 而且如果你打开评论或者打开弹幕
[00:00:47,240 -> 00:00:47,719] 看的话
[00:00:47,719 -> 00:00:51,240] 最多的评论就是说你这个App主
[00:00:51,240 -> 00:00:53,039] 为什么中英混杂
[00:00:53,159 -> 00:00:54,079] 有什么了不起的
[00:00:54,119 -> 00:00:55,000] 你在这装什么逼
[00:00:55,159 -> 00:00:57,799] 这些comments
[00:00:57,840 -> 00:00:59,520] 我其实本来也不放在心上的
[00:00:59,560 -> 00:01:02,280] 但是因为B站不是有弹幕吗
[00:01:02,280 -> 00:01:04,519] 所以说很多你一开始打开了弹幕
