[00:00:00,000 -> 00:00:01,500] Hello,大家好
[00:00:01,500 -> 00:00:03,500] 今天是2月14号
[00:00:03,500 -> 00:00:05,500] 最近有春节也有情人节
[00:00:05,500 -> 00:00:07,500] 所以说红色的灯春节
[00:00:07,500 -> 00:00:10,000] 然后粉色的灯情人节
[00:00:10,000 -> 00:00:12,000] 祝大家过年好
[00:00:12,000 -> 00:00:14,500] 然后祝大家情人节快乐
[00:00:14,500 -> 00:00:16,000] 如果你是像我一样的单身狗
[00:00:16,000 -> 00:00:18,500] 那恭喜你不用过情人节
[00:00:18,500 -> 00:00:20,000] 好,话不多说
[00:00:20,000 -> 00:00:21,500] 今天视频有两个正题
[00:00:21,500 -> 00:00:24,500] 第一个是说一下自己频道改名的事情
[00:00:24,500 -> 00:00:27,839] 第二个是我最近用了很久的Clubhouse
[00:00:27,839 -> 00:00:30,100] 這是我Clubhouse的帳號
[00:00:30,100 -> 00:00:31,339] 歡迎大家來關注
[00:00:31,339 -> 00:00:32,979] 然後我在Clubhouse上
[00:00:32,979 -> 00:00:34,479] 就遇到了很多問題
[00:00:34,479 -> 00:00:35,740] 也問了很多問題
[00:00:35,740 -> 00:00:37,640] 然後我就對什麼是好的問題
[00:00:37,640 -> 00:00:39,740] 這件事情有一個感觸
[00:00:39,740 -> 00:00:41,979] 所以說就想跟大家分享一下
[00:00:41,979 -> 00:00:43,079] 那就先說第一個吧
[00:00:43,079 -> 00:00:44,119] 我的頻道改名了
[00:00:44,119 -> 00:00:45,700] 這也是因為去了Clubhouse以後
[00:00:45,700 -> 00:00:49,000] 然後想有的時候就會說一下自己的頻道嘛
[00:00:49,000 -> 00:00:51,000] 但是發現與爾同銷萬古愁
[00:00:51,000 -> 00:00:53,600] 這個不是特別易於傳播
[00:00:53,600 -> 00:00:57,000] 其實與爾同銷萬古愁背後的故事是這樣子的
[00:00:57,000 -> 00:01:00,000] 我身邊有很多對酒很懂的朋友
[00:01:00,000 -> 00:01:01,899] 包括有一個馮老師
[00:01:01,899 -> 00:01:05,400] 現在在我的頻道上其實還放著馮老師的很多視頻
[00:01:05,400 -> 00:01:09,000] 他對葡萄酒和清酒都特別有研究
[00:01:09,000 -> 00:01:10,299] 對雞尾酒也很熱愛
[00:01:10,299 -> 00:01:11,799] 然後還有一個Nick
[00:01:11,799 -> 00:01:13,299] 是一個Master Sommelier
[00:01:13,299 -> 00:01:14,799] 全球只有200多個
[00:01:14,799 -> 00:01:16,400] 就是我跟他們一起玩的時候
[00:01:16,400 -> 00:01:17,799] 他們會首先帶很多酒
[00:01:17,799 -> 00:01:21,099] 然後也會不厭其煩的跟我講一些這些酒的特點
[00:01:21,099 -> 00:01:22,200] 我會跟他們一起品
[00:01:22,200 -> 00:01:24,299] 然後我覺得他們講的內容都特別特別有意思
[00:01:24,299 -> 00:01:25,799] 於是我就錄下來上傳
[00:01:25,799 -> 00:01:27,040] 但是後來沒什麼人看
[00:01:27,040 -> 00:01:29,760] 而且每次timeout的時候都去錄視頻
[00:01:29,760 -> 00:01:30,640] 就覺得很奇怪
[00:01:30,640 -> 00:01:32,239] 然後後來就不上傳了
[00:01:32,239 -> 00:01:36,480] 之後這個頻道做了那期疫情對餐廳的影響
[00:01:36,480 -> 00:01:40,920] 在那時候我就把這個頻道開始上傳這些乾貨內容
[00:01:40,920 -> 00:01:43,719] 於是就一直用著這個名字用了下去
[00:01:43,719 -> 00:01:46,540] 現在覺得這個魚兒同銷的�古愁也不是特別的竊題
[00:01:46,540 -> 00:01:49,840] 於是就改名成了柯代表小孫
[00:01:49,840 -> 00:01:52,680] 可是其實我對這個名字不是完全滿意
[00:01:52,680 -> 00:01:54,680] 我覺得柯代表這個詞
[00:01:54,680 -> 00:01:56,680] 我80分90分滿意吧
[00:01:56,680 -> 00:02:01,060] 因為雖然我的頻道的目標
[00:02:01,060 -> 00:02:03,260] 是想給大家提供一些增量知識
[00:02:03,260 -> 00:02:06,700] 就我不想去網上總結一些內容
[00:02:06,700 -> 00:02:09,740] 甚至我看到很多中文互聯網上
[00:02:09,740 -> 00:02:11,099] 它總結的內容都是錯的
[00:02:11,099 -> 00:02:15,680] 比如說最近有一期某頻道講做咖啡的視頻
[00:02:15,680 -> 00:02:18,379] 講咖啡的視頻裡面好多錯誤內容
[00:02:18,379 -> 00:02:19,379] 我不想去
[00:02:19,379 -> 00:02:22,379] 我首先希望我的內容是經得起檢驗
[00:02:22,379 -> 00:02:24,520] 其次我想做一些增量的知識
[00:02:24,520 -> 00:02:25,539] 就不是只是總結我想提供�量的知識就不是只是總結
[00:02:25,539 -> 00:02:27,400] 我想提供一些新的知識
[00:02:27,400 -> 00:02:28,840] 或者說如果總結的話
[00:02:28,840 -> 00:02:31,479] 我也希望總結出來一個獨特的角度
[00:02:31,479 -> 00:02:34,180] 但是課代表就代表了一個學習心態
[00:02:34,180 -> 00:02:36,379] 就是我希望把這些東西總結出來
[00:02:36,379 -> 00:02:38,180] 幫助大家更好的理解
[00:02:38,180 -> 00:02:40,419] 我會盡可能的把東西講得更清楚一點
[00:02:40,419 -> 00:02:43,560] 另外一個我是希望通過不同的渠道
[00:02:43,560 -> 00:02:45,199] 然後跟不同的人去學習
[00:02:45,199 -> 00:02:48,000] 最後學起來的知識跟大家分享
[00:02:48,000 -> 00:02:50,400] 所以說柯代表這個詞我覺得還是挺滿意的
[00:02:50,400 -> 00:02:52,800] 但是小孫這個我不是特別滿意
[00:02:52,800 -> 00:02:56,199] 因為我覺得好的這種名字應該是
[00:02:56,199 -> 00:02:57,199] 本身沒有意義
[00:02:57,199 -> 00:02:58,599] 但是對我自己有點意義
[00:02:58,599 -> 00:03:00,000] 小孫這個就很60分
[00:03:00,000 -> 00:03:02,199] 所以說頻道的觀眾小夥伴們
[00:03:02,199 -> 00:03:04,599] 如果你們有什麼更好的建議的話
[00:03:04,599 -> 00:03:06,000] 也歡迎向我提出来
[00:03:06,000 -> 00:03:08,599] 可能就要直接用了你跟我说的这个建议了
[00:03:08,599 -> 00:03:11,000] 就是我希望这个小孙这两个词
[00:03:11,000 -> 00:03:13,400] 用两个更没有意义的东西去取代它
[00:03:13,400 -> 00:03:15,699] 好的 上面就是第一个话题
[00:03:15,699 -> 00:03:18,300] 第二部分就是我们这次的主题
[00:03:18,300 -> 00:03:22,400] 是什么是好的问题和如何问一个好的问题
[00:03:22,400 -> 00:03:24,199] 我会分三部分来讲吧
[00:03:26,199 -> 00:03:27,800] 好的 那第一部分呢
[00:03:27,800 -> 00:03:30,099] 就是這件事情的本質是什麼
[00:03:30,099 -> 00:03:31,800] 我覺得提問的本質呢
[00:03:31,800 -> 00:03:35,300] 就是為了搞清楚兩個人的認知差距
[00:03:35,300 -> 00:03:38,900] 和最快最有效的去彌補這個認知差距
[00:03:38,900 -> 00:03:40,300] 這其實是分兩部分
[00:03:40,300 -> 00:03:43,099] 我還是稍稍展開點講一下吧
[00:03:43,099 -> 00:03:46,000] 其實大家如果記得我上有一期視頻
[00:03:46,000 -> 00:03:49,439] 是講如何高校的學習和高校的工作的
[00:03:49,439 -> 00:03:51,280] 那期視頻我就講說
[00:03:51,280 -> 00:03:53,979] 你應該帶著答案去尋找答案
[00:03:53,979 -> 00:03:55,580] 對吧 這是高校學習的方法
[00:03:55,580 -> 00:03:56,780] 後來我意識到
[00:03:56,780 -> 00:03:58,620] 這個不是什麼新的觀點
[00:03:58,620 -> 00:04:01,159] 康德在他的《純粹理性批判》裡邊
[00:04:01,159 -> 00:04:02,259] 就這本書
[00:04:02,259 -> 00:04:04,060] 這麼重要的書
[00:04:04,060 -> 00:04:07,539] 講這個意識是什麼東西的這本書
[00:04:07,539 -> 00:04:09,139] 就是講這件事的
[00:04:09,139 -> 00:04:10,740] 就是人是有Prior的 對吧
[00:04:10,740 -> 00:04:13,240] 然後你跟人 你拿著你的Prior
[00:04:13,240 -> 00:04:14,819] 去跟你的經驗進行碰撞
[00:04:14,819 -> 00:04:17,879] 最後你會得到一個後眼的知識
[00:04:17,879 -> 00:04:19,279] 這就不展開了嘛
[00:04:19,279 -> 00:04:22,420] 總之這就是人認知世界的一個方法
[00:04:22,420 -> 00:04:25,339] 或者說是一個特別特別本質的方法或者说是一个特别特别本质的方法
[00:04:25,339 -> 00:04:27,740] 那回到我们问问题这件事情上
[00:04:27,740 -> 00:04:30,439] 就是不同的人对同一个问题
[00:04:30,439 -> 00:04:31,939] 会有不同的认知
[00:04:31,939 -> 00:04:35,240] 它有的时候是大家所掌握的事实不一样
[00:04:35,240 -> 00:04:37,839] 就是大家看到最近有这么多假新闻是吧
[00:04:37,839 -> 00:04:40,040] 就是因为你的事实都扭曲了
[00:04:40,040 -> 00:04:42,439] 那你在这个事实上做出来的任何结论
[00:04:42,439 -> 00:04:43,639] 也都是靠不住的
[00:04:43,639 -> 00:04:45,899] 所以事实是这件事情的根基那你在这个事实之上呢的任何結論也都是靠不住的所以事實是這件事情的根基
[00:04:45,899 -> 00:04:47,839] 那你在這個事實之上
[00:04:47,839 -> 00:04:49,839] 你會有你的人生經驗
[00:04:49,839 -> 00:04:52,000] 你會有你的思維模式
[00:04:52,000 -> 00:04:54,000] 或者說你覺得什麼東西
[00:04:54,000 -> 00:04:55,879] 你有各種各樣的實戰經驗
[00:04:55,879 -> 00:04:56,939] 你覺得什麼東西重要
[00:04:56,939 -> 00:04:58,079] 什麼東西不重要
[00:04:58,079 -> 00:05:00,379] 你學了很多很多的知識
[00:05:00,379 -> 00:05:03,420] 會讓你把一些關鍵的邏輯
[00:05:03,420 -> 00:05:04,720] 給屢順給想通
[00:05:04,720 -> 00:05:05,759] 最後大家就會得到很有可能會基给想通最后大家就会得到
[00:05:05,759 -> 00:05:07,600] 很有可能会基于同样的事实
[00:05:07,600 -> 00:05:09,300] 都有可能得到不同的结论
[00:05:09,300 -> 00:05:11,639] 这个时候如果你能问出来好的问题
[00:05:11,639 -> 00:05:14,040] 第一你就可以通过这个结论
[00:05:14,040 -> 00:05:16,639] 发现你们两个认知是有什么不一样的
[00:05:16,639 -> 00:05:18,980] 而且你能很快的抓到重点
[00:05:18,980 -> 00:05:20,879] 就是说为什么我们会导致不一样
[00:05:20,879 -> 00:05:22,079] 到底是事实不一样呢
[00:05:22,079 -> 00:05:23,579] 还是因为我们的认知不一样
[00:05:23,579 -> 00:05:26,079] 是因为我们的实战经验不一样
[00:05:26,079 -> 00:05:28,000] 思维框架不一样等等
[00:05:28,000 -> 00:05:29,839] 这也是一个特别有效
[00:05:29,839 -> 00:05:31,360] 特别神奇的方法
[00:05:31,360 -> 00:05:33,639] 因为你发现了认知的差距
[00:05:33,639 -> 00:05:37,040] 然后你如果能通过问题去把差距给找出来
[00:05:37,040 -> 00:05:39,120] 而且你能通过一个好的问题
[00:05:39,120 -> 00:05:41,519] 让认知程度比你高的这个人
[00:05:41,519 -> 00:05:44,000] 告诉你他的认知为什么是这样子的话
[00:05:44,000 -> 00:05:46,040] 你可以快速弥补你的认知差距
[00:05:46,040 -> 00:05:48,199] 你就懂了 非常有意义
[00:05:48,199 -> 00:05:49,439] 非常对 你说得非常对
[00:05:49,439 -> 00:05:50,939] 这一点的认知差距
[00:05:50,939 -> 00:05:54,240] 是对方可能多积累了十几年的经验
[00:05:54,240 -> 00:05:55,339] 所积累下来的
[00:05:55,339 -> 00:05:56,480] 我们首先要承认
[00:05:56,480 -> 00:05:59,519] 你从实践积累下来的经验
[00:05:59,519 -> 00:06:02,620] 是和你通过跟别人聊
[00:06:02,620 -> 00:06:03,819] 弹剂量不一样的
[00:06:03,819 -> 00:06:05,399] 但是如果你知道了這個方向
[00:06:05,399 -> 00:06:07,839] 就可以讓你少走很多彎路
[00:06:07,839 -> 00:06:09,439] 這就是這個抽象藏
[00:06:09,439 -> 00:06:10,480] 什麼是好的問題
[00:06:10,480 -> 00:06:12,480] 好的問題是為了了解到
[00:06:12,480 -> 00:06:14,279] 你和對方的認知差距
[00:06:14,279 -> 00:06:16,399] 和最快最有效的去
[00:06:16,399 -> 00:06:17,720] 彌補這個認知差距
[00:06:17,720 -> 00:06:18,639] 起碼認識到了
[00:06:18,639 -> 00:06:20,079] 對方的這個認知差距
[00:06:20,079 -> 00:06:21,439] 是從什麼東西來的
[00:06:21,439 -> 00:06:22,560] 那接下來就是說
[00:06:22,560 -> 00:06:24,480] 你在日常生活中怎麼樣子
[00:06:24,480 -> 00:06:27,079] 才可以問到一個好問題呢
[00:06:27,079 -> 00:06:28,139] 其實在我看來
[00:06:28,139 -> 00:06:30,240] 能問好問題的這個技能
[00:06:30,240 -> 00:06:32,079] 是非常非常稀有的 為什麼
[00:06:32,079 -> 00:06:33,980] 你如果大家想像一下世界
[00:06:33,980 -> 00:06:36,120] 如果大家想一下世界上的所有人
[00:06:36,120 -> 00:06:37,620] 其實絕大多數的人
[00:06:37,620 -> 00:06:40,120] 根本就拒絕改變自己的人質
[00:06:40,120 -> 00:06:40,720] 是什麼呢
[00:06:40,720 -> 00:06:43,060] 就是比如說我們最近在Clubhouse上
[00:06:43,060 -> 00:06:45,399] 或者說在網上看到的各種各樣言論
[00:06:45,399 -> 00:06:46,959] 大家都是結論先行
[00:06:46,959 -> 00:06:47,759] 觀點先行
[00:06:47,759 -> 00:06:48,560] 立場先行
[00:06:48,560 -> 00:06:50,160] 這個才是普遍的言論
[00:06:50,160 -> 00:06:53,639] 就是說如果你的結論我不認同的話
[00:06:53,639 -> 00:06:55,279] 那你說什麼我都不聽
[00:06:55,279 -> 00:06:58,199] 我不管我為什麼結論跟你不一樣
[00:06:58,199 -> 00:07:00,279] 我已經根深蒂固的相信自己的結論了
[00:07:00,279 -> 00:07:01,839] 我不想修改我的結論
[00:07:01,839 -> 00:07:03,439] 我也不想修改我的認知
[00:07:03,439 -> 00:07:05,339] 我只想說服你
[00:07:05,339 -> 00:07:06,639] 但是大家都互相說服
[00:07:06,639 -> 00:07:07,540] 都不相親的話
[00:07:07,540 -> 00:07:09,680] 那互相誰也說服不了對方
[00:07:09,680 -> 00:07:11,379] 我這其實有一個小例子
[00:07:11,379 -> 00:07:13,779] 其實這件事情不是一個純主觀的事情
[00:07:13,779 -> 00:07:15,279] 不是說我就是不想聽
