[00:00:00,000 -> 00:00:03,000] 其实一直以来我都是一个Deep Learning大喷子
[00:00:03,000 -> 00:00:05,000] 搞了一段时间Deep Learning之后
[00:00:05,000 -> 00:00:07,000] 有很多私货想要夹带一下
[00:00:07,000 -> 00:00:09,000] 所以就做了这样一个slides
[00:00:09,000 -> 00:00:11,000] 整个东西会比较长
[00:00:11,000 -> 00:00:12,000] 大约是一个小时左右
[00:00:12,000 -> 00:00:14,000] 但这次先发一个预览版
[00:00:14,000 -> 00:00:15,000] 用十分钟的时间
[00:00:15,000 -> 00:00:18,000] 我们简单的看一下Deep Learning的历史
[00:00:18,000 -> 00:00:19,000] 它为什么会work
[00:00:19,000 -> 00:00:22,000] 以及为什么大家这么喜欢它
[00:00:22,000 -> 00:00:26,160] 注意这并不是一个非常严谨的说
[00:00:26,839 -> 00:00:28,280] Technical Review
[00:00:28,280 -> 00:00:30,920] 而会是一个以广度优先的
[00:00:30,920 -> 00:00:33,600] 更加注重直觉的构建的
[00:00:34,039 -> 00:00:36,359] 这样一个Deep Learning的思惑
[00:00:37,119 -> 00:00:40,240] 注意我里面会有很多个人的见解
[00:00:40,240 -> 00:00:44,240] 因为想要把一些比较强烈的观点表达出来
[00:00:44,240 -> 00:00:45,240] 所以批判性的看法
[00:00:47,039 -> 00:00:49,759] 那么首先看一下在deployment之前
[00:00:49,759 -> 00:00:53,399] 大家搞Machine learning一般是分成几块
[00:00:53,399 -> 00:00:55,119] 有做feature的有做aggregation
[00:00:55,119 -> 00:00:56,840] 比如说pooling的有做最后的model
[00:00:56,840 -> 00:00:57,719] 比如说SVM的
[00:00:58,399 -> 00:01:00,640] 这样搞虽然分工比较好
[00:01:00,640 -> 00:01:03,399] 但是护住头护不了定
[00:01:04,120 -> 00:01:07,500] 大家做feature的未必是为了做model来优化
[00:01:08,200 -> 00:01:09,599] 各自为政 效果不是特别好
[00:01:10,400 -> 00:01:12,799] 但也不是说12年Deep Learning活了以后
[00:01:12,799 -> 00:01:13,799] 突然就出了一个东西
[00:01:13,799 -> 00:01:15,500] 把所有东西轴到一块它就work了
[00:01:16,200 -> 00:01:17,599] 其实历史比这个复杂很多
[00:01:18,400 -> 00:01:21,700] 不过我们说到Deep Learning很多二叔能详的术语
[00:01:21,700 -> 00:01:22,799] 比如说perception啊
[00:01:23,400 -> 00:01:28,959] multilayer neural network啊甚至是PyTorch的TensorFlow之类
[00:01:28,959 -> 00:01:33,599] 现代deep learning工具箱的独门绝活,symbolic auto differentiation等等
[00:01:33,599 -> 00:01:36,400] 其实他们在1950年代1960年代都已经出来了
[00:01:36,400 -> 00:01:38,799] 只是因为各种原因
[00:01:38,799 -> 00:01:44,000] 大家一直没有什么办法能够train超过四层或者三四层的neural network
[00:01:44,000 -> 00:01:45,560] 一搞就overfit
[00:01:45,560 -> 00:01:48,079] 这是为什么deep learning在90年以后
[00:01:48,079 -> 00:01:50,079] 我想95年以后就迎来了一个低谷
[00:01:51,439 -> 00:01:55,680] 直到2012年搞了一个英文GNET的比赛
[00:01:56,200 -> 00:01:58,239] 出了一个叫AlexNet的neural network
[00:01:58,560 -> 00:02:00,079] 它基本上就是以前的deep learning
[00:02:00,079 -> 00:02:04,280] 但是把之前所有的流行的算法全都按在地上爆锤
[00:02:04,959 -> 00:02:06,599] 比如说你就可以看见他这里
[00:02:07,280 -> 00:02:10,439] Everweight比之前的流行算法都低了8个点
[00:02:11,159 -> 00:02:13,719] 大家一看你一下把Neural Network
[00:02:13,719 -> 00:02:15,599] 从比如说两三层一下搞多了八层
[00:02:15,599 -> 00:02:17,639] 非常deep deep learning牛逼牛逼
[00:02:18,599 -> 00:02:19,879] 就吸引了很多注意力
[00:02:19,919 -> 00:02:21,800] 当然deep learning名字的来源并不是这里
[00:02:21,800 -> 00:02:23,159] 这个我们以后再说
[00:02:24,120 -> 00:02:26,500] 那这个AlexNet它为啥突然就work了呢
[00:02:26,780 -> 00:02:28,819] 从技术上来说主要是两个原因
[00:02:28,819 -> 00:02:29,939] 一个是他用了dropout
[00:02:30,300 -> 00:02:31,780] 把overfitting这个问题解决了
[00:02:31,860 -> 00:02:34,379] 但我觉得dropout从后来的历史来看
[00:02:34,379 -> 00:02:36,780] 也不是最好的能解决overfitting的方法
[00:02:37,300 -> 00:02:38,780] 它可能更重要的一个原因
[00:02:38,780 -> 00:02:39,900] 非常核心的原因是说
[00:02:39,900 -> 00:02:41,500] 它解决了grid and vanishing这个问题
[00:02:42,020 -> 00:02:43,340] 那啥叫grid and vanishing呢
[00:02:43,340 -> 00:02:44,860] 任何一个Machine Learning的算法
[00:02:45,280 -> 00:02:46,759] 比如讲你用gridient dissonance来解
[00:02:46,759 -> 00:02:48,560] 它干的事情就是有一个目标函数
[00:02:48,560 -> 00:02:52,479] 然后这个算法就在目标函数的某一个点上面
[00:02:52,479 -> 00:02:55,240] 这个这个区面就是这个目标函数的形状
[00:02:55,240 -> 00:02:55,960] 在这个点上面
[00:02:56,120 -> 00:02:59,000] 它的目标是要走到这个区面的谷底
[00:02:59,199 -> 00:03:00,759] 也就是最小化这个目标函数
[00:03:01,080 -> 00:03:02,080] 或者是loss function
[00:03:02,680 -> 00:03:03,639] 它怎么去做这一点
[00:03:04,080 -> 00:03:07,000] 它会先从这个点出发向周围看一圈
[00:03:07,000 -> 00:03:09,000] 然后找到最陡峭的那个方向
[00:03:09,000 -> 00:03:11,000] 向那边跨一小步
[00:03:11,000 -> 00:03:12,000] 然后重复这个过程
[00:03:12,000 -> 00:03:13,000] 再向周围看一圈
[00:03:13,000 -> 00:03:16,000] 再朝最陡峭的方向走一小步
[00:03:16,000 -> 00:03:18,000] 直到走到谷底
[00:03:18,000 -> 00:03:20,000] 这样呢在这样的形状
[00:03:20,000 -> 00:03:21,000] 比如泡面的形状上面
[00:03:21,000 -> 00:03:23,000] 看上去还是比较简单的
[00:03:23,000 -> 00:03:25,319] 哪个方向最陡峭比较容易判断出来
[00:03:25,680 -> 00:03:27,120] 但是比如讲像右图这样
[00:03:27,360 -> 00:03:29,800] deep learning里面经常用到的一种activation function
[00:03:29,800 -> 00:03:30,520] 就是sigmoid
[00:03:30,960 -> 00:03:33,439] 在这边如果x在比较大的情况下
[00:03:33,439 -> 00:03:35,719] 比如说810它gradient就是0了
[00:03:36,159 -> 00:03:38,919] 那么如果对deep learning有一些初步的了解
[00:03:38,919 -> 00:03:39,919] 知道backpropagation
[00:03:39,919 -> 00:03:42,520] 啊验尸法则之类就知道那么一层
[00:03:42,520 -> 00:03:43,560] 它的gradient接近0
[00:03:43,560 -> 00:03:46,000] 很多层乘起来它gradient基本上就是0了所以在训练习法则之类就知道那么一层它的gradient接近零很多层乘起来它gradient基本上就是零了
[00:03:46,000 -> 00:03:50,199] 所以在训练的时候整个训练过程基本上就停滞了
[00:03:50,199 -> 00:03:52,000] 这也是为什么之前trim出来的原因之一
[00:03:52,000 -> 00:03:56,699] 当然gradient vanishing还有很多其他的解释
[00:03:56,699 -> 00:03:58,000] 这个我们到完整版再说
[00:03:58,000 -> 00:04:00,599] AlexNet它是怎么解决这个问题的呢
[00:04:00,599 -> 00:04:02,599] 他把sigmoid换成了relo
[00:04:02,599 -> 00:04:06,159] 那么可以看一下它这个形状就解决了
[00:04:06,159 -> 00:04:07,280] Grid Vanishing的问题
[00:04:07,280 -> 00:04:09,680] 因为它没有像之前的那样的形状
[00:04:09,680 -> 00:04:11,039] 具体为什么可以自己想一想
[00:04:12,479 -> 00:04:13,520] 这是非常重要的一点
[00:04:13,520 -> 00:04:15,680] 因为在很多相对独立的
[00:04:15,680 -> 00:04:17,120] Deep Learning的Worker中间
