[00:00:00,000 -> 00:00:01,120] Hello大家好
[00:00:01,120 -> 00:00:05,599] 今天我想跟大家聊一下什么是好的数据可视化
[00:00:05,599 -> 00:00:11,199] 我会用我的频道的bilibili后台和YouTube后台做一个对比
[00:00:11,199 -> 00:00:12,480] 给大家看一下
[00:00:12,480 -> 00:00:15,560] 然后最后我会告诉大家为什么不要用pie chart
[00:00:15,560 -> 00:00:18,000] 基本上所有能用pie chart的情况
[00:00:18,000 -> 00:00:20,359] 全都应该用一个bar chart来代替
[00:00:20,359 -> 00:00:21,719] pie chart是饼状图
[00:00:21,719 -> 00:00:23,280] 然后bar chart是柱状图
[00:00:23,280 -> 00:00:24,640] 就是你不要用饼状图
[00:00:24,640 -> 00:00:25,839] 你应该用柱状图
[00:00:25,839 -> 00:00:27,640] 几乎所有的情况都是这个样子的
[00:00:28,120 -> 00:00:30,839] 然后我也可以跟大家稍稍聊一下
[00:00:30,879 -> 00:00:33,159] 就是好的数据可视化到底有什么意义
[00:00:33,280 -> 00:00:36,159] 因为其实在我看来好的数据可视化
[00:00:36,200 -> 00:00:38,079] 不光是数据科学家要用
[00:00:38,119 -> 00:00:40,280] 程序员产品经理
[00:00:40,479 -> 00:00:44,359] 基本上你工作中都需要用到
[00:00:44,439 -> 00:00:49,759] 因为现在大家越来越讲究你用数据来
[00:00:49,759 -> 00:00:52,560] 就是data make decision是吧
[00:00:52,560 -> 00:00:56,719] 那你要把这个数据给呈现好
[00:00:56,719 -> 00:00:59,200] 让观众能很好的理解
[00:00:59,200 -> 00:01:01,600] 是值得你把它做好的事情的
[00:01:01,600 -> 00:01:05,000] 比如说你给老板们做一个presentation
[00:01:05,000 -> 00:01:07,439] 这个presentation可能半小时一小时
[00:01:07,439 -> 00:01:08,560] 那老板走了
[00:01:08,560 -> 00:01:10,200] 他很多时候可能过一天
[00:01:10,200 -> 00:01:11,439] 你做的什么就忘记了
[00:01:11,439 -> 00:01:13,640] 但是如果你有一个非常清晰有力的
[00:01:13,640 -> 00:01:14,879] 数据可视化的话
[00:01:14,879 -> 00:01:17,480] 人一般都是人是视觉动物
[00:01:17,879 -> 00:01:19,319] 他们会记住这张图的
[00:01:19,319 -> 00:01:22,200] 然后会记住你因为这张图而做了什么的
[00:01:22,200 -> 00:01:24,280] 这是一个视觉索引
[00:01:24,280 -> 00:01:27,760] 然后有的时候又可以帮助你去得到一些
[00:01:27,760 -> 00:01:29,560] 你需要得到的结论
[00:01:29,560 -> 00:01:32,319] 或者发现一些你需要得到的结论
[00:01:32,319 -> 00:01:34,840] 好 我们就开始讲
[00:01:34,840 -> 00:01:38,000] 第一个是什么是好的数据可视化
[00:01:38,000 -> 00:01:41,120] 在我看来好的数据可视化是要满足三个条件
[00:01:41,120 -> 00:01:43,000] 从重要性来分析的话
[00:01:43,000 -> 00:01:46,079] 第一要正确不要误导观众
[00:01:46,359 -> 00:01:47,680] 正确有几个方面
[00:01:48,200 -> 00:01:49,079] 第一就是你
[00:01:49,079 -> 00:01:50,879] 首先你数据什么的要真实
[00:01:50,879 -> 00:01:51,400] 对吧
[00:01:51,519 -> 00:01:53,040] 但是更重要的是
[00:01:53,040 -> 00:01:57,640] 你不要就是为了去说一件事情
[00:01:57,680 -> 00:01:59,680] 而让数据去误导人
[00:01:59,760 -> 00:02:00,480] 举个例子
[00:02:00,640 -> 00:02:02,120] 就是你的坐标轴
[00:02:02,159 -> 00:02:04,719] 假设你是97%变到了98%
[00:02:04,719 -> 00:02:05,959] 那你涨了1%但是这个时候你如果把这个坐标轴假设你是97%变到了98%那你涨了1%
[00:02:05,959 -> 00:02:08,840] 但是这个时候你如果把坐标轴放大到
[00:02:08,840 -> 00:02:11,000] 从95%到100%
[00:02:11,000 -> 00:02:13,000] 这个很小的区间里面的话
[00:02:13,000 -> 00:02:14,919] 这个增长看上去就会显得特别大
[00:02:14,919 -> 00:02:18,639] 但是在我看来这是一个不好的习惯
[00:02:18,639 -> 00:02:20,919] 或者说这不是一个好的数据可视化
[00:02:20,919 -> 00:02:24,840] 数据可视化一定要把这个数据真实的呈现出来
