[00:00:00,000 -> 00:00:01,000] Hello 大家好
[00:00:01,000 -> 00:00:04,400] 欢迎来到课代表讲数据的第一期
[00:00:04,400 -> 00:00:07,519] 就像上期视频promise大家的那样子
[00:00:07,519 -> 00:00:10,240] 我从这期开始就会跟大家分享一下
[00:00:10,240 -> 00:00:12,679] 我跟数据打交道的这么多年
[00:00:12,679 -> 00:00:15,560] 这些工作里面积累的心得和体会
[00:00:15,560 -> 00:00:17,440] 今天的第一期
[00:00:17,440 -> 00:00:19,519] 我们就从上一期视频的留言里面
[00:00:19,519 -> 00:00:22,440] 选一个小伙伴来讲一下他感兴趣的话题
[00:00:22,440 -> 00:00:24,399] 是林洪山同学
[00:00:24,399 -> 00:00:27,399] 他问DS有很多不一样的方向
[00:00:27,399 -> 00:00:30,199] 想听听是怎么挖掘自己focus的方向
[00:00:30,199 -> 00:00:31,399] 自己的优势
[00:00:31,399 -> 00:00:34,399] 专精成某个方面的data expertise
[00:00:34,399 -> 00:00:36,799] 这个问题其实我觉得挺有趣的
[00:00:36,799 -> 00:00:39,600] 因为就是data science这件事情
[00:00:39,600 -> 00:00:42,200] 从来没有被准确的define过
[00:00:42,200 -> 00:00:45,240] 我之前在两期视频里边有讲这件事我今天就把它拎出来然后再单独讲一下
[00:00:45,240 -> 00:00:49,960] 因为尤其很多求职的小伙伴
[00:00:49,960 -> 00:00:53,039] 他们毕业了以后发现想去找一个DS的工作
[00:00:53,039 -> 00:00:54,079] 什么都要会
[00:00:54,079 -> 00:00:55,960] 就是统计概率不用说了
[00:00:55,960 -> 00:00:56,960] CSQL
[00:00:56,960 -> 00:00:58,759] 然后做Data Visualization
[00:00:58,759 -> 00:01:01,600] 各种各样的数据的Pipeline的Tool
[00:01:01,600 -> 00:01:03,880] 包括AWS的Refresh这些东西
[00:01:03,880 -> 00:01:06,439] 有的时候还要会做Machine Learning还要会一些基础的文字做data visualization各种各样的这个数据的pipeline的tool包括AWS的Reshift这些东西
[00:01:06,480 -> 00:01:08,719] 有的时候还要会做Machine Learning
[00:01:08,760 -> 00:01:10,560] 还要会一些基础的coding
[00:01:10,599 -> 00:01:14,319] 然后还要去学各种Product Science商业分析等等
[00:01:14,359 -> 00:01:16,280] 还要学会各种增长框架
[00:01:16,400 -> 00:01:19,760] 就是这么多东西你去学的话是学不完的
[00:01:19,760 -> 00:01:21,359] 也不可能每样都学得很精
[00:01:21,519 -> 00:01:23,239] 所以说找到自己喜欢什么
[00:01:23,239 -> 00:01:25,799] 然后觉得找到找清楚自己的方向
[00:01:25,799 -> 00:01:29,239] 从在学习的时候就从这个就为这个方向去努力
[00:01:29,239 -> 00:01:30,280] 是很重要的
[00:01:30,280 -> 00:01:32,239] 那我这些视频呢
[00:01:32,239 -> 00:01:35,719] 我就把数据相关的工作分成三个大类
[00:01:35,719 -> 00:01:37,560] 一个是data engineer
[00:01:37,560 -> 00:01:39,599] 一个是data analytics
[00:01:39,599 -> 00:01:41,480] 一个是data scientist
[00:01:41,480 -> 00:01:44,959] 当然了很多人都会用data scientist
[00:01:44,959 -> 00:01:45,000] 来指代这些所有的东西我会把这里边的data analytics和data scientist当然了很多人都会用data scientist
[00:01:45,000 -> 00:01:46,480] 来指代这些所有的东西
[00:01:46,480 -> 00:01:49,439] 我会把这里边的data analytics和data scientist
[00:01:49,439 -> 00:01:50,239] 做一个区分
[00:01:50,280 -> 00:01:51,640] 那么就从data engineer开始说
[00:01:51,640 -> 00:01:53,480] data engineer其实就很简单
[00:01:53,599 -> 00:01:55,280] 就是你把数据工程
[00:01:56,239 -> 00:01:58,879] 很多时候你在这个产品或者商业
[00:01:58,879 -> 00:02:00,040] 行为中产生了数据
[00:02:00,040 -> 00:02:01,840] 然后这些数据被存储起来了
[00:02:01,920 -> 00:02:03,640] 可是要利用它的话
[00:02:03,680 -> 00:02:05,719] 其实还是一个很复杂的过程
[00:02:05,719 -> 00:02:07,480] 因为现在都说大数据是吧
[00:02:07,480 -> 00:02:09,840] 然后要说这个人工智能
[00:02:10,319 -> 00:02:12,719] 你大数据就代表着数据量特别大
[00:02:12,719 -> 00:02:15,599] 然后人工智能很多时候它的模型
[00:02:15,599 -> 00:02:17,960] 是对速度要求是很快的
[00:02:17,960 -> 00:02:19,879] 比如说你去Google搜一个东西
[00:02:19,879 -> 00:02:21,560] 你都是要毫秒级对吧
[00:02:21,560 -> 00:02:22,840] 你或者说抖音也好
[00:02:23,000 -> 00:02:23,800] Facebook也好
[00:02:24,039 -> 00:02:26,039] 或者各种各样的广告系统也好它都要做到千人千面而且是一个毫秒级对吧你或者说抖音也好Facebook也好或者各种各样的广告系统也好
[00:02:26,039 -> 00:02:27,639] 它都要做到千人千面
