[00:00:00,000 -> 00:00:03,000] 今天跟大家聊一个非常没有用非常有毒
[00:00:03,000 -> 00:00:04,599] 但是人人都会有的情绪
[00:00:04,599 -> 00:00:05,799] 那就是后悔
[00:00:05,799 -> 00:00:07,440] 这视频就想提醒大家一下
[00:00:07,440 -> 00:00:08,759] 为什么这个情绪没有用
[00:00:08,759 -> 00:00:09,720] 为什么有毒
[00:00:09,720 -> 00:00:11,759] 然后我们应该怎么去处理它
[00:00:11,759 -> 00:00:13,640] 我们每个人都有犯错的时候
[00:00:13,640 -> 00:00:16,239] 我们每个人都有做选择的时候
[00:00:16,239 -> 00:00:18,239] 做了那个更加不如意的选择
[00:00:18,239 -> 00:00:20,640] 或者说如果时间能重来的话
[00:00:20,640 -> 00:00:22,039] 我们可能会做的不一样
[00:00:22,039 -> 00:00:23,839] 然后我们现在的生活会更好
[00:00:23,839 -> 00:00:27,679] 我自己也有很多个会让我后悔的这种选择
[00:00:27,679 -> 00:00:29,839] 比如说我在高中的时候
[00:00:29,839 -> 00:00:32,600] 尤其高三那个时候纯民魔兽世界
[00:00:32,600 -> 00:00:34,679] 我在高二的时候其实学习成绩非常好
[00:00:34,679 -> 00:00:35,880] 留学生钱也非常好
[00:00:35,880 -> 00:00:38,960] 我高二暑假还去了斯坦福的夏威夷大学
[00:00:38,960 -> 00:00:41,280] 那个其实选择还是蛮不容易的
[00:00:41,280 -> 00:00:45,000] 而且当时我在夏威夷大学的成绩也非常的好还跟那里的各种老师啊TA啊都留下来蛮不容易的而且当时我在那个Summer College的成绩也非常的好
[00:00:45,000 -> 00:00:46,600] 还跟那里的各种老师啊
[00:00:46,600 -> 00:00:48,880] TA啊都留下来蛮不错的印象的
[00:00:48,880 -> 00:00:51,799] 我到后面申请的时候也拿到了Stanford的witlist
[00:00:51,799 -> 00:00:53,679] 但是我在升本科的时候
[00:00:53,679 -> 00:00:54,880] 升的就非常不好
[00:00:54,880 -> 00:00:57,079] 那就是因为我在Stanford那个Summer College
[00:00:57,079 -> 00:00:58,560] 我的室友玩魔兽世界
[00:00:58,560 -> 00:01:00,079] 然后我也跟着玩魔兽世界
[00:01:00,079 -> 00:01:02,159] 到高三的时候就完全沉迷了
[00:01:02,159 -> 00:01:04,480] 申请的时候想着写完PS
[00:01:04,480 -> 00:01:06,560] 然后就赶紧回去上副本
[00:01:06,560 -> 00:01:09,879] 所以最后申请的结果也就不尽如人意
[00:01:09,879 -> 00:01:12,840] 但是我从来都不会去有后悔的情绪
[00:01:12,840 -> 00:01:15,439] 或者哪怕这个情绪出来了
[00:01:15,439 -> 00:01:17,120] 我也会赶紧忘记它
[00:01:17,120 -> 00:01:20,000] 然后我又想到了我去采访的这些大佬
[00:01:20,000 -> 00:01:22,000] 他们都会说自己没有后悔的情绪
[00:01:22,000 -> 00:01:24,519] 比如说君子食堂的赵勇
[00:01:24,519 -> 00:01:26,400] 他是耶鲁大学的博士
[00:01:26,400 -> 00:01:29,599] 然后他quit了耶鲁的博士去开餐馆
[00:01:29,599 -> 00:01:31,000] 当然了他除了开餐馆
[00:01:31,000 -> 00:01:33,000] 而且是有各种各样的其他的机会
[00:01:33,000 -> 00:01:34,439] 其他各种各样的创业机会
[00:01:34,640 -> 00:01:36,680] 那我问他就是做了这样的一个选择
[00:01:36,680 -> 00:01:37,480] 他是怎么想的
[00:01:37,480 -> 00:01:39,719] 我一旦你决定要创业自己当老板以后
[00:01:39,719 -> 00:01:40,719] 你学位都是虚无了
[00:01:40,719 -> 00:01:43,359] 是因为你确实说像我们这背景的
[00:01:43,359 -> 00:01:44,719] 你觉得自己什么都能干
[00:01:44,719 -> 00:01:45,959] 是干什么都行是三十交子的吧
[00:01:45,959 -> 00:01:47,280] 干什么都行
[00:01:47,280 -> 00:01:48,840] 但你一旦纠结反而什么也干不了
[00:01:48,840 -> 00:01:49,439] 对
[00:01:49,439 -> 00:01:52,079] 这段话是给了我一个满大的启发
[00:01:52,079 -> 00:01:54,480] 以及让我系统性的回想这件事情
[00:01:54,480 -> 00:01:55,799] 那我总结一下为什么呢
[00:01:55,799 -> 00:01:59,519] 其实这个东西说深了以后是吸引力法则
[00:01:59,519 -> 00:02:02,599] 你只有非常满意于自己的当下
[00:02:02,599 -> 00:02:03,959] 接受自己的当下
[00:02:03,959 -> 00:02:06,599] 你才有可能去得到你想要的东西
[00:02:06,599 -> 00:02:08,759] 心灵法则那期视频大家可以去看
[00:02:08,759 -> 00:02:11,000] 我这就不多过多展开了
[00:02:11,000 -> 00:02:13,280] 但是除去那样一个比较深
[00:02:13,280 -> 00:02:14,719] 比较悬的东西以外
[00:02:14,719 -> 00:02:16,360] 最简单的就是后悔
[00:02:16,360 -> 00:02:18,080] 其实是一个没有用的东西
[00:02:18,080 -> 00:02:19,240] 一个完全没有用的情绪
[00:02:19,240 -> 00:02:20,319] 你为什么要有它呢
[00:02:20,319 -> 00:02:22,199] 记得我在视频最一开始说的
[00:02:22,199 -> 00:02:23,800] 就是后悔这个情绪是
[00:02:23,800 -> 00:02:26,000] 如果我们可以回到过去
[00:02:26,000 -> 00:02:28,000] 那如果做什么我们的人生现在会不一样
[00:02:28,000 -> 00:02:30,000] 问题是我们是回不到过去的
[00:02:30,000 -> 00:02:32,000] 那这个时候你复盘过去
[00:02:32,000 -> 00:02:34,000] get some learning move on
[00:02:34,000 -> 00:02:36,000] 然后下次做不一样的
[00:02:36,000 -> 00:02:38,000] 那就挺好了
[00:02:38,000 -> 00:02:40,000] 那这个时候你去后悔反复的去想到过去
[00:02:40,000 -> 00:02:42,000] 反复的去纠结过去
[00:02:42,000 -> 00:02:44,000] 就是把你的时间精力心情浪费在了一件非常没有意义的事情上
[00:02:44,000 -> 00:02:45,000] 而且第二个就是它还是有毒的就是把你的時間精力心情浪費在了一件非常沒有意義的事情上
[00:02:45,000 -> 00:02:48,000] 而且第二個就是它還是有毒的
[00:02:48,000 -> 00:02:51,000] 它的最大的毒性在於你不斷的去想
