[00:00:00,000 -> 00:00:01,720] 背后的前台词就是
[00:00:01,720 -> 00:00:03,200] 只要你学习学得好
[00:00:03,200 -> 00:00:04,480] 你就能上好大学
[00:00:04,480 -> 00:00:05,320] 你上了好大学
[00:00:05,320 -> 00:00:06,960] 你就能有好工作
[00:00:07,000 -> 00:00:09,359] 这是这个社会规则的一部分
[00:00:09,359 -> 00:00:11,400] 所以说做好你自己的事情
[00:00:11,400 -> 00:00:13,160] 其他的东西别人帮你搞定
[00:00:13,160 -> 00:00:14,039] 但是告诉大家
[00:00:14,039 -> 00:00:15,359] 这可能是一个幻想
[00:00:15,400 -> 00:00:17,480] 随着我做视频越来越多
[00:00:17,480 -> 00:00:19,480] 我越来越发现人群被
[00:00:19,519 -> 00:00:21,280] 轻微分明的分成了两种
[00:00:21,559 -> 00:00:24,280] 一种就是他可以不断学习
[00:00:24,280 -> 00:00:25,199] 不断成长�不断成长
[00:00:25,199 -> 00:00:26,600] 然后不断提高
[00:00:26,600 -> 00:00:27,699] 一种呢
[00:00:27,699 -> 00:00:28,800] 似乎原地打转
[00:00:28,800 -> 00:00:30,100] 具体来说的话
[00:00:30,100 -> 00:00:31,300] 前一种人
[00:00:31,300 -> 00:00:32,399] 他可能每一年
[00:00:32,399 -> 00:00:33,700] 每半年甚至
[00:00:33,700 -> 00:00:35,100] 看自己过去的一年
[00:00:35,100 -> 00:00:36,700] 都觉得这一年这半年
[00:00:36,700 -> 00:00:37,799] 自己有很大的变化
[00:00:37,799 -> 00:00:39,200] 不管是想法呀
[00:00:39,200 -> 00:00:40,200] 做的事情啊
[00:00:40,200 -> 00:00:41,299] 都很不一样
[00:00:41,299 -> 00:00:42,200] 他们会觉得
[00:00:42,200 -> 00:00:43,799] 噢我半年前怎么这么傻
[00:00:43,799 -> 00:00:45,299] 我半年前怎么会这么想
[00:00:45,299 -> 00:00:47,899] 但是我现在成长了,变得更成熟了
[00:00:47,899 -> 00:00:50,200] 他们不光在20岁的时候会这样子
[00:00:50,200 -> 00:00:53,200] 他们30岁40岁的时候都会是这样子
